,c,h,l,o,s,t,v
0,8.76,9.0,8.52,9.0,ok,1420156800,5600
1,8.64,8.76,8.64,8.76,ok,1420416000,8400
2,8.64,8.76,8.64,8.64,ok,1420502400,2400
3,8.64,8.64,8.52,8.64,ok,1420588800,9500
4,8.64,8.64,8.4,8.52,ok,1420675200,7500
5,8.76,8.76,8.64,8.64,ok,1420761600,900
6,8.52,9.0,8.52,8.76,ok,1421020800,15600
7,8.76,9.0,8.64,8.64,ok,1421107200,12200
8,8.76,8.88,8.52,8.76,ok,1421193600,2900
9,8.76,8.76,8.52,8.76,ok,1421280000,700
10,8.04,8.76,7.92,8.76,ok,1421366400,35700
11,8.4,8.52,8.4,8.4,ok,1421712000,11500
12,8.16,8.28,7.92,8.04,ok,1421798400,4800
13,8.28,8.28,8.16,8.28,ok,1421884800,2600
14,8.28,8.28,8.16,8.28,ok,1421971200,5300
15,8.4,8.52,8.28,8.4,ok,1422230400,3300
16,8.4,8.4,8.16,8.28,ok,1422316800,800
17,8.52,8.52,8.4,8.4,ok,1422403200,7200
18,8.52,8.52,8.4,8.4,ok,1422489600,2500
19,8.28,8.4,6.96,8.4,ok,1422576000,12500
20,7.32,7.8,7.2,7.8,ok,1422835200,25000
21,7.68,7.8,7.32,7.44,ok,1422921600,4400
22,7.68,8.04,7.68,8.04,ok,1423008000,1300
23,7.8,8.04,7.44,8.04,ok,1423094400,16200
24,7.92,7.92,7.68,7.8,ok,1423180800,8800
25,7.56,7.92,7.56,7.92,ok,1423440000,2300
26,7.44,7.56,7.32,7.56,ok,1423526400,800
27,7.32,7.56,7.08,7.2,ok,1423612800,2700
28,7.68,7.68,7.2,7.2,ok,1423699200,600
29,7.68,7.68,7.44,7.44,ok,1423785600,1800
30,7.56,7.56,7.32,7.32,ok,1424131200,2000
31,7.56,7.56,7.2,7.32,ok,1424217600,7800
32,7.68,7.68,7.56,7.56,ok,1424304000,200
33,7.56,7.68,7.44,7.44,ok,1424390400,400
34,7.56,7.56,7.2,7.32,ok,1424649600,800
35,7.68,7.68,7.2,7.2,ok,1424736000,1300
36,7.68,7.68,7.44,7.56,ok,1424822400,3000
37,7.68,7.68,7.68,7.68,ok,1424908800,6400
38,7.44,7.44,7.44,7.44,ok,1424995200,100
39,7.44,7.44,6.96,7.2,ok,1425254400,2400
40,7.44,7.44,7.2,7.32,ok,1425340800,2500
41,8.04,8.04,7.44,7.44,ok,1425427200,35100
42,8.4,8.4,7.56,7.8,ok,1425513600,5900
43,8.04,8.4,8.04,8.16,ok,1425600000,3000
44,8.16,8.52,7.8,8.04,ok,1425859200,7800
45,8.4,8.4,7.8,7.8,ok,1425945600,5500
46,8.04,8.04,8.04,8.04,ok,1426032000,3800
47,8.16,8.16,8.04,8.16,ok,1426118400,3500
48,8.04,8.4,8.04,8.16,ok,1426204800,5500
49,7.92,8.04,7.92,7.92,ok,1426464000,4700
50,8.28,8.4,8.04,8.04,ok,1426550400,1800
51,8.4,8.4,8.28,8.4,ok,1426636800,1000
52,8.52,8.52,8.16,8.4,ok,1426723200,3100
53,8.52,8.52,8.28,8.28,ok,1426809600,10600
54,8.4,8.52,8.28,8.28,ok,1427068800,3300
55,8.76,8.76,8.4,8.52,ok,1427155200,4000
56,8.76,8.76,8.4,8.76,ok,1427241600,5400
57,8.64,8.76,8.52,8.76,ok,1427328000,200
58,8.64,8.64,8.52,8.52,ok,1427414400,24600
59,8.76,8.76,8.64,8.76,ok,1427673600,800
60,8.88,8.88,8.76,8.88,ok,1427760000,2600
61,8.76,8.88,8.76,8.88,ok,1427846400,3200
62,9.0,9.24,8.88,9.0,ok,1427932800,2200
63,9.0,9.0,8.76,9.0,ok,1428278400,2300
64,8.88,9.0,8.76,9.0,ok,1428364800,6700
65,8.64,9.0,8.64,9.0,ok,1428451200,4800
66,8.52,9.0,8.52,8.52,ok,1428537600,2500
67,8.52,8.88,8.28,8.64,ok,1428624000,5500
68,8.04,8.4,8.04,8.4,ok,1428883200,4700
69,8.16,8.4,8.16,8.16,ok,1428969600,400
70,8.28,8.4,8.16,8.28,ok,1429056000,3500
71,8.64,8.64,8.28,8.4,ok,1429142400,2100
72,8.4,8.52,8.28,8.4,ok,1429228800,2800
73,8.64,8.64,8.4,8.52,ok,1429488000,6200
74,8.52,8.64,8.4,8.4,ok,1429574400,7100
75,8.52,8.64,8.4,8.4,ok,1429660800,7100
76,8.28,8.64,8.04,8.16,ok,1429747200,6700
77,8.4,8.4,8.16,8.4,ok,1429833600,6000
78,8.4,8.64,8.28,8.64,ok,1430092800,8000
79,8.88,9.24,8.28,8.64,ok,1430179200,36200
80,8.64,9.0,8.64,8.88,ok,1430265600,19000
81,8.64,9.0,8.52,8.64,ok,1430352000,4500
82,8.88,8.88,8.52,8.88,ok,1430438400,8100
83,8.76,9.0,8.52,9.0,ok,1430697600,4100
84,8.76,8.76,8.64,8.64,ok,1430784000,2500
85,8.88,8.88,8.64,8.76,ok,1430870400,6400
86,8.88,8.88,8.64,8.64,ok,1430956800,900
87,9.0,9.0,8.64,8.64,ok,1431043200,7800
88,9.0,9.0,8.64,9.0,ok,1431302400,3100
89,8.28,8.76,7.92,8.64,ok,1431388800,45000
90,8.16,8.28,7.92,8.16,ok,1431475200,18300
91,8.16,8.52,7.92,8.04,ok,1431561600,19700
92,8.04,8.04,7.8,7.92,ok,1431648000,8700
93,8.16,8.16,7.8,8.16,ok,1431907200,5800
94,8.4,8.52,7.8,8.16,ok,1431993600,2000
95,7.92,8.16,7.8,8.04,ok,1432080000,2400
96,8.16,8.16,8.16,8.16,ok,1432166400,800
97,8.28,8.4,7.68,8.4,ok,1432252800,5700
