,c,h,l,o,s,t,v
0,29.6565,30.0565,28.3566,28.7565,ok,1420156800,4800
1,29.4646,30.5646,28.4646,29.0646,ok,1420416000,2700
2,29.6565,30.2565,28.3566,29.0565,ok,1420502400,3600
3,28.7928,29.7928,28.1928,29.1928,ok,1420588800,4200
4,28.9847,30.8847,28.9847,30.6847,ok,1420675200,200
5,29.0807,30.3807,28.7807,29.9807,ok,1420761600,1500
6,28.5048,29.2048,28.3048,29.2048,ok,1421020800,200
7,27.737,31.137,26.837,31.137,ok,1421107200,3400
8,25.8175,26.5175,24.7175,26.5175,ok,1421193600,8700
9,25.9135,26.9135,24.9135,25.8135,ok,1421280000,1300
10,26.3934,28.2934,26.2934,27.9934,ok,1421366400,700
11,25.2417,26.3417,25.2417,26.3417,ok,1421712000,600
12,25.8175,27.0175,24.7175,27.0175,ok,1421798400,1900
13,26.0095,26.4095,24.8095,25.4095,ok,1421884800,2000
14,24.5698,25.4698,24.3698,25.4698,ok,1421971200,1200
15,25.8175,26.4175,22.4175,24.9175,ok,1422230400,16500
16,25.2417,25.6417,24.7417,24.8417,ok,1422316800,15600
17,24.4739,25.7739,24.4739,24.7739,ok,1422403200,500
18,24.2819,24.9819,22.8819,24.4819,ok,1422489600,1900
19,23.5141,24.6141,23.2141,23.5141,ok,1422576000,3100
20,23.3221,23.8221,23.0221,23.8221,ok,1422835200,700
21,23.2262,23.5262,23.0262,23.5262,ok,1422921600,2000
22,23.802,25.302,22.302,23.302,ok,1423008000,2200
23,22.4584,23.0584,22.1584,22.8584,ok,1423094400,3200
24,21.5946,23.6946,20.1946,23.1946,ok,1423180800,5300
25,21.4986,21.8986,19.6986,20.4986,ok,1423440000,2500
26,19.6751,21.1751,19.3751,21.1751,ok,1423526400,7400
27,19.5791,19.5791,18.9791,18.9791,ok,1423612800,7300
28,20.3469,21.1469,20.1469,20.1469,ok,1423699200,3200
29,22.4584,22.4584,20.3584,20.6584,ok,1423785600,2700
30,22.6503,23.0503,22.4503,22.7503,ok,1424131200,1800
31,22.6503,23.1503,22.5503,23.1503,ok,1424217600,900
32,22.6503,23.0503,22.4503,22.4503,ok,1424304000,1000
33,24.7618,24.7618,23.3618,23.3618,ok,1424390400,11700
34,27.1612,27.6612,24.9612,25.3612,ok,1424649600,16700
35,29.3686,30.6686,27.2686,28.2686,ok,1424736000,15200
36,27.833,29.833,27.833,29.833,ok,1424822400,5400
37,26.5853,27.6853,24.9853,26.8853,ok,1424908800,12300
38,26.2974,27.3974,25.9974,26.2974,ok,1424995200,1600
39,26.8732,27.4732,26.3732,26.6732,ok,1425254400,3700
40,27.4491,30.9491,27.3491,27.5491,ok,1425340800,2500
41,27.0652,28.9652,26.5652,28.3652,ok,1425427200,3100
42,27.2572,27.8572,26.1572,27.8572,ok,1425513600,1100
43,27.0652,27.8652,26.0652,27.3652,ok,1425600000,500
44,27.5451,27.6451,26.4451,26.5451,ok,1425859200,800
45,26.3934,27.0934,25.3934,26.6934,ok,1425945600,3100
46,26.7773,27.8773,26.3773,27.6773,ok,1426032000,1900
47,26.8732,27.5732,26.3732,27.5732,ok,1426118400,2400
48,26.4893,27.2893,26.3893,26.9893,ok,1426204800,500
49,25.9135,27.1135,25.9135,26.4135,ok,1426464000,700
50,26.5853,26.8853,25.8853,25.8853,ok,1426550400,2400
51,26.4893,27.0893,26.3893,26.3893,ok,1426636800,600
52,26.0095,26.8095,25.9095,26.5095,ok,1426723200,900
53,25.4336,26.6336,25.4336,26.1336,ok,1426809600,6300
54,26.0095,26.6095,25.8095,25.8095,ok,1427068800,4200
55,26.0095,27.2095,25.5095,27.2095,ok,1427155200,1700
56,26.3934,26.3934,24.9934,25.7934,ok,1427241600,1500
57,25.4336,26.2336,25.4336,25.9336,ok,1427328000,3200
58,26.2974,26.5974,25.7974,25.8974,ok,1427414400,1800
59,26.1054,26.3054,25.5054,25.9054,ok,1427673600,1400
60,26.2014,26.2014,25.7014,25.9014,ok,1427760000,3400
61,26.2014,26.2014,25.9014,25.9014,ok,1427846400,300
62,26.0095,26.3095,25.6095,26.2095,ok,1427932800,900
63,25.9135,26.4135,25.5135,26.3135,ok,1428278400,4500
64,26.3934,26.3934,25.5934,25.5934,ok,1428364800,700
65,26.2014,26.2014,25.5014,25.5014,ok,1428451200,500
66,26.2014,26.4014,26.0014,26.3014,ok,1428537600,300
67,25.6256,26.0256,25.0256,26.0256,ok,1428624000,2600
68,26.2014,26.9014,25.4014,25.4014,ok,1428883200,3400
69,26.2014,27.5014,24.9014,25.5014,ok,1428969600,7000
70,26.5853,26.8853,25.8853,26.1853,ok,1429056000,3000
71,26.4893,28.7893,26.4893,26.5893,ok,1429142400,3700
72,27.833,27.833,26.633,27.133,ok,1429228800,2900
73,28.4089,29.8089,27.4089,27.8089,ok,1429488000,2100
74,25.9135,28.5135,25.9135,28.2135,ok,1429574400,7400
75,26.4893,26.7893,25.8893,26.7893,ok,1429660800,1900
76,26.0095,26.7095,25.4095,26.1095,ok,1429747200,1100
77,24.8578,26.1578,24.8578,25.4578,ok,1429833600,4300
78,24.7618,25.5618,24.7618,25.1618,ok,1430092800,1900
79,24.4739,26.0739,24.4739,24.7739,ok,1430179200,2900
80,25.2417,26.1417,24.9417,25.9417,ok,1430265600,400
81,25.0497,25.4497,24.4497,24.4497,ok,1430352000,300
82,25.1457,25.5457,24.7457,24.7457,ok,1430438400,300
83,25.4336,25.7336,24.5336,24.9336,ok,1430697600,1800
84,24.7618,25.6618,24.5618,25.3618,ok,1430784000,3500
85,24.1859,25.7859,24.0859,24.5859,ok,1430870400,3900
86,24.2819,24.2819,23.6819,23.9819,ok,1430956800,3500
87,25.1457,25.4457,24.1457,24.2457,ok,1431043200,2500
88,24.8578,25.7578,24.7578,25.3578,ok,1431302400,4900
89,24.2819,24.4819,23.4819,24.3819,ok,1431388800,7000
90,23.6101,25.0101,22.3101,24.0101,ok,1431475200,9500
91,23.994,24.694,23.894,24.394,ok,1431561600,700
92,24.0899,24.3899,23.8899,24.0899,ok,1431648000,1300
93,23.0342,24.1342,23.0342,24.0342,ok,1431907200,2200
94,22.5543,23.3543,22.5543,23.0543,ok,1431993600,2400
95,22.5543,23.4543,22.5543,23.4543,ok,1432080000,600
96,22.5543,22.7543,22.1543,22.5543,ok,1432166400,7100
97,22.9382,22.9382,22.5382,22.7382,ok,1432252800,900
98,21.8825,23.0825,21.6825,22.7825,ok,1432598400,3200
99,22.1704,23.0704,22.1704,22.1704,ok,1432684800,3500
100,21.6906,22.2906,21.6906,22.1906,ok,1432771200,2000
101,21.4026,21.9026,21.4026,21.7026,ok,1432857600,2800
102,20.3469,21.2469,20.2469,21.2469,ok,1433116800,2300
103,21.3066,21.6066,20.4066,20.4066,ok,1433203200,2400
104,21.3066,21.8066,21.1066,21.3066,ok,1433289600,2400
105,21.1147,21.6147,21.1147,21.2147,ok,1433376000,1700
106,20.6348,21.2348,20.6348,21.1348,ok,1433462400,2700
107,20.9227,21.2227,20.3227,20.6227,ok,1433721600,700
108,20.8268,21.0268,20.6268,20.6268,ok,1433808000,1400
109,21.0187,21.3187,20.9187,20.9187,ok,1433894400,1700
110,21.3066,21.5066,21.0066,21.0066,ok,1433980800,3000
111,21.0187,21.3187,21.0187,21.1187,ok,1434067200,2700
112,20.5388,21.3388,20.4388,21.2388,ok,1434326400,7100
113,20.8268,20.8268,20.4268,20.6268,ok,1434412800,2400
114,22.2664,22.4664,20.9664,21.4664,ok,1434499200,8100
115,21.1147,22.5147,21.1147,21.6147,ok,1434585600,3500
116,21.6906,22.3906,21.4906,21.8906,ok,1434672000,7400
117,22.0745,22.5745,21.5745,21.8745,ok,1434931200,3000
118,22.2664,22.4664,21.5664,21.7664,ok,1435017600,1700
119,21.8825,22.5825,21.6825,22.5825,ok,1435104000,2900
120,22.0745,22.5745,21.7745,22.0745,ok,1435190400,1900
121,21.7865,22.5865,21.7865,22.2865,ok,1435276800,5900
122,21.7865,22.3865,21.4865,22.3865,ok,1435536000,2100
123,21.9785,22.4785,21.6785,22.4785,ok,1435622400,300
124,22.0745,22.4745,21.5745,21.8745,ok,1435708800,800
125,22.7463,23.3463,22.0463,22.5463,ok,1435795200,4100
126,22.0745,23.4745,21.9745,23.1745,ok,1436140800,1800
127,23.0342,23.0342,22.1342,23.0342,ok,1436227200,1700
128,21.5946,23.0946,21.5946,23.0946,ok,1436313600,800
129,21.5946,22.0946,21.5946,22.0946,ok,1436400000,700
130,21.7865,22.2865,21.4865,21.5865,ok,1436486400,2700
131,22.0745,22.6745,21.8745,21.9745,ok,1436832000,800
132,21.1147,21.5147,21.1147,21.4147,ok,1436918400,600
133,21.2107,21.5107,21.0107,21.1107,ok,1437004800,5100
134,20.9227,21.3227,20.9227,21.3227,ok,1437091200,1300
135,20.9227,21.1227,20.7227,21.1227,ok,1437350400,200
