,c,h,l,o,s,t,v
0,14.5595,14.8195,14.4095,14.8195,ok,1420156800,106400
1,14.3743,14.7043,14.0543,14.5443,ok,1420416000,173000
2,14.381,14.681,14.311,14.311,ok,1420502400,125800
3,14.4801,14.7501,14.3201,14.3801,ok,1420588800,137400
4,14.6917,14.7117,14.4317,14.4317,ok,1420675200,110600
5,14.6719,14.7319,14.4819,14.6519,ok,1420761600,79200
6,14.6851,14.7251,14.5851,14.6651,ok,1421020800,83100
7,14.6587,14.9087,14.5587,14.7287,ok,1421107200,92800
8,14.6653,14.7453,14.4853,14.4853,ok,1421193600,62800
9,14.7909,14.8809,14.6409,14.7209,ok,1421280000,67300
10,15.0289,15.0589,14.6989,14.6989,ok,1421366400,103500
11,15.1281,15.1681,14.9481,15.1181,ok,1421712000,77400
12,15.2141,15.2141,14.9441,15.0341,ok,1421798400,70200
13,15.2934,15.4334,15.1734,15.3434,ok,1421884800,71100
14,15.2141,15.3341,15.2141,15.2241,ok,1421971200,62100
15,15.1083,15.2283,15.0883,15.1583,ok,1422230400,87300
16,15.1612,15.1812,14.5412,14.8012,ok,1422316800,104100
17,15.0289,15.4289,14.9889,15.2989,ok,1422403200,69200
18,15.2471,15.2871,14.8471,14.9371,ok,1422489600,53500
19,15.0091,15.4591,15.0091,15.3291,ok,1422576000,80300
20,15.0554,15.1354,14.8854,14.9854,ok,1422835200,66900
21,15.1149,15.1249,14.9449,15.0249,ok,1422921600,64400
22,15.0752,15.2252,15.0252,15.0652,ok,1423008000,66200
23,15.2141,15.2541,14.9841,15.0041,ok,1423094400,51800
24,14.9628,15.3928,14.8828,15.2328,ok,1423180800,133800
25,14.9826,15.0326,14.7826,14.9626,ok,1423440000,67000
26,15.1295,15.1395,14.9395,15.0595,ok,1423526400,71000
27,14.8504,15.2204,14.8404,15.1804,ok,1423612800,124200
28,14.6576,14.9776,14.6576,14.9576,ok,1423699200,190900
29,14.3451,14.8551,14.1851,14.8551,ok,1423785600,166500
30,14.1723,14.4823,14.1023,14.3923,ok,1424131200,210400
31,14.3385,14.3985,13.9885,13.9885,ok,1424217600,115400
32,14.385,14.525,14.235,14.235,ok,1424304000,86100
33,14.385,14.485,14.375,14.445,ok,1424390400,64200
34,14.5645,14.5745,14.2645,14.2945,ok,1424649600,89600
35,14.5712,14.6112,14.4912,14.4912,ok,1424736000,94500
36,14.4715,14.6615,14.4315,14.6615,ok,1424822400,77500
37,14.3917,14.5817,14.3717,14.5617,ok,1424908800,96200
38,14.4981,14.5881,14.3281,14.4181,ok,1424995200,113400
39,14.3717,14.5317,14.3117,14.5317,ok,1425254400,103500
40,14.4183,14.4283,14.2883,14.3783,ok,1425340800,58300
41,14.3784,14.4684,14.3684,14.4684,ok,1425427200,48300
42,14.4249,14.5149,14.3649,14.3849,ok,1425513600,76000
43,14.1191,14.5691,14.0791,14.4791,ok,1425600000,111000
44,14.0793,14.2393,14.0793,14.1093,ok,1425859200,56300
45,13.973,14.193,13.573,14.043,ok,1425945600,92900
46,14.0131,14.0831,13.9731,14.0531,ok,1426032000,51900
47,14.0933,14.1833,13.9333,13.9333,ok,1426118400,56500
48,14.0331,14.1431,13.9431,14.1431,ok,1426204800,38800
49,14.0799,14.1999,14.0699,14.0699,ok,1426464000,82300
50,14.0131,14.1231,13.9531,13.9831,ok,1426550400,89500
51,14.1401,14.2001,13.8101,13.9401,ok,1426636800,98900
52,14.0799,14.2499,14.0099,14.0999,ok,1426723200,79300
53,14.1668,14.2368,14.0968,14.0968,ok,1426809600,73100
54,14.207,14.2769,14.127,14.127,ok,1427068800,84400
55,14.1936,14.3036,14.1236,14.2636,ok,1427155200,63900
56,14.1067,14.3067,14.0767,14.2167,ok,1427241600,66200
57,14.0866,14.2066,14.0566,14.1266,ok,1427328000,64500
58,14.1468,14.1968,14.0168,14.0168,ok,1427414400,35900
59,14.2136,14.2836,14.1336,14.1336,ok,1427673600,77400
60,14.2872,14.2972,14.1572,14.1972,ok,1427760000,59900
61,14.2203,14.3003,14.1703,14.2803,ok,1427846400,82300
62,14.1602,14.2602,14.1502,14.1502,ok,1427932800,127900
63,14.2671,14.3671,14.0871,14.0871,ok,1428278400,69400
64,14.2404,14.3404,14.2204,14.2404,ok,1428364800,49800
65,14.2471,14.3071,14.1871,14.2871,ok,1428451200,49900
66,14.2814,14.3314,14.1614,14.2814,ok,1428537600,106600
67,14.2881,14.3681,14.2681,14.3181,ok,1428624000,53500
68,14.2074,14.3774,14.1674,14.3674,ok,1428883200,69500
69,14.2814,14.3014,14.1714,14.2114,ok,1428969600,67400
70,14.3822,14.4822,14.2522,14.2522,ok,1429056000,124100
71,14.3486,14.3786,14.2686,14.3586,ok,1429142400,67600
72,14.2141,14.4441,14.1941,14.3341,ok,1429228800,62800
73,14.3015,14.4515,14.2615,14.2615,ok,1429488000,63600
74,14.3082,14.3782,14.2082,14.3482,ok,1429574400,64800
75,14.315,14.365,14.245,14.355,ok,1429660800,50100
76,14.3822,14.4722,14.2522,14.3122,ok,1429747200,68000
77,14.436,14.556,14.346,14.396,ok,1429833600,78600
78,14.3486,14.5986,14.3286,14.5786,ok,1430092800,81100
79,14.3755,14.3955,14.2655,14.2655,ok,1430179200,52600
80,14.4226,14.4326,14.2726,14.3026,ok,1430265600,45200
81,14.3553,14.4753,14.2453,14.4753,ok,1430352000,115900
82,14.3419,14.4019,14.2719,14.3519,ok,1430438400,67200
83,14.3217,14.4917,14.3117,14.3417,ok,1430697600,71900
84,14.1536,14.4036,14.1136,14.3236,ok,1430784000,93800
85,13.9855,14.2855,13.8955,14.2855,ok,1430870400,93400
86,13.8915,14.1215,13.8415,14.0515,ok,1430956800,99700
87,14.0674,14.0974,13.9474,13.9874,ok,1431043200,83700
88,13.9862,14.2562,13.9762,14.1262,ok,1431302400,93900
89,13.9929,14.0229,13.7829,13.9129,ok,1431388800,86700
90,13.9524,14.1324,13.9024,14.0224,ok,1431475200,51600
91,14.1147,14.1447,13.8647,13.8647,ok,1431561600,90200
92,14.277,14.287,14.067,14.067,ok,1431648000,70800
93,14.2364,14.2964,14.1764,14.2664,ok,1431907200,55100
94,14.2364,14.3864,14.0964,14.2564,ok,1431993600,76500
95,14.2973,14.4173,14.1773,14.2473,ok,1432080000,79300
96,14.4055,14.4055,14.3255,14.3255,ok,1432166400,47900
97,14.3379,14.4979,14.3379,14.4379,ok,1432252800,65600
98,14.2432,14.3932,14.2232,14.3632,ok,1432598400,75400
99,14.3176,14.3576,14.2076,14.2476,ok,1432684800,61300
100,14.3379,14.3979,14.2579,14.3079,ok,1432771200,63800
101,14.3446,14.3846,14.2746,14.3746,ok,1432857600,78800
102,14.277,14.407,14.277,14.387,ok,1433116800,47800
103,14.1823,14.3123,14.1123,14.3123,ok,1433203200,64100
104,13.9997,14.3197,13.9497,14.3197,ok,1433289600,92600
105,13.9929,14.0429,13.9329,13.9829,ok,1433376000,102100
106,13.8239,14.0439,13.7839,14.0439,ok,1433462400,85800
107,13.7292,13.8592,13.7192,13.8392,ok,1433721600,63300
108,13.6346,13.8246,13.6046,13.8246,ok,1433808000,92400
109,13.519,13.769,13.369,13.559,ok,1433894400,164000
110,13.6278,13.7778,13.5478,13.5478,ok,1433980800,99800
111,13.6006,13.7606,13.5706,13.6406,ok,1434067200,90100
112,13.6006,13.6406,13.5306,13.5606,ok,1434326400,82600
113,13.587,13.637,13.547,13.617,ok,1434412800,61500
114,13.7027,13.7227,13.5627,13.5627,ok,1434499200,66700
115,13.7707,13.8707,13.6807,13.6807,ok,1434585600,47400
116,13.7299,13.8399,13.7099,13.8399,ok,1434672000,62800
117,13.7095,13.7995,13.6995,13.7795,ok,1434931200,72700
118,13.6346,13.7746,13.5946,13.7746,ok,1435017600,76800
119,13.6482,13.7282,13.6182,13.6382,ok,1435104000,62000
120,13.5666,13.7366,13.5266,13.7066,ok,1435190400,103400
121,13.553,13.663,13.453,13.543,ok,1435276800,106000
122,13.2876,13.6576,13.2776,13.5976,ok,1435536000,152400
123,13.3761,13.4561,13.1461,13.3761,ok,1435622400,126600
124,13.4033,13.5033,13.3433,13.4433,ok,1435708800,87700
125,13.4985,13.4985,13.3285,13.3385,ok,1435795200,104200
126,13.5666,13.5666,13.4166,13.4266,ok,1436140800,71000
