,c,h,l,o,s,t,v
0,13.77,14.09,11.13,14.0,ok,1430870400,906000
1,13.94,14.89,12.79,13.65,ok,1430956800,156800
2,14.28,14.5,13.19,13.89,ok,1431043200,40900
3,14.64,14.77,13.98,14.5,ok,1431302400,90500
4,14.01,14.85,14.0,14.15,ok,1431388800,137600
5,14.18,14.8,14.15,14.33,ok,1431475200,31200
6,14.36,14.67,14.22,14.67,ok,1431561600,9700
7,14.18,14.5,14.0,14.3,ok,1431648000,81300
8,14.23,14.65,14.024,14.03,ok,1431907200,182000
9,14.2,14.65,13.5,14.1,ok,1431993600,171700
10,14.05,14.5,13.72,14.5,ok,1432080000,51300
11,14.06,14.5,13.66,14.5,ok,1432166400,135900
12,14.11,14.47,12.77,14.18,ok,1432252800,190300
13,13.83,14.43,13.57,13.81,ok,1432598400,24700
14,14.28,14.4,12.88,13.6,ok,1432684800,129000
15,14.0,14.24,13.6,14.05,ok,1432771200,28300
16,14.35,14.4,13.56,13.69,ok,1432857600,33400
17,13.91,14.2,13.0,14.2,ok,1433116800,16000
18,16.16,17.38,13.983,14.32,ok,1433203200,202300
19,17.56,19.75,16.085,16.65,ok,1433289600,226400
20,15.31,18.167,14.3,17.07,ok,1433376000,99800
21,15.61,16.9,14.77,15.39,ok,1433462400,30900
22,16.55,17.82,15.71,16.018,ok,1433721600,26300
23,16.19,17.23,15.97,16.77,ok,1433808000,150000
24,15.36,16.79,14.9,16.48,ok,1433894400,193200
25,15.23,15.87,14.57,15.15,ok,1433980800,58600
26,15.27,15.7,14.601,15.7,ok,1434067200,103400
27,15.44,15.6,14.82,14.82,ok,1434326400,35200
28,15.41,16.07,15.0,15.14,ok,1434412800,60600
29,14.72,15.65,14.08,15.31,ok,1434499200,226300
30,14.76,15.01,14.67,14.75,ok,1434585600,27000
31,13.71,14.96,13.5,14.87,ok,1434672000,196200
32,13.05,14.15,12.1,14.0,ok,1434931200,325300
33,12.399,13.11,12.26,13.0,ok,1435017600,42200
34,11.61,12.58,11.61,12.39,ok,1435104000,62500
35,11.29,12.13,10.75,11.69,ok,1435190400,159700
36,11.33,11.88,11.04,11.45,ok,1435276800,99800
37,10.74,11.4,10.22,11.01,ok,1435536000,18800
38,11.15,11.43,10.52,10.89,ok,1435622400,128100
39,11.99,12.36,10.7,11.09,ok,1435708800,127300
40,12.44,12.44,11.6,11.92,ok,1435795200,14200
41,12.59,12.92,11.82,12.39,ok,1436140800,16300
42,12.01,12.49,11.71,12.49,ok,1436227200,51500
43,11.57,12.405,11.57,11.73,ok,1436313600,27000
44,11.78,12.12,11.38,11.8,ok,1436400000,92300
45,11.64,11.87,11.64,11.8,ok,1436486400,47400
46,11.41,12.01,11.02,11.82,ok,1436745600,50900
47,10.69,11.51,10.04,11.51,ok,1436832000,16700
48,10.51,11.1,10.5,10.78,ok,1436918400,15800
49,10.7,11.47,10.52,10.52,ok,1437004800,47100
50,10.76,11.28,10.759,10.759,ok,1437091200,2500
51,10.5,11.22,9.97,10.87,ok,1437350400,22700
52,10.34,10.86,10.34,10.53,ok,1437436800,32900
53,10.38,11.13,10.15,10.39,ok,1437523200,14600
54,10.44,11.16,10.22,10.28,ok,1437609600,13300
55,10.37,11.33,10.23,10.44,ok,1437696000,15100
56,9.98,10.79,9.98,10.4,ok,1437955200,26100
57,10.41,10.46,9.99,10.03,ok,1438041600,13200
58,9.93,10.48,9.92,10.35,ok,1438128000,14500
59,9.23,10.09,9.0,9.92,ok,1438214400,90600
60,8.78,9.485,8.73,9.28,ok,1438300800,26500
