,c,h,l,o,s,t,v
0,17.6,17.98,17.44,17.95,ok,1517443200,14084900
1,18.0,18.38,17.15,17.35,ok,1517529600,3937700
2,17.36,18.065,17.31,18.0,ok,1517788800,1322500
3,17.33,17.635,16.51,17.45,ok,1517875200,1568700
4,17.42,17.48,16.62,17.33,ok,1517961600,548900
5,16.47,17.5,15.95,17.42,ok,1518048000,1915000
6,16.29,16.805,15.12,16.47,ok,1518134400,1636600
7,16.1,16.4,15.9,16.29,ok,1518393600,583400
8,15.8,16.11,15.69,16.1,ok,1518480000,469400
9,15.54,15.85,15.52,15.8,ok,1518566400,370800
10,15.4,15.63,15.0,15.54,ok,1518652800,697400
11,15.36,15.58,15.21,15.4,ok,1518739200,839300
12,15.4,15.61,15.27,15.36,ok,1519084800,241900
13,15.9,16.48,15.4,15.4,ok,1519171200,743900
14,16.23,16.36,15.9,16.1,ok,1519257600,473200
15,16.76,16.97,16.23,16.23,ok,1519344000,530500
16,16.5,16.65,16.13,16.5,ok,1519603200,395900
17,15.77,16.78,15.43,16.41,ok,1519689600,453700
18,15.61,16.04,15.47,15.77,ok,1519776000,487900
19,15.0,15.608,14.64,15.6,ok,1519862400,721600
20,15.03,15.51,14.71,15.06,ok,1519948800,348200
21,15.09,15.34,14.55,14.95,ok,1520208000,293900
22,15.1,15.56,14.8,15.1,ok,1520294400,359100
23,16.01,16.01,14.971,15.1,ok,1520380800,582300
24,16.23,16.5,15.82,16.03,ok,1520467200,425300
25,16.21,16.53,15.94,16.45,ok,1520553600,627200
26,16.34,16.54,16.24,16.29,ok,1520812800,698000
27,16.25,16.74,16.1,16.36,ok,1520899200,652900
28,16.26,16.51,16.16,16.31,ok,1520985600,496500
29,15.9,16.36,15.3,16.29,ok,1521072000,784400
30,15.64,15.79,15.07,15.79,ok,1521158400,4134000
31,15.31,15.54,14.86,15.54,ok,1521417600,478000
32,14.87,15.44,14.68,15.34,ok,1521504000,376900
33,15.42,15.44,14.573,14.84,ok,1521590400,625300
34,15.63,15.96,15.126,15.38,ok,1521676800,239000
35,15.79,15.99,15.126,15.38,ok,1521763200,324000
36,15.96,16.05,15.54,15.92,ok,1522022400,319100
37,15.49,16.13,15.41,16.05,ok,1522108800,182800
38,15.18,15.7,15.08,15.51,ok,1522195200,351100
39,15.91,15.98,15.031,15.23,ok,1522281600,384200
40,15.51,16.0,15.45,15.85,ok,1522627200,178200
41,15.21,15.73,15.19,15.56,ok,1522713600,118800
42,14.98,15.23,14.94,15.08,ok,1522800000,737700
43,14.81,15.2,14.81,15.13,ok,1522886400,408600
44,14.8,14.98,14.6,14.78,ok,1522972800,217400
45,14.78,15.0,14.62,14.82,ok,1523232000,193700
46,14.84,15.0,14.7,15.0,ok,1523318400,272600
47,14.94,15.0,14.77,14.77,ok,1523404800,100400
48,15.18,15.49,14.87,14.96,ok,1523491200,425200
49,15.16,15.2,14.6,15.2,ok,1523577600,593400
50,15.2,15.27,14.83,15.16,ok,1523836800,223000
51,15.41,15.45,14.99,15.18,ok,1523923200,366600
52,15.67,16.0,15.34,15.42,ok,1524009600,429600
53,14.89,15.84,14.83,15.61,ok,1524096000,463000
54,14.88,15.02,14.55,14.98,ok,1524182400,213500
55,15.1,15.14,14.65,14.9,ok,1524441600,108300
56,14.84,15.29,14.39,15.08,ok,1524528000,473600
57,14.39,14.77,14.23,14.76,ok,1524614400,292800
58,14.91,14.98,14.38,14.39,ok,1524700800,684300
59,14.77,14.99,14.61,14.96,ok,1524787200,328700
60,14.83,15.19,14.76,14.76,ok,1525046400,153000
61,14.63,14.97,14.59,14.78,ok,1525132800,143000
62,14.92,15.18,14.58,14.58,ok,1525219200,170700
63,14.99,15.015,14.61,14.82,ok,1525305600,201000
64,14.93,15.0,14.71,14.89,ok,1525392000,106700
65,15.14,15.32,15.0,15.02,ok,1525651200,263000
66,16.0,16.45,15.35,15.39,ok,1525737600,2490600
67,16.81,17.5,16.19,16.19,ok,1525824000,1193600
68,17.61,17.85,16.89,16.89,ok,1525910400,776500
69,17.4,18.13,17.35,17.64,ok,1525996800,1084400
70,16.7,17.45,16.65,17.41,ok,1526256000,432400
71,17.44,17.5,16.6,16.68,ok,1526342400,288300
72,17.5,17.9,17.35,17.55,ok,1526428800,439100
73,17.5,17.77,17.32,17.56,ok,1526515200,162000
74,17.46,17.75,17.2,17.59,ok,1526601600,597800
75,17.52,17.65,17.29,17.61,ok,1526860800,254500
76,17.4,17.9,17.181,17.5,ok,1526947200,331000
77,17.73,17.73,17.1,17.33,ok,1527033600,375400
78,18.03,18.095,17.5,17.71,ok,1527120000,242300
79,17.57,18.01,17.34,17.98,ok,1527206400,194400
80,17.53,17.74,17.08,17.42,ok,1527552000,214700
81,17.71,18.12,17.61,17.72,ok,1527638400,306000
82,17.52,17.69,17.13,17.69,ok,1527724800,443200
83,17.87,18.01,17.3,17.52,ok,1527811200,170800
84,18.06,18.35,17.785,17.9,ok,1528070400,349200
85,18.32,18.37,17.95,18.16,ok,1528156800,267600
86,18.51,18.66,18.1,18.42,ok,1528243200,227500
87,18.47,18.8,18.19,18.61,ok,1528329600,330500
88,18.36,18.98,18.28,18.47,ok,1528416000,400600
89,18.52,18.72,18.27,18.4,ok,1528675200,138600
90,18.68,18.76,18.48,18.54,ok,1528761600,204600
91,18.69,18.83,18.51,18.69,ok,1528848000,186100
92,18.65,18.845,18.38,18.72,ok,1528934400,208900
93,18.77,18.94,18.33,18.65,ok,1529020800,319400
94,18.57,18.768,18.53,18.6,ok,1529280000,132500
95,18.59,18.68,18.24,18.43,ok,1529366400,193900
96,18.62,18.84,18.435,18.68,ok,1529452800,179300
97,18.23,18.89,18.18,18.49,ok,1529539200,250900
98,18.45,18.68,17.97,18.28,ok,1529625600,565100
99,18.07,18.35,17.995,18.35,ok,1529884800,197000
100,18.22,18.33,17.77,18.12,ok,1529971200,150400
101,17.63,18.29,17.58,18.18,ok,1530057600,114200
102,17.39,17.63,16.74,17.55,ok,1530144000,306100
103,17.49,17.67,17.23,17.39,ok,1530230400,456700
104,17.32,17.38,16.82,17.38,ok,1530489600,151900
105,17.18,17.5,17.12,17.38,ok,1530576000,229900
106,18.01,18.02,17.29,17.29,ok,1530748800,410200
107,17.89,18.11,17.795,17.98,ok,1530835200,196500
108,17.64,17.9,17.33,17.9,ok,1531094400,286300
109,17.46,17.78,17.35,17.64,ok,1531180800,79700
110,17.37,17.49,17.09,17.49,ok,1531267200,147600
111,17.32,17.54,17.22,17.37,ok,1531353600,160200
112,17.31,17.69,17.25,17.32,ok,1531440000,104000
113,17.09,17.4,16.96,17.4,ok,1531699200,197400
114,17.07,17.27,16.89,17.02,ok,1531785600,174800
115,17.32,17.48,16.95,17.07,ok,1531872000,178400
116,17.2,17.39,17.01,17.22,ok,1531958400,159700
117,17.06,17.26,17.01,17.17,ok,1532044800,200700
118,17.11,17.3,16.99,16.99,ok,1532304000,228300
119,17.23,17.27,17.06,17.11,ok,1532390400,276000
120,17.16,17.25,17.05,17.15,ok,1532476800,150300
121,16.94,17.2,16.67,17.15,ok,1532563200,290100
122,16.28,17.14,16.13,16.95,ok,1532649600,321000
123,16.29,16.54,16.24,16.3,ok,1532908800,270800
124,16.9,17.34,16.42,16.42,ok,1532995200,262800
125,17.34,17.39,16.7,16.81,ok,1533081600,609800
126,17.04,17.61,16.86,17.3,ok,1533168000,882400
127,18.66,19.77,18.01,19.0,ok,1533254400,1355700
128,18.99,19.005,18.41,18.7,ok,1533513600,667000
129,18.93,19.49,18.65,18.98,ok,1533600000,481000
130,18.89,19.145,18.72,18.93,ok,1533686400,317900
131,19.02,19.12,18.74,18.95,ok,1533772800,466800
132,19.16,19.25,18.858,18.94,ok,1533859200,199200
133,19.1,19.48,19.0,19.16,ok,1534118400,225400
134,19.25,19.61,18.98,19.1,ok,1534204800,414700
135,18.89,19.336,18.84,19.18,ok,1534291200,732100
136,19.06,19.18,18.78,18.96,ok,1534377600,243100
137,19.1,19.41,18.895,19.0,ok,1534464000,221600
138,19.15,19.38,18.88,19.19,ok,1534723200,300900
139,18.99,19.24,18.94,19.24,ok,1534809600,133200
140,18.93,19.05,18.83,18.97,ok,1534896000,145800
141,18.97,19.125,18.79,18.94,ok,1534982400,137300
142,18.96,19.03,18.88,18.9,ok,1535068800,74300
143,18.96,19.01,18.82,19.0,ok,1535328000,72100
144,19.0,19.1,18.86,18.95,ok,1535414400,205600
145,19.7,19.902,18.97,19.13,ok,1535500800,389500
146,20.09,20.31,19.56,19.6,ok,1535587200,247100
147,20.6,20.62,19.51,19.96,ok,1535673600,359400
148,20.81,21.17,20.4,20.5,ok,1536019200,416400
149,21.49,21.5,20.81,20.81,ok,1536105600,421900
150,21.47,21.72,21.24,21.6,ok,1536192000,554700
151,21.5,21.83,21.35,21.38,ok,1536278400,298600
152,21.74,21.99,21.36,21.61,ok,1536537600,215700
153,22.3,22.37,21.53,21.8,ok,1536624000,498100
154,22.3,22.75,22.26,22.32,ok,1536710400,558600
155,22.49,22.54,21.95,22.29,ok,1536796800,227200
156,22.66,22.96,22.35,22.45,ok,1536883200,266400
157,22.51,22.69,22.03,22.62,ok,1537142400,190800
158,22.81,23.18,22.53,22.61,ok,1537228800,1358600
159,22.64,23.22,22.52,22.92,ok,1537315200,505200
160,22.73,22.96,22.591,22.89,ok,1537401600,247300
161,22.74,22.99,22.285,22.7,ok,1537488000,362400
162,22.57,22.97,22.44,22.7,ok,1537747200,142400
163,22.99,23.02,22.52,22.64,ok,1537833600,201900
164,22.37,23.12,22.36,23.12,ok,1537920000,344900
165,22.58,22.69,21.91,22.69,ok,1538006400,372700
166,22.56,22.97,22.34,22.52,ok,1538092800,180400
167,22.13,22.89,21.94,22.62,ok,1538352000,585900
168,21.95,22.21,21.76,22.11,ok,1538438400,568300
169,22.0,22.58,21.88,22.03,ok,1538524800,192500
170,21.56,21.89,21.39,21.89,ok,1538611200,316100
171,21.87,22.04,21.56,21.72,ok,1538697600,303500
172,21.7,21.975,21.34,21.82,ok,1538956800,181500
173,21.46,21.97,21.42,21.67,ok,1539043200,187500
174,20.91,21.57,20.84,21.55,ok,1539129600,171300
175,21.38,22.28,20.94,20.94,ok,1539216000,286700
176,21.71,22.81,21.6,21.84,ok,1539302400,385000
177,21.67,21.91,21.27,21.7,ok,1539561600,289800
178,21.85,22.03,21.52,21.91,ok,1539648000,372200
179,21.73,21.84,21.37,21.84,ok,1539734400,198600
180,21.59,21.98,21.36,21.61,ok,1539820800,120200
181,21.06,21.79,20.85,21.56,ok,1539907200,189100
182,21.54,21.86,21.15,21.16,ok,1540166400,105800
183,21.99,22.06,21.165,21.42,ok,1540252800,155000
184,20.94,22.29,20.94,21.96,ok,1540339200,380100
185,21.07,21.36,20.25,21.13,ok,1540425600,282100
186,20.82,21.34,20.62,20.86,ok,1540512000,195500
187,20.29,21.25,20.17,21.11,ok,1540771200,202900
188,20.79,21.16,20.181,20.31,ok,1540857600,183600
189,21.14,21.35,20.72,21.11,ok,1540944000,222600
190,21.06,21.36,20.56,21.16,ok,1541030400,413700
191,20.98,21.39,20.725,21.17,ok,1541116800,337600
192,19.81,21.15,18.54,21.07,ok,1541376000,2702100
193,20.41,20.86,19.87,19.87,ok,1541462400,719400
194,20.5,20.63,20.05,20.48,ok,1541548800,384100
195,20.5,20.69,20.37,20.42,ok,1541635200,252400
196,20.07,20.39,19.77,20.39,ok,1541721600,273000
197,19.45,20.24,19.43,20.11,ok,1541980800,203000
198,19.58,20.32,19.39,19.6,ok,1542067200,368100
199,19.28,20.14,19.26,19.81,ok,1542153600,221800
200,19.61,19.73,19.09,19.2,ok,1542240000,154100
201,19.71,19.79,19.3,19.59,ok,1542326400,184400
202,18.99,19.93,18.75,19.73,ok,1542585600,246000
203,18.75,19.14,18.38,18.82,ok,1542672000,200200
204,19.28,19.55,18.82,18.82,ok,1542758400,187800
205,19.58,19.8,19.01,19.2,ok,1542931200,152400
206,19.63,20.03,19.455,19.68,ok,1543190400,560500
207,19.91,19.93,19.36,19.53,ok,1543276800,179200
208,20.39,20.66,19.7,19.95,ok,1543363200,255800
209,20.0,20.49,19.68,20.39,ok,1543449600,133800
210,20.75,20.8,19.9,19.99,ok,1543536000,335700
211,20.59,21.1,20.34,21.04,ok,1543795200,364600
212,19.16,20.79,18.93,20.59,ok,1543881600,288400
213,18.83,19.25,18.45,18.92,ok,1544054400,652600
214,17.42,18.497,16.76,18.34,ok,1544140800,955000
215,17.85,18.1,17.5,17.5,ok,1544400000,275800
216,17.78,18.01,17.45,17.99,ok,1544486400,363300
217,17.78,18.12,17.62,17.92,ok,1544572800,219600
218,17.78,17.89,17.44,17.89,ok,1544659200,256700
219,17.73,18.045,17.575,17.75,ok,1544745600,327500
220,16.45,17.66,16.39,17.64,ok,1545004800,378100
221,16.51,16.8,16.23,16.53,ok,1545091200,221900
222,15.78,16.59,15.63,16.59,ok,1545177600,354400
223,15.95,16.19,15.54,15.78,ok,1545264000,305600
224,15.36,16.38,15.36,15.9,ok,1545350400,406800
225,15.65,16.21,15.28,15.46,ok,1545609600,141500
226,16.56,16.57,15.75,15.77,ok,1545782400,180900
227,16.71,16.73,16.05,16.25,ok,1545868800,239400
228,16.86,17.0,16.35,16.77,ok,1545955200,196100
229,17.15,17.18,16.66,17.02,ok,1546214400,271000
230,16.66,17.0,16.45,16.95,ok,1546387200,216600
231,16.3,16.835,15.99,16.5,ok,1546473600,524000
232,16.76,17.06,16.24,16.35,ok,1546560000,245700
233,16.63,16.985,16.18,16.63,ok,1546819200,769800
234,16.75,16.92,16.52,16.78,ok,1546905600,423000
235,14.75,16.36,13.4,15.84,ok,1546992000,3645400
236,14.14,14.53,14.0,14.2,ok,1547078400,901600
237,14.82,14.88,14.0,14.0,ok,1547164800,504800
238,14.3,14.7,14.1,14.125,ok,1547424000,360100
239,13.99,14.44,13.94,14.3,ok,1547510400,343900
240,13.05,13.41,13.0,13.31,ok,1547596800,573600
241,13.1,13.37,12.95,12.99,ok,1547683200,464500
242,13.64,13.76,13.05,13.21,ok,1547769600,471400
243,13.74,14.0,13.28,13.62,ok,1548115200,486600
244,13.65,13.92,13.51,13.79,ok,1548201600,328600
245,13.54,13.8,13.4,13.57,ok,1548288000,265400
246,13.55,13.79,13.47,13.6,ok,1548374400,238800
247,13.39,13.99,13.38,13.48,ok,1548633600,381900
248,12.96,13.35,12.9,13.32,ok,1548720000,249400
249,13.02,13.253,12.736,13.07,ok,1548806400,231400
250,12.88,13.08,12.75,13.05,ok,1548892800,527400
251,13.11,13.25,12.67,12.85,ok,1548979200,489600
252,13.39,13.53,13.05,13.1,ok,1549238400,430000
253,13.48,13.73,13.385,13.49,ok,1549324800,556100
254,13.48,13.66,13.36,13.59,ok,1549411200,310700
255,13.45,13.52,13.42,13.45,ok,1549497600,236400
256,13.19,13.44,13.17,13.37,ok,1549584000,151600
257,13.46,13.54,13.08,13.32,ok,1549843200,291100
258,13.53,13.59,13.36,13.5,ok,1549929600,219400
259,13.88,14.065,13.55,13.6,ok,1550016000,480400
260,13.89,14.06,13.7,13.85,ok,1550102400,472100
261,13.88,14.1,13.71,13.97,ok,1550188800,216900
262,14.28,14.32,13.77,13.77,ok,1550534400,330100
263,14.22,14.37,14.09,14.3,ok,1550620800,212900
264,14.15,14.465,14.04,14.24,ok,1550707200,238200
265,14.47,14.7,14.15,14.22,ok,1550793600,441900
266,14.71,14.84,14.54,14.54,ok,1551052800,457500
267,14.81,14.84,14.62,14.67,ok,1551139200,284700
268,15.0,15.14,14.72,14.8,ok,1551225600,297400
269,14.9,15.02,14.67,14.99,ok,1551312000,221700
270,14.81,15.6,14.53,15.6,ok,1551398400,151000
271,14.64,14.85,14.58,14.85,ok,1551657600,218300
272,14.3,14.89,14.16,14.76,ok,1551744000,163300
273,13.81,14.358,13.8,14.32,ok,1551830400,197900
274,14.09,14.49,13.72,13.93,ok,1551916800,289700
275,13.84,14.01,13.65,13.94,ok,1552003200,208200
276,13.75,13.97,13.67,13.84,ok,1552262400,273400
277,13.65,13.85,13.46,13.85,ok,1552348800,176000
278,14.09,14.16,13.68,13.7,ok,1552435200,598600
279,14.29,15.37,13.58,13.83,ok,1552521600,825400
280,14.03,14.48,13.8,14.29,ok,1552608000,747300
281,14.12,14.24,13.69,13.97,ok,1552867200,452300
282,14.52,14.69,14.11,14.57,ok,1552953600,257500
283,14.28,14.76,14.17,14.49,ok,1553040000,367100
284,14.36,14.42,14.07,14.07,ok,1553126400,281700
285,13.34,14.405,13.33,14.25,ok,1553212800,347900
286,13.25,13.53,13.09,13.31,ok,1553472000,291000
287,13.63,13.75,13.35,13.37,ok,1553558400,197300
288,13.78,13.9,13.54,13.54,ok,1553644800,179600
289,13.78,14.071,13.69,13.84,ok,1553731200,258600
