,c,h,l,o,s,t,v
0,1.1,1.11,1.06,1.11,ok,1573171200,78500
1,1.08,1.1,1.06,1.07,ok,1573430400,34500
2,1.065,1.08,1.01,1.07,ok,1573516800,75200
3,1.012,1.06,0.99,1.039,ok,1573603200,69700
4,0.998,1.03,0.983,1.01,ok,1573689600,36800
5,0.96,1.02,0.94,1.02,ok,1573776000,61300
6,0.84,1.02,0.78,0.942,ok,1574035200,213400
7,0.81,0.82,0.8,0.816,ok,1574121600,69400
8,0.95,1.0,0.82,0.82,ok,1574208000,101500
9,0.926,0.946,0.836,0.946,ok,1574294400,46500
10,0.941,0.968,0.817,0.904,ok,1574380800,168100
11,0.903,0.97,0.862,0.964,ok,1574640000,182600
12,0.882,1.1,0.874,0.93,ok,1574726400,918000
13,0.867,0.968,0.862,0.968,ok,1574812800,115600
14,0.85,0.89,0.85,0.87,ok,1574985600,40000
15,0.88,0.91,0.861,0.867,ok,1575244800,46700
16,0.86,0.87,0.824,0.87,ok,1575331200,64500
17,0.865,0.915,0.847,0.86,ok,1575417600,58000
18,0.92,0.939,0.871,0.9,ok,1575504000,44900
19,0.89,0.966,0.88,0.966,ok,1575590400,125600
20,0.888,0.9,0.84,0.9,ok,1575849600,52300
21,0.915,0.92,0.84,0.859,ok,1575936000,68100
22,0.906,0.92,0.89,0.906,ok,1576022400,57200
23,1.05,1.08,0.855,0.92,ok,1576108800,304700
24,1.16,1.45,1.07,1.1,ok,1576195200,4623400
25,1.18,1.28,1.02,1.11,ok,1576454400,465900
26,1.2,1.24,1.077,1.11,ok,1576540800,155300
27,1.146,1.25,1.09,1.25,ok,1576627200,146800
28,1.11,1.2,1.1,1.2,ok,1576713600,102600
29,1.09,1.167,1.06,1.16,ok,1576800000,105200
30,1.04,1.1,1.03,1.07,ok,1577059200,82200
31,1.031,1.09,1.0,1.09,ok,1577145600,63900
32,1.11,1.14,1.02,1.04,ok,1577318400,248800
33,1.095,1.23,1.058,1.21,ok,1577404800,254500
34,1.15,1.15,1.06,1.11,ok,1577664000,119700
35,1.117,1.19,1.1,1.15,ok,1577750400,122600
36,1.09,1.14,1.09,1.14,ok,1577923200,65300
37,1.05,1.1,1.05,1.1,ok,1578009600,100600
38,0.952,1.08,0.8,1.05,ok,1578268800,1070700
39,0.97,0.97,0.952,0.952,ok,1578355200,54000
40,0.922,0.985,0.874,0.965,ok,1578441600,94900
41,0.945,0.955,0.922,0.94,ok,1578528000,66500
42,1.09,1.13,0.91,0.95,ok,1578614400,1383400
43,1.2,1.26,1.05,1.13,ok,1578873600,1415100
44,1.15,1.28,1.085,1.24,ok,1578960000,673100
45,1.06,1.25,1.02,1.13,ok,1579046400,899600
46,1.09,1.17,1.07,1.12,ok,1579132800,262400
47,1.03,1.095,1.02,1.08,ok,1579219200,242400
48,0.95,1.02,0.925,0.98,ok,1579564800,348000
49,0.93,0.97,0.93,0.95,ok,1579651200,128400
50,0.93,0.97,0.89,0.931,ok,1579737600,89000
51,0.905,0.95,0.86,0.95,ok,1579824000,216500
52,0.86,0.889,0.75,0.888,ok,1580083200,281200
53,0.85,0.95,0.83,0.88,ok,1580169600,322700
54,0.842,0.927,0.831,0.85,ok,1580256000,76900
55,0.834,0.88,0.8,0.844,ok,1580342400,119300
56,0.8,0.85,0.8,0.812,ok,1580428800,103400
57,0.797,0.836,0.77,0.807,ok,1580688000,116500
58,0.806,0.82,0.8,0.8,ok,1580774400,32900
59,0.832,0.88,0.81,0.824,ok,1580860800,111900
60,0.635,0.69,0.571,0.69,ok,1582761600,107100
61,0.55,0.57,0.5,0.54,ok,1588204800,107700
62,0.58,0.63,0.5,0.5,ok,1588896000,149600
63,0.54,0.58,0.51,0.51,ok,1589155200,62400
64,0.469,0.54,0.45,0.51,ok,1589241600,320800
65,0.44,0.46,0.43,0.458,ok,1589328000,143600
66,0.43,0.463,0.425,0.43,ok,1589414400,101600
67,0.402,0.429,0.4,0.425,ok,1589500800,144500
68,0.39,0.45,0.35,0.42,ok,1589760000,371700
69,0.4,0.447,0.37,0.41,ok,1589846400,156300
70,0.417,0.48,0.389,0.389,ok,1589932800,193200
71,0.393,0.43,0.37,0.411,ok,1590019200,83000
72,0.41,0.449,0.38,0.38,ok,1590105600,112800
73,0.404,0.45,0.401,0.45,ok,1590451200,74600
74,0.41,0.429,0.4,0.406,ok,1590537600,44400
75,0.7,0.875,0.433,0.447,ok,1590624000,7516400
76,0.525,0.61,0.5,0.549,ok,1590710400,888100
