,c,h,l,o,s,t,v
0,11.0829,11.1929,10.8729,11.1929,ok,1420156800,27300
1,11.222,11.332,10.952,11.032,ok,1420416000,114700
2,10.8047,11.3447,10.7847,11.2847,ok,1420502400,93600
3,10.6655,10.9355,10.5855,10.9355,ok,1420588800,84600
4,10.6748,10.8848,10.6348,10.6748,ok,1420675200,54000
5,11.0087,11.1687,10.6987,10.6987,ok,1420761600,38900
6,10.6377,11.0677,10.5277,11.0677,ok,1421020800,87000
7,10.6377,10.7777,10.4677,10.7777,ok,1421107200,86000
8,10.4244,10.5844,10.2344,10.4244,ok,1421193600,60400
9,10.2204,10.5204,10.1904,10.4804,ok,1421280000,38000
10,10.5171,10.5571,10.1271,10.1771,ok,1421366400,44800
11,10.4615,10.9415,10.1915,10.5315,ok,1421712000,47100
12,10.1647,10.4847,10.0047,10.4747,ok,1421798400,72900
13,10.378,10.518,9.988,10.188,ok,1421884800,140600
14,10.4059,10.4659,10.2659,10.3459,ok,1421971200,34000
15,10.4615,10.4815,10.2715,10.3915,ok,1422230400,70900
16,10.2111,10.4111,10.1711,10.4111,ok,1422316800,62600
17,10.3595,10.4895,10.1095,10.2995,ok,1422403200,95100
18,10.4615,10.4915,10.2415,10.3415,ok,1422489600,43400
19,10.2667,10.5967,10.2467,10.4467,ok,1422576000,88800
20,10.378,10.508,10.138,10.318,ok,1422835200,55900
21,10.6192,10.7292,10.2692,10.2692,ok,1422921600,118100
22,10.0534,10.4534,9.9634,10.3634,ok,1423008000,105200
23,10.0349,10.2249,9.9449,10.0649,ok,1423094400,63200
24,10.1183,10.2283,9.9583,10.0583,ok,1423180800,60800
25,10.0905,10.2705,9.9605,10.1305,ok,1423440000,123300
26,10.0071,10.3371,9.9571,10.1971,ok,1423526400,55000
27,9.8308,10.1308,9.7508,9.9608,ok,1423612800,52100
28,9.905,10.165,9.835,9.835,ok,1423699200,62800
29,10.0071,10.1571,9.8771,9.9371,ok,1423785600,89000
30,10.0534,10.1534,9.9834,10.0734,ok,1424131200,46400
31,9.9972,10.1072,9.9772,10.0872,ok,1424217600,39100
32,9.9034,10.0034,9.8434,10.0034,ok,1424304000,76000
33,9.9409,10.0209,9.7509,9.9509,ok,1424390400,77100
