,c,h,l,o,s,t,v
0,17.7414,17.8614,17.6614,17.7414,ok,1420156800,6600
1,17.7414,17.7614,17.5614,17.7414,ok,1420416000,8700
2,17.6415,17.7715,17.5715,17.7115,ok,1420502400,12300
3,17.6953,17.7453,17.6753,17.6753,ok,1420588800,4000
4,17.7414,17.7614,17.7114,17.7314,ok,1420675200,3700
5,17.8721,17.8721,17.6321,17.6321,ok,1420761600,4600
6,17.7568,17.7668,17.6868,17.7068,ok,1421020800,6900
7,17.7799,17.8999,17.6999,17.8999,ok,1421107200,8000
8,17.7645,17.8145,17.7645,17.8145,ok,1421280000,4300
9,17.8029,17.8529,17.7729,17.8029,ok,1421366400,4500
10,17.8029,17.8429,17.7429,17.7429,ok,1421712000,2500
11,17.9105,18.1405,17.7605,17.7605,ok,1421798400,4600
12,17.8721,17.8921,17.8721,17.8921,ok,1421884800,4700
13,18.2565,18.2565,17.5665,17.8065,ok,1421971200,6200
14,18.3335,18.3435,17.7335,18.2835,ok,1422230400,20000
15,18.0097,18.3797,17.8697,17.8697,ok,1422316800,19600
16,18.2333,18.2733,17.8733,17.9933,ok,1422403200,17400
17,18.3875,18.4175,17.9875,17.9875,ok,1422489600,9300
18,18.3258,18.3458,17.7358,18.1158,ok,1422576000,6100
19,18.3644,18.3644,17.5544,17.5544,ok,1422835200,2700
20,18.4261,18.4261,18.2361,18.3361,ok,1422921600,1800
21,18.4261,18.4261,17.8261,18.3961,ok,1423008000,3900
22,18.5032,18.5032,17.7432,17.7432,ok,1423094400,6100
23,18.4954,18.4954,18.0554,18.0554,ok,1423180800,6600
24,18.588,18.588,18.058,18.488,ok,1423440000,17200
25,18.5803,19.4703,17.9803,19.4703,ok,1423526400,6600
26,18.6265,18.6265,18.5065,18.5065,ok,1423612800,600
27,18.6342,18.6642,18.4042,18.4942,ok,1424131200,2400
28,18.5803,18.7503,18.5803,18.7403,ok,1424217600,5700
29,18.6882,18.6882,18.0982,18.5582,ok,1424390400,3200
30,18.5838,18.6638,18.2538,18.6638,ok,1424649600,9500
31,18.6225,18.6225,18.6225,18.6225,ok,1424736000,100
32,18.6766,18.6866,17.8166,17.8166,ok,1424822400,2300
33,18.7385,18.7385,18.6685,18.6685,ok,1424908800,3500
34,18.7075,18.7375,18.5675,18.5775,ok,1424995200,2100
35,18.7307,18.7607,18.6607,18.7107,ok,1425254400,113400
36,18.6843,18.7443,18.6843,18.7443,ok,1425340800,500
37,18.6921,18.6921,18.6921,18.6921,ok,1425427200,200
38,18.8854,18.8854,18.6454,18.6454,ok,1425513600,1000
39,18.7771,18.7771,18.5971,18.7271,ok,1425600000,4800
40,18.7385,18.7385,18.7185,18.7385,ok,1425859200,4400
41,18.723,18.823,18.713,18.763,ok,1425945600,800
42,18.723,18.733,18.713,18.723,ok,1426032000,1300
43,18.723,18.833,18.723,18.833,ok,1426118400,1400
44,18.6998,18.7498,18.5298,18.6298,ok,1426464000,7900
45,18.4214,18.6514,18.1014,18.6114,ok,1426636800,17000
46,18.46,18.56,18.35,18.54,ok,1426723200,22000
47,18.3054,18.5154,18.1954,18.4754,ok,1426809600,18400
48,18.2976,18.6876,18.0876,18.2676,ok,1427068800,20600
49,18.375,18.605,18.125,18.125,ok,1427155200,19400
50,18.491,18.491,18.001,18.001,ok,1427241600,7100
51,18.5219,18.5219,18.3319,18.5019,ok,1427328000,55800
52,18.4755,18.5355,18.4455,18.4755,ok,1427673600,1200
53,18.5142,18.5142,18.5142,18.5142,ok,1427760000,100
54,18.4136,18.4336,18.3936,18.3936,ok,1427846400,9600
55,18.4678,18.4778,18.1678,18.4778,ok,1427932800,17900
56,18.4136,18.4136,18.3536,18.3536,ok,1428278400,600
57,18.7075,18.7275,18.3475,18.7275,ok,1428364800,1200
58,18.5683,18.7483,18.5683,18.7483,ok,1428451200,500
