,c,h,l,o,s,t,v
0,22.6523,22.6923,22.6023,22.6923,ok,1505692800,3900
1,22.5525,22.6725,22.5525,22.6725,ok,1505779200,3500
2,22.5525,22.5925,22.5325,22.5925,ok,1505865600,1700
3,22.5035,22.5075,22.5035,22.5075,ok,1505952000,4000
4,22.5616,22.5616,22.5516,22.5616,ok,1506038400,1400
5,22.6432,22.6432,22.5632,22.5632,ok,1506297600,1100
6,22.5525,22.5525,22.5525,22.5525,ok,1506384000,200
7,22.5053,22.5373,22.4993,22.5073,ok,1506470400,4700
8,22.5434,22.5434,22.4934,22.5134,ok,1506556800,2700
9,22.5344,22.5544,22.5344,22.5344,ok,1506643200,3100
10,22.5462,22.5932,22.5192,22.5932,ok,1506902400,3700
11,22.6069,22.6069,22.5769,22.5769,ok,1506988800,1300
12,22.6069,22.6369,22.6069,22.6369,ok,1507075200,1700
13,22.6069,22.6169,22.5869,22.6169,ok,1507161600,4100
14,22.5707,22.5707,22.5207,22.5307,ok,1507248000,3600
15,22.5707,22.5907,22.5707,22.5907,ok,1507507200,4200
16,22.6187,22.6187,22.6187,22.6187,ok,1507593600,200
17,22.7249,22.7249,22.6849,22.6849,ok,1507852800,700
18,22.7158,22.7258,22.7158,22.7258,ok,1508112000,400
19,22.733,22.733,22.694,22.694,ok,1508198400,1400
20,22.6405,22.6635,22.6335,22.6535,ok,1508284800,11600
21,22.616,22.616,22.569,22.586,ok,1508457600,4900
22,22.6813,22.7193,22.6533,22.6533,ok,1508716800,4500
23,22.6614,22.6614,22.6414,22.6414,ok,1508803200,7500
24,22.5879,22.5879,22.5289,22.5689,ok,1508889600,3800
25,22.5979,22.5999,22.5979,22.5999,ok,1508976000,400
26,22.6432,22.6432,22.6222,22.6232,ok,1509062400,2500
27,22.7094,22.7214,22.6794,22.7214,ok,1509321600,1200
28,22.7131,22.7141,22.7131,22.7141,ok,1509408000,1100
29,22.7249,22.7499,22.6799,22.7499,ok,1509494400,4800
30,22.7659,22.7659,22.7319,22.7359,ok,1509580800,2300
31,22.7659,22.7659,22.6999,22.7159,ok,1509667200,7400
32,22.7841,22.7941,22.7401,22.7401,ok,1509926400,6500
33,22.7477,22.7777,22.7277,22.7577,ok,1510012800,5300
34,22.7113,22.7413,22.6993,22.7313,ok,1510099200,3000
35,22.6839,22.7039,22.6439,22.6839,ok,1510185600,3800
36,22.5564,22.5764,22.5564,22.5754,ok,1510272000,3200
37,22.5199,22.5399,22.5199,22.5219,ok,1510531200,1000
38,22.5746,22.5996,22.5746,22.5746,ok,1510617600,2100
39,22.6384,22.6384,22.5684,22.5684,ok,1510704000,2500
40,22.5837,22.5937,22.5537,22.5677,ok,1510790400,2600
41,22.6384,22.6484,22.6044,22.6284,ok,1510876800,1200
42,22.6293,22.6293,22.5573,22.5793,ok,1511136000,5300
43,22.622,22.64,22.622,22.64,ok,1511222400,1100
44,22.7568,22.7568,22.6778,22.6868,ok,1511308800,3100
45,22.7295,22.7295,22.6895,22.6895,ok,1511481600,1300
46,22.7204,22.7604,22.7104,22.7604,ok,1511740800,1000
47,22.7568,22.7768,22.7268,22.7268,ok,1511827200,1900
48,22.6839,22.6939,22.6439,22.6439,ok,1511913600,3700
49,22.6593,22.6863,22.6023,22.6463,ok,1512000000,19500
50,22.7782,22.7782,22.6232,22.6232,ok,1512086400,600
51,22.6822,22.6922,22.6622,22.6922,ok,1512345600,800
52,22.8102,22.8102,22.7002,22.7102,ok,1512432000,7200
53,22.856,22.856,22.816,22.816,ok,1512518400,1000
54,22.7645,22.8245,22.7545,22.7845,ok,1512604800,2800
55,22.759,22.785,22.704,22.704,ok,1512691200,826200
56,22.7554,22.7854,22.6854,22.7354,ok,1512950400,4000
57,22.7279,22.7579,22.6589,22.6589,ok,1513036800,7100
58,22.7801,22.8531,22.7231,22.7231,ok,1513123200,6000
59,22.8285,22.8685,22.7485,22.7485,ok,1513209600,9000
60,22.8194,22.8694,22.7254,22.7324,ok,1513296000,11900
61,22.8011,22.8311,22.7361,22.8061,ok,1513555200,5400
62,22.663,22.714,22.651,22.714,ok,1513641600,4300
63,22.6548,22.6848,22.5848,22.5848,ok,1513728000,6400
64,22.6896,22.6896,22.5696,22.6296,ok,1513814400,4600
65,22.6254,22.9654,22.6254,22.6654,ok,1513900800,337800
66,22.6987,23.8087,22.6087,23.8087,ok,1514246400,22700
67,22.8041,22.8291,22.6591,22.7391,ok,1514332800,45300
68,22.772,22.832,22.752,22.752,ok,1514419200,2300
69,22.8453,22.8753,22.7553,22.7553,ok,1514505600,22800
70,22.7803,22.8313,22.6913,22.7913,ok,1514851200,33700
71,22.7995,22.8195,22.7595,22.8095,ok,1514937600,59100
72,22.8086,22.8186,22.7486,22.7687,ok,1515024000,12800
73,22.7445,22.7845,22.7315,22.7445,ok,1515110400,6900
74,22.772,22.902,22.712,22.902,ok,1515369600,19800
75,22.6758,22.8308,22.5808,22.8308,ok,1515456000,84000
76,22.608,22.637,22.606,22.637,ok,1515542400,3200
77,22.7812,22.7812,22.6332,22.6712,ok,1515628800,34900
78,22.7537,22.7537,22.6137,22.6987,ok,1515715200,6800
79,22.7628,22.7928,22.7128,22.7428,ok,1516060800,40200
80,22.717,22.767,22.643,22.767,ok,1516147200,29800
81,22.6254,22.6354,22.5454,22.5754,ok,1516233600,10900
82,22.5338,22.6038,22.5338,22.6038,ok,1516320000,16200
83,22.5155,22.5755,22.4855,22.4855,ok,1516579200,39300
84,22.6163,22.6313,22.5543,22.5563,ok,1516665600,800300
85,22.5796,22.5996,22.5306,22.5796,ok,1516752000,16200
86,22.641,22.654,22.514,22.514,ok,1516838400,235700
87,22.6071,22.6171,22.4971,22.6141,ok,1516924800,7200
88,22.6071,22.6071,22.4271,22.4771,ok,1517184000,73100
89,22.4697,22.5797,22.4397,22.5797,ok,1517270400,17100
90,22.4926,22.5976,22.4576,22.5976,ok,1517356800,8900
91,22.3576,22.5076,22.3476,22.4276,ok,1517443200,9100
92,22.3043,22.3523,22.2923,22.3523,ok,1517529600,8600
93,22.4219,22.4369,22.1819,22.2019,ok,1517788800,28500
94,22.3209,22.4109,22.2919,22.3129,ok,1517875200,8200
95,22.2299,22.3389,22.2299,22.2359,ok,1517961600,5100
96,22.2382,22.2472,22.1382,22.1382,ok,1518048000,1892600
97,22.1371,22.1971,22.1371,22.1371,ok,1518134400,17700
98,22.1555,22.2055,22.0775,22.2055,ok,1518393600,12500
99,22.1206,22.1686,22.0666,22.1186,ok,1518480000,12100
100,21.9626,22.0326,21.9526,22.0326,ok,1518566400,16600
101,22.0637,22.0837,22.0197,22.0637,ok,1518652800,16900
102,22.128,22.178,22.106,22.168,ok,1518739200,17400
103,22.0921,22.0981,22.0711,22.0811,ok,1519084800,16600
104,21.9994,22.1594,21.9994,22.1594,ok,1519171200,38600
105,22.06,22.104,22.034,22.094,ok,1519257600,12400
106,22.1004,22.1804,22.0904,22.0904,ok,1519344000,5200
107,22.2014,22.2314,22.0914,22.2214,ok,1519603200,9500
108,21.9994,22.1594,21.9994,22.0794,ok,1519689600,13800
109,22.1371,22.1671,22.0371,22.1671,ok,1519776000,38100
110,22.1685,22.2035,22.0335,22.0435,ok,1519862400,36900
111,22.0809,22.1409,22.0109,22.1409,ok,1519948800,16000
112,21.9888,22.1008,21.9488,22.0588,ok,1520208000,14400
113,22.0441,22.0841,22.0441,22.0641,ok,1520294400,11000
114,22.0533,22.1233,22.0233,22.1133,ok,1520380800,9700
115,22.1086,22.1186,22.0486,22.1086,ok,1520467200,57600
116,22.0524,22.1434,21.9134,22.1234,ok,1520553600,9900
117,22.0625,22.0625,21.9425,22.0125,ok,1520812800,6700
