,c,h,l,o,s,t,v
0,23.4463,23.5163,23.4463,23.5163,ok,1557360000,9500
1,23.4557,23.4657,23.4557,23.4557,ok,1557446400,400
2,23.3138,23.3138,23.3138,23.3138,ok,1557705600,200
3,23.3937,23.4297,23.3937,23.4297,ok,1557792000,12000
4,23.4238,23.4238,23.4238,23.4238,ok,1557878400,200
5,23.4754,23.4754,23.4754,23.4754,ok,1557964800,100
6,23.4989,23.4989,23.4499,23.4499,ok,1558483200,100
7,23.4313,23.4673,23.4313,23.4673,ok,1558569600,300
8,23.3476,23.3476,23.3476,23.3476,ok,1559088000,100
9,23.2772,23.3772,23.2772,23.3772,ok,1559260800,2000
10,23.4651,23.4651,23.4601,23.4651,ok,1559692800,1000
11,23.4839,23.4839,23.4539,23.4539,ok,1559779200,10900
12,23.5121,23.5121,23.5021,23.5121,ok,1559865600,1400
13,23.5271,23.5611,23.5271,23.5511,ok,1560124800,400
14,23.498,23.498,23.498,23.498,ok,1560297600,100100
15,23.5412,23.5412,23.5302,23.5302,ok,1560470400,200
16,23.6014,23.6064,23.5964,23.6014,ok,1560816000,1100
17,23.7611,23.7761,23.7341,23.7751,ok,1560988800,4700
18,23.6812,23.7012,23.6812,23.7012,ok,1561334400,1600
19,23.6164,23.6824,23.6164,23.6814,ok,1561420800,1300
20,23.6343,23.6443,23.6343,23.6443,ok,1561507200,2600
21,23.6577,23.6577,23.6577,23.6577,ok,1561593600,100
22,23.67,23.692,23.668,23.668,ok,1561680000,400
23,23.6766,23.7046,23.6766,23.7046,ok,1561939200,1000
24,23.7514,23.7514,23.7284,23.7284,ok,1562112000,500
25,23.6946,23.6946,23.6946,23.6946,ok,1562284800,100
26,23.6851,23.6901,23.6851,23.6901,ok,1562544000,300
27,23.6756,23.6906,23.6756,23.6806,ok,1562630400,4000
28,23.7183,23.7383,23.7183,23.7383,ok,1562716800,20600
29,23.6899,23.7109,23.6899,23.7109,ok,1562803200,1000
30,23.6946,23.6946,23.6946,23.6946,ok,1562889600,100
31,23.7022,23.7022,23.6992,23.6992,ok,1563148800,5500
32,23.6614,23.6614,23.6614,23.6614,ok,1563235200,100
33,23.6235,23.6735,23.6235,23.6735,ok,1563321600,2200
34,23.633,23.633,23.603,23.603,ok,1563408000,200
35,23.6188,23.6388,23.6188,23.6388,ok,1563494400,400
36,23.652,23.652,23.652,23.652,ok,1563753600,100
37,23.6899,23.6899,23.6799,23.6799,ok,1563840000,3000
38,23.7088,23.7088,23.7088,23.7088,ok,1563926400,100
39,23.7003,23.7093,23.7003,23.7093,ok,1564012800,400
40,23.7277,23.7277,23.7187,23.7187,ok,1564099200,800
41,23.7088,23.7088,23.7088,23.7088,ok,1564444800,400
42,23.6756,23.7306,23.6756,23.7306,ok,1564531200,400
43,23.6442,23.6592,23.6442,23.6542,ok,1564617600,800
44,23.6204,23.6204,23.6204,23.6204,ok,1564704000,200
45,23.4482,23.4752,23.4482,23.4752,ok,1564963200,200
46,23.5186,23.5186,23.5186,23.5186,ok,1565049600,100
47,23.4577,23.4577,23.4577,23.4577,ok,1565136000,200
48,23.5205,23.5205,23.5205,23.5205,ok,1565222400,200
49,23.4825,23.4825,23.4825,23.4825,ok,1565308800,100
50,23.4349,23.4349,23.4349,23.4349,ok,1565568000,300
51,23.5205,23.5255,23.5205,23.5255,ok,1565654400,8800
52,23.3016,23.3766,23.3016,23.3766,ok,1565740800,32500
53,23.3749,23.3929,23.3229,23.3829,ok,1565827200,3800
54,23.4082,23.4212,23.4012,23.4112,ok,1565913600,37900
55,23.4872,23.4972,23.4672,23.4672,ok,1566259200,1100
56,23.5634,23.5634,23.5473,23.5473,ok,1566345600,1400
57,23.5986,23.5986,23.5756,23.5756,ok,1566432000,600
58,23.5158,23.6558,23.5158,23.6158,ok,1566518400,1500
59,23.6071,23.6071,23.5511,23.5511,ok,1566777600,1000
60,23.6233,23.7033,23.6203,23.6703,ok,1566864000,1800
61,23.6471,23.6591,23.6291,23.6291,ok,1566950400,3800
62,23.6395,23.6945,23.6375,23.6945,ok,1567036800,1200
63,23.6442,23.6442,23.6072,23.6292,ok,1567123200,21800
64,23.5649,23.7289,23.5649,23.7089,ok,1567468800,4400
65,23.6117,23.6267,23.6117,23.6267,ok,1567555200,500
66,23.6347,23.6857,23.6257,23.6257,ok,1567641600,18300
67,23.649,23.68,23.649,23.672,ok,1567728000,800
68,23.6595,23.6595,23.6595,23.6595,ok,1567987200,100
69,23.6844,23.6844,23.6544,23.6704,ok,1568073600,1900
70,23.6739,23.6869,23.6539,23.6779,ok,1568160000,1000
71,23.6834,23.6954,23.6834,23.6954,ok,1568246400,2400
72,23.6681,23.7361,23.6681,23.6841,ok,1568332800,3300
73,23.7532,23.7922,23.7402,23.7402,ok,1568592000,16100
