,c,h,l,o,s,t,v
0,127.5311,128.7811,126.4711,126.7811,ok,1420156800,5525500
1,125.5245,127.2845,125.2045,127.2845,ok,1420416000,4880400
2,122.8174,126.7074,121.9174,126.4174,ok,1420502400,6146700
3,122.0147,124.1647,120.9947,124.1647,ok,1420588800,4701800
4,124.6667,125.2867,121.7967,122.4867,ok,1420675200,4236800
5,125.2097,126.4397,123.3497,124.5197,ok,1420761600,4488300
6,123.1086,125.9186,122.4286,125.6686,ok,1421020800,4187600
7,123.3997,126.5597,122.2697,123.8497,ok,1421107200,4377500
8,122.6049,123.295,120.545,121.6649,ok,1421193600,4690300
9,121.637,124.037,121.227,123.757,ok,1421280000,4248400
10,123.6594,124.1494,120.3394,120.3394,ok,1421366400,5756000
11,123.5099,123.8899,120.5899,123.2599,ok,1421712000,8392800
12,119.6854,122.0954,118.6654,120.6254,ok,1421798400,11897100
13,122.2823,122.6123,118.6523,118.8323,ok,1421884800,6120100
14,122.66,124.39,121.68,121.82,ok,1421971200,4834800
15,123.0456,126.1456,122.4556,124.9456,ok,1422230400,7888100
16,120.9288,122.3488,119.8488,122.1988,ok,1422316800,5659600
17,119.2605,122.2405,119.2605,121.7105,ok,1422403200,4495900
18,122.3531,122.4531,116.3931,118.2531,ok,1422489600,8320800
19,120.6455,122.5755,120.3755,121.2455,ok,1422576000,6563600
20,121.7078,121.7078,118.5578,121.0478,ok,1422835200,4712200
21,124.706,124.836,120.986,120.986,ok,1422921600,5539400
22,123.5178,125.2678,123.2578,123.7678,ok,1423008000,3678500
23,124.2654,124.9454,123.5054,123.6454,ok,1423094400,5253600
24,124.194,125.554,123.704,124.814,ok,1423180800,3256500
25,123.4254,125.1754,123.0753,123.6754,ok,1423440000,3057700
26,125.6522,125.6522,122.1722,123.8322,ok,1423526400,4440600
27,125.3669,126.2569,124.3369,124.9269,ok,1423612800,3626700
28,125.6205,126.6004,125.1904,125.8204,ok,1423699200,3333100
