,c,h,l,o,s,t,v
0,23.0189,23.6189,22.5689,23.6189,ok,1420156800,209300
1,22.1843,22.9643,22.1643,22.8743,ok,1420416000,199700
2,21.4023,22.5723,21.3923,22.2723,ok,1420502400,208300
3,21.1124,21.7024,21.0224,21.6424,ok,1420588800,241100
4,21.0948,21.4748,20.5648,21.3748,ok,1420675200,431100
5,20.7698,21.0998,20.7398,21.0998,ok,1420761600,329800
6,20.5413,21.0313,20.4613,20.7313,ok,1421020800,152200
7,20.4974,21.6374,20.2874,20.7874,ok,1421107200,268600
8,20.2163,20.3763,19.8063,20.1863,ok,1421193600,188500
9,19.9,20.44,19.81,20.2,ok,1421280000,237900
10,20.638,20.718,19.698,19.698,ok,1421366400,183100
11,20.7083,20.8383,20.3683,20.6283,ok,1421712000,578700
12,20.6819,20.9719,20.5419,20.6019,ok,1421798400,201200
13,21.5253,21.6353,20.5153,20.7853,ok,1421884800,209900
14,20.8488,21.6288,20.7788,21.6288,ok,1421971200,181300
15,20.9894,21.1894,20.3494,20.7494,ok,1422230400,131900
16,20.6468,20.8768,20.5168,20.6868,ok,1422316800,117600
17,19.9878,20.7778,19.8778,20.7778,ok,1422403200,237100
18,20.6555,20.6655,19.6655,19.9755,ok,1422489600,227600
19,19.777,20.757,19.737,20.517,ok,1422576000,262100
20,20.4535,20.5135,19.6835,19.8235,ok,1422835200,305500
21,21.253,21.273,20.503,20.593,ok,1422921600,269000
22,20.9191,21.5191,20.8591,21.2191,ok,1423008000,156000
23,21.7801,21.8101,20.9901,20.9901,ok,1423094400,139400
24,21.9471,22.4871,21.8171,21.8871,ok,1423180800,166200
25,21.3672,22.0772,21.2972,21.8572,ok,1423440000,163000
26,21.4638,21.5338,20.8838,21.5038,ok,1423526400,251800
27,21.2178,21.5478,21.0178,21.3378,ok,1423612800,96500
28,21.6923,21.7423,21.2623,21.4623,ok,1423699200,128600
29,21.7801,22.1001,21.6001,21.6901,ok,1423785600,128400
30,21.9119,21.9519,21.5019,21.7219,ok,1424131200,201200
31,21.5517,21.9117,21.3417,21.7317,ok,1424217600,267600
32,21.3496,21.5996,21.1996,21.3596,ok,1424304000,318700
33,21.6571,21.7471,20.6571,21.2671,ok,1424390400,157200
34,21.5693,21.7493,21.1293,21.5393,ok,1424649600,414500
35,21.9998,22.1898,21.5898,21.6598,ok,1424736000,190000
36,21.6835,22.0135,21.4935,21.9435,ok,1424822400,122600
37,21.8504,21.9004,21.5404,21.5804,ok,1424908800,113200
38,21.7538,22.2138,21.6438,21.7638,ok,1424995200,149700
39,21.991,22.151,21.581,21.681,ok,1425254400,120500
40,21.9822,22.1322,21.7622,21.8222,ok,1425340800,172600
41,21.6923,21.9923,21.6523,21.8423,ok,1425427200,130700
42,21.6923,21.9823,21.2323,21.7823,ok,1425513600,99900
43,21.8416,22.4816,21.5816,21.5816,ok,1425600000,131400
44,22.2985,22.3985,21.8685,21.8685,ok,1425859200,100300
45,21.6483,22.0783,21.6083,22.0383,ok,1425945600,103300
46,22.0525,22.2125,21.5225,21.7025,ok,1426032000,329500
47,23.0804,23.1204,22.1604,22.2204,ok,1426118400,188300
48,22.729,22.879,22.069,22.739,ok,1426204800,137000
49,22.5533,22.8633,22.3733,22.8633,ok,1426464000,138800
50,22.8256,22.8857,22.3256,22.3356,ok,1426550400,132400
51,22.5269,23.3969,22.2069,22.6669,ok,1426636800,204600
52,22.1228,22.5128,22.0128,22.3828,ok,1426723200,169100
53,22.8256,22.9356,21.8857,22.2256,ok,1426809600,515900
54,22.6148,23.2348,22.2148,22.8848,ok,1427068800,160800
55,22.7642,22.8842,22.4342,22.6442,ok,1427155200,132600
56,22.0701,22.8201,22.0101,22.8201,ok,1427241600,171700
57,22.3249,22.4049,21.7149,21.9749,ok,1427328000,113500
58,22.2546,22.2846,21.8946,22.2746,ok,1427414400,96800
59,22.8056,23.0056,22.3856,22.3856,ok,1427673600,143000
60,23.1344,23.1844,22.4544,22.5344,ok,1427760000,313800
61,23.1167,23.3167,22.7067,23.1467,ok,1427846400,362600
62,23.2944,23.5144,23.0044,23.0944,ok,1427932800,317900
63,23.0989,23.5889,22.8789,22.9989,ok,1428278400,203700
64,22.8767,23.1367,22.7867,23.1067,ok,1428364800,139800
65,23.0189,23.0689,22.6989,22.8089,ok,1428451200,157600
66,22.9389,23.1189,22.4489,22.9589,ok,1428537600,149000
67,23.17,23.38,22.94,23.03,ok,1428624000,112100
68,23.5344,23.5444,23.0944,23.2044,ok,1428883200,115500
69,23.2678,23.7178,22.9578,23.5778,ok,1428969600,120600
70,23.721,23.921,23.071,23.221,ok,1429056000,140000
71,23.5077,23.7277,23.2077,23.7277,ok,1429142400,117200
72,22.8323,23.4623,22.6923,23.3623,ok,1429228800,114200
73,23.3477,23.5777,22.8477,23.0277,ok,1429488000,94700
74,23.3033,23.6033,23.1433,23.5533,ok,1429574400,82000
75,23.3655,23.4755,22.7655,23.3555,ok,1429660800,99500
76,23.5077,23.6577,23.0177,23.2077,ok,1429747200,127000
77,23.1522,23.6322,23.0022,23.5722,ok,1429833600,68900
78,22.8678,23.5678,22.6078,23.1978,ok,1430092800,114100
79,23.5255,23.6055,22.7855,22.8055,ok,1430179200,100400
80,23.6144,23.8944,23.2344,23.2444,ok,1430265600,120400
81,23.09,23.75,22.9,23.52,ok,1430352000,288000
82,22.9656,23.4856,22.6656,23.1956,ok,1430438400,382400
83,23.0989,23.2489,22.7689,22.9089,ok,1430697600,80300
84,23.1078,23.4578,22.8878,22.8878,ok,1430784000,158600
85,23.3922,23.7522,22.8922,23.2222,ok,1430870400,197900
86,23.4811,23.5911,23.1111,23.2511,ok,1430956800,117700
87,23.3477,23.5777,23.0077,23.5777,ok,1431043200,492300
88,23.5966,23.7266,23.2566,23.2566,ok,1431302400,123000
89,23.801,23.941,23.181,23.491,ok,1431388800,175100
90,23.7299,23.8999,23.3699,23.8999,ok,1431475200,239600
91,23.721,23.871,23.521,23.871,ok,1431561600,172000
92,23.33,23.83,23.0,23.66,ok,1431648000,199800
93,23.7655,23.8655,23.2355,23.2955,ok,1431907200,123900
94,23.8277,23.9077,23.6377,23.7377,ok,1431993600,157200
95,23.9077,23.9677,23.5177,23.8077,ok,1432080000,433700
96,23.7388,24.0288,23.6688,23.8488,ok,1432166400,115000
97,23.5255,23.9655,23.4455,23.7555,ok,1432252800,95800
98,23.1878,23.6578,22.9178,23.3678,ok,1432598400,126900
99,23.5699,23.6199,23.0099,23.2299,ok,1432684800,290900
100,23.5522,23.5722,23.2322,23.5722,ok,1432771200,88600
101,23.1967,23.5367,22.9867,23.5367,ok,1432857600,134800
102,23.25,23.63,22.87,23.39,ok,1433116800,131000
103,23.5966,23.9066,23.0466,23.0466,ok,1433203200,96400
104,23.9077,24.1177,23.6577,23.7177,ok,1433289600,196800
105,23.5255,23.9155,23.3955,23.6955,ok,1433376000,119100
106,24.0232,24.0732,23.4832,23.5732,ok,1433462400,347500
107,24.041,24.171,23.921,23.941,ok,1433721600,106900
108,24.2187,24.6387,23.8787,24.1087,ok,1433808000,189700
109,24.6187,24.6487,24.2187,24.4387,ok,1433894400,342500
110,24.4409,24.6909,24.2509,24.6909,ok,1433980800,222300
111,24.3609,24.5109,24.2009,24.4009,ok,1434067200,104400
112,23.9877,24.3577,23.7577,24.3577,ok,1434326400,298400
113,24.2632,24.4132,23.7432,23.7632,ok,1434412800,230300
114,23.7121,24.4521,23.5621,24.4521,ok,1434499200,107000
115,23.9877,24.0977,23.3677,23.7577,ok,1434585600,184800
116,24.0232,24.2232,23.8032,23.9732,ok,1434672000,855200
117,24.2187,24.5687,24.0387,24.2587,ok,1434931200,155900
118,24.5298,24.5898,24.1898,24.2998,ok,1435017600,244100
119,24.4409,24.6909,24.2709,24.4609,ok,1435104000,151200
120,24.3876,24.6276,24.1176,24.4476,ok,1435190400,230100
121,24.3698,24.6698,24.3298,24.5298,ok,1435276800,688400
122,23.6588,24.5588,23.6288,24.2788,ok,1435536000,369700
123,23.881,24.101,23.651,23.971,ok,1435622400,201100
124,24.0765,24.4065,23.7765,24.2165,ok,1435708800,156300
125,23.4988,24.1588,23.3888,24.1588,ok,1435795200,93000
126,23.4455,23.5155,23.1055,23.1055,ok,1436140800,114700
127,23.1878,23.5778,22.5278,23.3878,ok,1436227200,282300
128,22.9745,23.1645,22.5845,22.8945,ok,1436313600,280800
129,23.3833,23.5733,22.7633,23.3833,ok,1436400000,221100
130,23.721,23.991,23.501,23.781,ok,1436486400,138800
