,c,h,l,o,s,t,v
0,9.23,9.29,9.06,9.21,ok,1420156800,20900
1,9.75,9.94,9.08,9.15,ok,1420416000,54300
2,9.36,9.63,9.14,9.63,ok,1420502400,10300
3,9.31,9.39,9.1,9.32,ok,1420588800,13900
4,9.71,9.95,9.09,9.32,ok,1420675200,42200
5,9.66,9.69,9.37,9.69,ok,1420761600,25100
6,9.42,9.61,9.32,9.34,ok,1421020800,26500
7,9.46,9.94,9.34,9.45,ok,1421107200,39700
8,9.58,9.93,9.31,9.89,ok,1421193600,19400
9,9.22,9.63,9.19,9.6,ok,1421280000,19900
10,9.21,9.43,9.09,9.1,ok,1421366400,12900
11,9.0,9.14,8.7,9.14,ok,1421712000,72300
12,8.9,9.21,8.8,8.95,ok,1421798400,29300
13,9.07,9.14,8.51,8.83,ok,1421884800,57100
14,8.86,9.2,8.53,9.0,ok,1421971200,41000
15,8.35,9.22,8.28,8.77,ok,1422230400,81700
16,8.26,8.74,8.04,8.31,ok,1422316800,33100
17,8.05,8.65,7.92,8.36,ok,1422403200,93700
18,7.87,8.34,7.61,8.03,ok,1422489600,103500
19,7.95,8.27,7.65,7.65,ok,1422576000,79800
20,8.0,8.1,7.75,7.95,ok,1422835200,683500
21,8.1,8.4,7.95,8.15,ok,1422921600,168000
22,8.53,8.64,8.1,8.13,ok,1423008000,57600
23,9.0,9.1,8.48,8.49,ok,1423094400,56800
24,9.11,9.3,8.86,9.02,ok,1423180800,18600
25,9.56,9.95,9.05,9.07,ok,1423440000,92300
26,9.98,10.19,9.54,9.8,ok,1423526400,139800
27,10.19,10.28,9.89,9.94,ok,1423612800,39600
28,10.39,10.4,9.9,10.17,ok,1423699200,60200
29,10.31,10.48,10.04,10.44,ok,1423785600,25700
30,10.31,10.42,10.13,10.4,ok,1424131200,50800
31,10.55,10.68,10.26,10.36,ok,1424217600,27200
32,10.95,11.14,10.33,10.57,ok,1424304000,63900
33,10.85,10.99,10.6,10.86,ok,1424390400,23100
34,10.84,10.99,10.78,10.9,ok,1424649600,29600
35,10.46,10.94,10.44,10.87,ok,1424736000,30800
36,9.82,10.26,9.28,10.19,ok,1424822400,206900
37,9.75,9.85,9.56,9.62,ok,1424908800,104200
38,9.94,10.2,9.51,9.69,ok,1424995200,160800
39,9.86,10.09,9.7,10.01,ok,1425254400,64900
40,10.0,10.05,9.75,9.91,ok,1425340800,130300
41,9.91,10.05,9.7,9.99,ok,1425427200,52300
42,9.96,10.0,9.78,10.0,ok,1425513600,46500
43,9.85,9.95,9.74,9.87,ok,1425600000,33800
44,9.9,9.94,9.7,9.77,ok,1425859200,36000
45,9.21,9.89,9.1,9.67,ok,1425945600,56300
46,9.34,9.51,9.07,9.14,ok,1426032000,76400
47,9.3,9.68,9.05,9.34,ok,1426118400,391500
48,9.32,9.52,9.25,9.25,ok,1426204800,39800
49,9.35,9.44,9.25,9.3,ok,1426464000,58800
50,9.48,9.53,9.25,9.25,ok,1426550400,76400
51,9.62,9.64,9.43,9.46,ok,1426636800,24800
52,9.99,10.28,9.63,9.63,ok,1426723200,250400
53,9.71,10.37,9.63,10.19,ok,1426809600,110100
54,9.75,9.89,9.56,9.77,ok,1427068800,44800
55,9.32,9.75,9.25,9.75,ok,1427155200,258600
56,9.04,9.34,8.92,9.32,ok,1427241600,62700
57,8.98,9.1,8.82,8.97,ok,1427328000,38800
58,9.17,9.2,8.9,8.94,ok,1427414400,80100
59,9.3,9.38,9.02,9.19,ok,1427673600,41800
60,9.58,9.62,9.25,9.33,ok,1427760000,115700
61,9.48,9.77,9.48,9.66,ok,1427846400,49600
62,9.78,9.78,9.34,9.53,ok,1427932800,17000
63,9.55,9.81,9.44,9.61,ok,1428278400,36600
64,9.28,9.75,9.26,9.75,ok,1428364800,92100
65,9.49,9.68,9.25,9.4,ok,1428451200,41400
66,9.38,9.56,9.25,9.43,ok,1428537600,29100
67,9.11,9.47,9.07,9.44,ok,1428624000,27100
68,9.11,9.15,8.89,9.15,ok,1428883200,107900
69,9.44,9.5,9.04,9.08,ok,1428969600,43200
70,9.62,9.74,9.35,9.5,ok,1429056000,27600
71,9.65,9.86,9.63,9.63,ok,1429142400,11900
72,9.47,9.74,9.36,9.55,ok,1429228800,16800
73,9.75,9.77,9.52,9.54,ok,1429488000,23300
74,9.86,9.87,9.65,9.66,ok,1429574400,19600
75,10.68,10.79,9.91,9.95,ok,1429660800,95500
76,10.52,10.61,10.23,10.61,ok,1429747200,58900
77,10.73,10.83,10.2,10.42,ok,1429833600,78400
78,10.22,10.86,10.12,10.8,ok,1430092800,40800
79,10.15,10.28,9.63,10.15,ok,1430179200,35800
80,9.7,10.27,9.55,10.05,ok,1430265600,25900
81,9.12,9.83,9.0,9.79,ok,1430352000,459700
82,9.19,9.43,9.12,9.12,ok,1430438400,51900
83,9.24,9.25,9.07,9.25,ok,1430697600,30000
84,8.89,9.26,8.64,9.26,ok,1430784000,55100
85,7.95,8.75,7.64,8.75,ok,1430870400,259700
86,4.63,4.85,4.28,4.6,ok,1430956800,4148400
87,4.84,4.85,4.44,4.62,ok,1431043200,647000
88,5.63,5.65,4.93,4.95,ok,1431302400,436800
89,5.4,5.9,5.3,5.75,ok,1431388800,452300
90,5.57,5.69,5.2,5.4,ok,1431475200,161700
91,5.07,5.59,4.99,5.5,ok,1431561600,294600
92,5.26,5.36,5.07,5.16,ok,1431648000,129200
93,5.09,5.27,5.01,5.26,ok,1431907200,98000
94,4.86,5.12,4.73,5.1,ok,1431993600,283600
95,4.93,4.95,4.76,4.81,ok,1432080000,103900
96,4.85,4.93,4.71,4.87,ok,1432166400,147700
97,4.95,4.95,4.79,4.89,ok,1432252800,81800
98,4.72,4.9,4.72,4.84,ok,1432598400,126100
99,4.55,4.65,4.26,4.55,ok,1432684800,401500
100,4.5,4.54,4.36,4.4,ok,1432771200,74900
101,4.41,4.49,4.36,4.46,ok,1432857600,95800
102,4.24,4.5,4.15,4.5,ok,1433116800,189900
103,3.91,4.27,3.9,4.25,ok,1433203200,371100
104,3.31,4.05,3.31,3.98,ok,1433289600,586900
105,3.74,3.84,3.41,3.41,ok,1433376000,835800
106,3.93,4.09,3.67,3.67,ok,1433462400,585800
107,3.91,4.18,3.88,4.0,ok,1433721600,255400
108,3.95,3.99,3.79,3.95,ok,1433808000,117500
109,3.94,4.04,3.91,3.96,ok,1433894400,169100
110,4.0,4.0,3.96,3.97,ok,1433980800,86000
111,3.88,4.01,3.87,3.96,ok,1434067200,71200
112,3.87,3.91,3.72,3.82,ok,1434326400,68900
113,3.82,3.91,3.81,3.91,ok,1434412800,92100
114,3.78,3.86,3.73,3.86,ok,1434499200,94000
115,3.73,3.83,3.73,3.82,ok,1434585600,121500
116,3.7,3.79,3.66,3.77,ok,1434672000,178300
117,3.67,3.76,3.65,3.7,ok,1434931200,109800
118,3.69,3.73,3.68,3.7,ok,1435017600,56900
119,3.7,3.74,3.68,3.72,ok,1435104000,39300
120,3.6,3.74,3.6,3.74,ok,1435190400,79800
121,3.55,3.62,3.51,3.62,ok,1435276800,46500
122,3.31,3.54,3.25,3.49,ok,1435536000,195900
123,3.24,3.33,3.22,3.26,ok,1435622400,186700
124,3.48,3.61,3.25,3.25,ok,1435708800,338100
125,3.69,3.9,3.52,3.52,ok,1435795200,553200
126,3.68,3.75,3.5,3.65,ok,1436140800,258300
127,3.58,3.88,3.45,3.72,ok,1436227200,181100
128,3.42,3.6,3.35,3.52,ok,1436313600,106100
129,3.42,3.58,3.36,3.46,ok,1436400000,114800
130,3.6,3.61,3.38,3.45,ok,1436486400,82900
131,3.59,3.63,3.58,3.59,ok,1436745600,41600
132,3.76,3.86,3.62,3.62,ok,1436832000,163600
133,3.77,3.81,3.72,3.78,ok,1436918400,97000
134,3.75,3.85,3.75,3.77,ok,1437004800,123000
135,3.71,3.75,3.6,3.75,ok,1437091200,100300
136,3.52,3.68,3.42,3.68,ok,1437350400,201300
137,3.48,3.54,3.42,3.54,ok,1437436800,114300
138,3.44,3.45,3.37,3.44,ok,1437523200,45400
139,3.41,3.45,3.3,3.44,ok,1437609600,46900
140,3.36,3.4,3.3,3.38,ok,1437696000,61600
141,3.3,3.32,3.24,3.31,ok,1437955200,61800
142,3.29,3.32,3.22,3.27,ok,1438041600,58900
143,3.39,3.48,3.27,3.31,ok,1438128000,161900
144,3.42,3.63,3.4,3.43,ok,1438214400,127700
145,3.42,3.51,3.4,3.45,ok,1438300800,39800
146,3.35,3.45,3.3,3.45,ok,1438560000,75300
147,3.36,3.46,3.32,3.32,ok,1438646400,117700
148,3.31,3.35,2.95,3.3,ok,1438732800,264900
149,3.22,3.28,3.09,3.28,ok,1438819200,178200
150,3.15,3.23,2.97,3.19,ok,1438905600,183400
151,3.65,3.82,3.06,3.16,ok,1439164800,183500
152,3.46,3.63,3.2,3.52,ok,1439251200,78400
153,3.47,3.51,3.28,3.51,ok,1439337600,54600
154,3.48,3.55,3.41,3.48,ok,1439424000,104400
