,c,h,l,o,s,t,v
0,14.4,17.51,14.36,17.5,ok,1490659200,167100
1,15.23,15.24,14.2,14.41,ok,1490745600,61300
2,15.65,16.0,14.75,15.74,ok,1490832000,12600
3,16.42,16.49,15.62,15.62,ok,1490918400,2000
4,15.3,16.3,15.0,16.3,ok,1491177600,14400
5,15.32,15.5,15.0,15.0,ok,1491264000,25000
6,15.55,16.08,15.25,15.37,ok,1491350400,18100
7,15.43,15.45,15.37,15.37,ok,1491436800,1500
8,15.26,15.43,15.26,15.42,ok,1491523200,5600
9,15.44,15.44,15.25,15.26,ok,1491782400,11000
10,15.3,15.5,15.3,15.4,ok,1491868800,6500
11,15.3,15.3,15.13,15.3,ok,1491955200,16300
12,15.09,15.3,15.0,15.3,ok,1492387200,3500
13,15.22,15.22,15.2,15.2,ok,1492473600,16200
14,15.25,15.25,15.15,15.25,ok,1492560000,4900
15,15.18,15.18,14.95,14.96,ok,1492646400,23000
16,15.12,15.12,15.12,15.12,ok,1492732800,300
17,15.17,15.29,15.17,15.29,ok,1492992000,500
18,15.3,15.3,15.24,15.24,ok,1493078400,5900
19,15.12,15.18,15.0,15.0,ok,1493164800,6300
20,15.15,15.23,14.97,14.97,ok,1493251200,1300
21,15.33,15.33,15.09,15.12,ok,1493337600,32500
22,15.75,16.0,15.35,15.35,ok,1493596800,27500
23,15.83,16.0,15.7,16.0,ok,1493683200,24500
24,15.95,15.95,15.86,15.86,ok,1493769600,3900
25,15.95,15.95,15.55,15.94,ok,1493856000,4500
26,15.8,15.95,15.5,15.5,ok,1494201600,800
27,15.61,15.88,15.51,15.51,ok,1494374400,900
28,15.83,15.88,15.39,15.39,ok,1494460800,1200
29,15.92,15.99,15.5,15.5,ok,1494547200,10900
30,15.93,15.95,15.7,15.7,ok,1494806400,700
31,16.2,16.2,15.9,15.98,ok,1494892800,23300
32,16.3,16.3,15.91,16.08,ok,1494979200,24100
33,16.45,16.47,16.1,16.1,ok,1495065600,25700
34,17.45,17.99,16.45,16.45,ok,1495152000,57900
35,17.36,17.45,16.67,17.45,ok,1495411200,1400
36,17.24,17.25,16.76,16.76,ok,1495497600,6600
37,17.06,17.2,17.06,17.2,ok,1495584000,4800
38,17.06,17.1,17.0,17.08,ok,1495670400,10600
39,17.23,17.25,17.07,17.1,ok,1495756800,1300
40,17.24,17.25,17.13,17.21,ok,1496102400,4800
41,18.0,18.0,17.25,17.25,ok,1496188800,2900
42,17.96,18.0,17.58,18.0,ok,1496275200,1800
43,17.97,17.99,17.13,17.13,ok,1496361600,2400
44,17.93,18.0,17.63,17.98,ok,1496620800,2900
45,17.92,17.93,17.63,17.93,ok,1496707200,5300
46,17.95,17.97,17.85,17.85,ok,1496793600,5000
47,17.94,18.0,17.58,17.95,ok,1496880000,8700
48,17.95,17.95,17.51,17.93,ok,1496966400,3400
49,17.95,17.95,17.86,17.9,ok,1497225600,4400
50,17.9,17.95,17.68,17.76,ok,1497312000,5100
51,18.0,18.0,17.85,17.9,ok,1497398400,7300
52,17.98,18.0,17.87,18.0,ok,1497484800,3700
53,17.09,18.0,17.06,18.0,ok,1497571200,29400
54,17.19,17.33,17.06,17.25,ok,1497830400,8100
55,17.09,17.32,17.09,17.13,ok,1497916800,800
56,17.5,17.77,17.15,17.15,ok,1498003200,3100
57,17.11,17.56,17.11,17.56,ok,1498089600,1300
58,17.5,17.68,17.47,17.47,ok,1498176000,4300
59,17.62,17.66,17.3,17.66,ok,1498435200,2300
60,17.32,17.75,17.32,17.68,ok,1498521600,6100
