,c,h,l,o,s,t,v
0,10.6923,10.8613,10.6923,10.7613,ok,1518566400,1900
1,10.7777,10.9267,10.7777,10.9267,ok,1518652800,2000
2,11.0019,11.0019,11.0019,11.0019,ok,1519084800,300
3,10.9088,10.9088,10.9088,10.9088,ok,1519344000,200
4,11.1648,11.1748,11.1548,11.1648,ok,1519603200,1300
5,11.0966,11.2846,11.0966,11.1746,ok,1519689600,1800
6,10.9709,10.9709,10.9709,10.9709,ok,1519776000,100
7,10.8623,10.8623,10.8623,10.8623,ok,1519862400,1100
8,10.8002,10.8002,10.8002,10.8002,ok,1519948800,200
9,10.8778,10.8778,10.8248,10.8578,ok,1520208000,300
10,10.9321,10.9321,10.9321,10.9321,ok,1520467200,200
11,10.9942,10.9942,10.9942,10.9942,ok,1520553600,300
12,10.9662,10.9662,10.9662,10.9662,ok,1520812800,100
13,10.9398,10.9398,10.9398,10.9398,ok,1520985600,1000
14,11.1105,11.1105,11.1105,11.1105,ok,1521158400,200
15,10.9204,10.9454,10.9094,10.9094,ok,1521417600,3300
16,10.9476,10.9476,10.5676,10.5676,ok,1521504000,3100
17,10.8235,10.9235,10.8235,10.9235,ok,1521676800,10100
18,10.7148,10.8448,10.7148,10.8448,ok,1521763200,6000
19,10.8235,10.8235,10.7335,10.7635,ok,1522022400,5600
20,10.8235,10.8235,10.8235,10.8235,ok,1522108800,1000
21,10.839,10.839,10.729,10.729,ok,1522281600,400
22,10.7148,10.8048,10.6748,10.8048,ok,1522627200,1500
23,10.7459,10.7459,10.5359,10.5359,ok,1522800000,6900
24,10.7172,10.8142,10.7002,10.8142,ok,1522972800,2000
25,10.8467,10.8467,10.8267,10.8267,ok,1523318400,1400
26,10.5752,10.5752,10.5602,10.5602,ok,1524182400,1500
27,10.4534,10.5004,10.4534,10.4904,ok,1524528000,4500
28,10.5364,10.5364,10.5064,10.5064,ok,1524700800,1500
29,10.4505,10.4505,10.4505,10.4505,ok,1525132800,15100
30,10.4973,10.4973,10.4973,10.4973,ok,1525651200,4100
31,10.4505,10.4505,10.4505,10.4505,ok,1525737600,100
32,10.4567,10.4567,10.4567,10.4567,ok,1525824000,100
33,10.5208,10.5508,10.5208,10.5508,ok,1525996800,300
34,10.3661,10.4941,10.3661,10.4941,ok,1526342400,1000
35,10.4817,10.4817,10.4817,10.4817,ok,1526428800,100
36,10.5356,10.5356,10.5356,10.5356,ok,1527033600,100
37,10.5067,10.5847,10.5067,10.5847,ok,1527120000,1000
38,10.5051,10.5051,10.5051,10.5051,ok,1527638400,15000
39,10.5051,10.5451,10.5051,10.5341,ok,1527724800,31200
40,10.5364,10.5364,10.5064,10.5064,ok,1527811200,42700
41,10.5153,10.5153,10.5153,10.5153,ok,1528070400,400
42,10.5364,10.5664,10.5364,10.5464,ok,1528156800,72700
43,10.6223,10.6223,10.6023,10.6023,ok,1528329600,600
44,10.6301,10.6301,10.6001,10.6001,ok,1528416000,400
45,10.6379,10.6379,10.5919,10.6279,ok,1528761600,3100
46,10.6301,10.8201,10.5501,10.8201,ok,1529280000,1500
47,10.4114,10.4914,10.3814,10.4914,ok,1529539200,4700
48,10.4453,10.4453,10.4453,10.4453,ok,1530230400,200
49,10.4453,10.4453,10.4453,10.4453,ok,1530489600,100
50,10.5744,10.6004,10.5744,10.5904,ok,1531180800,1100
51,10.5082,10.5082,10.5082,10.5082,ok,1531267200,300
52,10.6342,10.6342,10.6342,10.6342,ok,1531785600,300
53,10.6499,10.6499,10.6499,10.6499,ok,1531872000,500
54,10.6011,10.6331,10.5641,10.6331,ok,1532476800,2300
55,10.4689,10.4689,10.2989,10.2989,ok,1532563200,1200
56,10.5444,10.5444,10.5444,10.5444,ok,1532649600,200
57,10.6626,10.6626,10.6626,10.6626,ok,1533513600,300
58,10.619,10.619,10.619,10.619,ok,1533772800,100
59,10.619,10.619,10.619,10.619,ok,1534118400,100
60,10.5833,10.5833,10.4703,10.4823,ok,1534204800,600
61,10.5674,10.7074,10.5674,10.7064,ok,1534723200,2200
62,10.6309,11.1409,10.6309,10.8909,ok,1534809600,700
63,10.7577,10.7577,10.7577,10.7577,ok,1535328000,300
64,10.6217,10.6467,10.5967,10.6317,ok,1535587200,2100
65,10.6217,10.6417,10.6217,10.6417,ok,1535673600,1500
66,10.6217,10.6217,10.6217,10.6217,ok,1536019200,100
67,10.6057,10.6057,10.6057,10.6057,ok,1536192000,100
68,10.6057,10.6057,10.5857,10.5857,ok,1536278400,100
69,10.5737,10.5737,10.5737,10.5737,ok,1536710400,100
70,10.6137,10.6137,10.6137,10.6137,ok,1536796800,300
71,10.5977,10.5977,10.5977,10.5977,ok,1536883200,300
72,10.6697,10.6697,10.6197,10.6197,ok,1537488000,200
73,10.5817,10.5977,10.5817,10.5817,ok,1537747200,2300
74,10.5945,10.6035,10.5785,10.5925,ok,1537833600,1600
75,10.6177,10.6177,10.5897,10.5897,ok,1537920000,2300
76,10.646,10.786,10.646,10.786,ok,1538352000,600
77,10.6097,10.6097,10.5947,10.5947,ok,1538438400,200
78,10.4281,10.4681,10.3681,10.3681,ok,1538697600,500
79,10.4805,10.9955,10.4505,10.9955,ok,1538956800,1800
80,10.4926,10.4926,10.4826,10.4826,ok,1539043200,300
