,c,h,l,o,s,t,v
0,24.9217,25.1617,24.8517,25.0917,ok,1420156800,655200
1,24.373,24.753,24.263,24.733,ok,1420416000,990600
2,24.1357,24.5857,24.0657,24.3857,ok,1420502400,812900
3,24.4249,24.4749,24.0349,24.2249,ok,1420588800,740000
4,24.588,24.728,24.408,24.448,ok,1420675200,1292500
5,24.6993,24.8093,24.4993,24.8093,ok,1420761600,1054100
6,24.5658,24.7158,24.4258,24.5958,ok,1421020800,1173900
7,24.6474,24.9574,24.3674,24.8374,ok,1421107200,767300
8,24.6177,24.6877,24.3577,24.4977,ok,1421193600,1137300
9,24.7141,24.8741,24.6041,24.7941,ok,1421280000,863700
10,25.0478,25.1178,24.5978,24.6578,ok,1421366400,766500
11,25.0774,25.2474,24.9474,25.2274,ok,1421712000,1013700
12,25.1887,25.2687,25.0487,25.1787,ok,1421798400,889100
13,25.2999,25.4099,25.0499,25.1399,ok,1421884800,825400
14,25.0923,25.3223,25.0723,25.1723,ok,1421971200,678800
15,25.4111,25.4611,25.1711,25.2011,ok,1422230400,1547700
16,25.4408,25.5208,25.2608,25.3108,ok,1422316800,791900
17,24.9959,25.5959,24.9559,25.5359,ok,1422403200,910200
18,25.2999,25.3299,25.0299,25.1699,ok,1422489600,840300
19,25.0107,25.2807,24.9507,25.0807,ok,1422576000,802800
20,25.3666,25.4066,25.0366,25.0366,ok,1422835200,742100
21,25.9598,26.0298,25.4298,25.4698,ok,1422921600,707200
22,25.6039,25.9239,25.5539,25.8139,ok,1423008000,1273300
23,26.0117,26.0517,25.7317,25.7917,ok,1423094400,839200
24,25.6632,25.9432,25.5932,25.8732,ok,1423180800,1215200
25,25.5965,25.6865,25.4665,25.4965,ok,1423440000,749200
26,25.8412,25.9112,25.6412,25.7512,ok,1423526400,819100
27,25.6781,25.738,25.4981,25.718,ok,1423612800,1755000
28,26.0784,26.0784,25.6784,25.7384,ok,1423699200,784700
29,26.1748,26.1748,26.0448,26.1148,ok,1423785600,931800
30,26.249,26.279,25.919,26.079,ok,1424131200,751400
31,26.2638,26.3438,26.0438,26.1438,ok,1424217600,636000
32,26.1155,26.2655,26.0755,26.1655,ok,1424304000,591600
33,26.3825,26.4725,25.8325,25.9225,ok,1424390400,742900
34,26.249,26.309,26.119,26.219,ok,1424649600,725900
35,26.4344,26.4944,26.1244,26.2144,ok,1424736000,958400
36,26.5456,26.6056,26.4656,26.4856,ok,1424822400,835800
37,26.2861,26.4461,26.2261,26.4461,ok,1424908800,616400
38,26.3528,26.4428,26.2128,26.3028,ok,1424995200,1313100
39,26.3231,26.4131,26.1931,26.3531,ok,1425254400,666500
40,26.1452,26.2952,26.0852,26.2852,ok,1425340800,951200
41,26.034,26.054,25.784,26.034,ok,1425427200,603200
42,26.0933,26.1833,26.0033,26.1433,ok,1425513600,667300
43,25.5817,25.9517,25.5317,25.9417,ok,1425600000,1007700
44,25.5594,25.6094,25.4394,25.6094,ok,1425859200,871100
45,24.9662,25.2662,24.9262,25.2462,ok,1425945600,1142800
46,24.9662,25.0762,24.8462,24.9862,ok,1426032000,858900
47,25.3295,25.3395,25.1395,25.2695,ok,1426118400,1266100
48,25.0181,25.1581,24.8281,25.1081,ok,1426204800,952300
49,25.2109,25.3109,25.0609,25.1709,ok,1426464000,1060500
50,25.1442,25.2042,24.9842,25.0942,ok,1426550400,981300
51,25.6706,25.7806,24.8006,24.8506,ok,1426636800,1081400
52,25.3221,25.4721,25.2521,25.4521,ok,1426723200,981100
53,25.8857,26.0657,25.3757,25.7557,ok,1426809600,849900
54,26.1748,26.2648,25.9648,26.0148,ok,1427068800,867700
55,26.1007,26.2707,26.0807,26.2607,ok,1427155200,2008900
56,25.9089,26.2889,25.8789,26.2789,ok,1427241600,661000
57,25.6701,25.8701,25.5201,25.7701,ok,1427328000,826800
58,25.5283,25.6083,25.4483,25.5483,ok,1427414400,702600
59,25.3866,25.4866,25.3666,25.4366,ok,1427673600,683000
60,25.103,25.273,24.983,25.073,ok,1427760000,706800
61,25.1478,25.2278,24.9678,25.1978,ok,1427846400,926400
62,25.2448,25.2948,25.0348,25.1048,ok,1427932800,697000
63,25.5433,25.7533,25.2233,25.3133,ok,1428278400,761900
64,25.5433,25.7833,25.5333,25.7033,ok,1428364800,811400
65,25.6701,25.8901,25.5501,25.8201,ok,1428451200,611900
66,25.603,25.713,25.493,25.713,ok,1428537600,1016800
67,25.6179,25.6279,25.4479,25.4879,ok,1428624000,898400
68,25.3343,25.5443,25.2843,25.4743,ok,1428883200,819900
69,25.603,25.663,25.453,25.483,ok,1428969600,1088600
70,25.797,25.867,25.477,25.567,ok,1429056000,749500
71,26.0507,26.1907,25.8307,25.9307,ok,1429142400,1300000
72,25.7671,25.7971,25.5871,25.7771,ok,1429228800,1015600
73,25.7149,25.8449,25.6349,25.7649,ok,1429488000,935300
74,25.7746,25.9246,25.7046,25.8146,ok,1429574400,701500
75,25.8119,25.8219,25.5819,25.7919,ok,1429660800,558800
76,25.9686,26.0286,25.5086,25.5786,ok,1429747200,777200
77,26.2373,26.2973,26.0173,26.1173,ok,1429833600,404000
78,26.4163,26.5763,26.3663,26.3863,ok,1430092800,552500
79,26.5805,26.5805,26.3105,26.3705,ok,1430179200,540400
80,26.3492,26.4892,26.2092,26.2892,ok,1430265600,712900
81,26.1402,26.2302,26.0202,26.1102,ok,1430352000,629600
82,26.2895,26.2895,26.0095,26.1395,ok,1430438400,373900
83,26.2522,26.2822,26.1622,26.2722,ok,1430697600,508500
84,26.0209,26.2809,25.9709,26.2409,ok,1430784000,719200
85,25.9985,26.2085,25.8585,26.1685,ok,1430870400,827800
86,25.8418,25.9418,25.7118,25.9118,ok,1430956800,523300
87,26.2746,26.3346,26.0346,26.2046,ok,1431043200,526300
88,26.0656,26.2256,26.0256,26.1156,ok,1431302400,1439800
89,26.2373,26.3173,26.0673,26.1073,ok,1431388800,631100
90,26.6029,26.7629,26.5529,26.6729,ok,1431475200,605600
91,26.8566,26.8666,26.7066,26.8466,ok,1431561600,523200
92,26.8044,26.8044,26.4644,26.5744,ok,1431648000,510700
93,26.4835,26.5335,26.2735,26.3935,ok,1431907200,752800
94,26.1477,26.3377,26.1477,26.2877,ok,1431993600,5226800
95,26.0805,26.2405,26.0205,26.0905,ok,1432080000,896500
96,26.3268,26.3668,26.0768,26.1668,ok,1432166400,779300
97,26.1104,26.2304,26.0704,26.1804,ok,1432252800,749800
98,25.7149,26.0549,25.6449,26.0249,ok,1432598400,1799900
99,25.8418,25.8618,25.6018,25.6718,ok,1432684800,1659900
100,25.7,25.76,25.46,25.61,ok,1432771200,826800
101,25.603,25.813,25.523,25.743,ok,1432857600,2186000
102,25.4089,25.6589,25.2889,25.6089,ok,1433116800,567100
103,25.6403,25.8303,25.4803,25.4803,ok,1433203200,536000
104,25.7,25.85,25.62,25.66,ok,1433289600,571900
105,25.1552,25.5752,25.1052,25.4052,ok,1433376000,588700
106,24.9388,25.1188,24.7188,24.8688,ok,1433462400,550300
107,24.9388,24.9888,24.8188,24.9388,ok,1433721600,516400
108,24.8642,24.9642,24.7442,24.8542,ok,1433808000,390600
109,25.3791,25.4691,25.1691,25.2291,ok,1433894400,608100
110,25.4463,25.4963,25.2763,25.4663,ok,1433980800,741100
111,25.1851,25.3251,24.9351,25.1251,ok,1434067200,478600
112,25.0657,25.0857,24.8857,24.9457,ok,1434326400,784600
113,25.1105,25.1405,24.9205,24.9905,ok,1434412800,616500
114,25.1328,25.2528,24.8028,25.0128,ok,1434499200,673900
115,25.3716,25.6116,25.2216,25.2516,ok,1434585600,490200
116,25.2895,25.4596,25.2695,25.4095,ok,1434672000,1376800
117,25.6403,25.8303,25.6203,25.6803,ok,1434931200,937900
118,25.6477,25.7277,25.4977,25.6077,ok,1435017600,562400
119,25.4658,25.6858,25.4658,25.6558,ok,1435104000,771400
120,25.4355,25.6155,25.4155,25.5355,ok,1435190400,811000
121,25.2157,25.3157,25.1057,25.2757,ok,1435276800,1165400
122,24.526,24.956,24.496,24.816,ok,1435536000,1044500
123,24.5033,24.9033,24.3733,24.9033,ok,1435622400,1029200
124,24.5715,24.8415,24.4615,24.7515,ok,1435708800,854400
125,24.7079,24.7779,24.6379,24.6579,ok,1435795200,552300
126,24.0561,24.2961,23.9261,24.2661,ok,1436140800,960800
127,24.0713,24.1813,23.3613,23.7913,ok,1436227200,1476400
128,23.5256,23.8556,23.4956,23.8156,ok,1436313600,1057900
129,23.8136,24.1736,23.7936,24.0336,ok,1436400000,1153500
130,24.4654,24.5354,24.2254,24.2254,ok,1436486400,871700
131,24.382,24.432,24.302,24.402,ok,1436745600,910000
132,24.6094,24.6294,24.3994,24.4394,ok,1436832000,1572300
133,24.526,24.706,24.416,24.656,ok,1436918400,696000
134,24.7079,24.8279,24.6679,24.7079,ok,1437004800,708100
135,24.6094,24.6994,24.5194,24.6194,ok,1437091200,449000
136,24.6397,24.7497,24.5597,24.6497,ok,1437350400,1880700
137,24.6018,24.6918,24.5218,24.5318,ok,1437436800,543300
138,24.3365,24.3865,24.2465,24.3165,ok,1437523200,788500
139,24.1243,24.3643,24.1043,24.3343,ok,1437609600,929900
140,23.8591,24.1391,23.8191,24.1391,ok,1437696000,827000
141,23.7151,24.0451,23.6851,23.9151,ok,1437955200,1089100
142,24.0637,24.1437,23.7837,23.8737,ok,1438041600,2199900
143,24.1547,24.2946,23.9847,24.0447,ok,1438128000,939600
144,24.2229,24.2429,24.0529,24.1229,ok,1438214400,1943400
145,24.2456,24.4556,24.1856,24.3956,ok,1438300800,731200
146,24.1319,24.2619,24.0119,24.2419,ok,1438560000,686000
147,24.2001,24.4001,24.1601,24.2601,ok,1438646400,855200
148,24.2987,24.4287,24.2287,24.3387,ok,1438732800,816300
149,24.0637,24.1137,23.9237,24.0737,ok,1438819200,698700
150,23.897,23.927,23.687,23.737,ok,1438905600,740400
151,24.2001,24.2001,23.7701,23.8201,ok,1439164800,711800
152,23.8591,23.9591,23.7491,23.8791,ok,1439251200,888900
153,23.8818,23.8918,23.4918,23.5718,ok,1439337600,1015800
154,23.7681,23.8581,23.6581,23.6981,ok,1439424000,682500
155,23.7075,23.7375,23.5575,23.5975,ok,1439510400,525300
156,23.6393,23.6593,23.4193,23.4893,ok,1439769600,894700
157,23.3967,23.5167,23.3567,23.4667,ok,1439856000,4461200
158,23.2755,23.4455,23.0355,23.3155,ok,1439942400,2976000
159,22.7146,23.1046,22.7146,23.0646,ok,1440028800,1958800
160,22.2826,22.9126,22.2526,22.7926,ok,1440115200,3117200
161,21.2443,22.0143,20.7843,21.2343,ok,1440374400,2672400
162,21.646,22.586,21.646,21.676,ok,1440460800,2242100
163,22.2599,22.3199,21.5999,22.0199,ok,1440547200,1919900
164,22.5858,22.6258,22.2158,22.2158,ok,1440633600,2018700
165,22.6312,22.6712,22.3712,22.3812,ok,1440720000,1345000
166,22.366,22.486,22.226,22.446,ok,1440979200,1427500
167,21.6914,22.0514,21.6114,21.9914,ok,1441065600,1770300
168,21.9643,21.9843,21.6543,21.9643,ok,1441152000,1420000
169,21.9264,22.2064,21.8764,21.9464,ok,1441238400,816600
170,21.5399,21.7499,21.4399,21.6499,ok,1441324800,702500
171,22.275,22.305,22.065,22.115,ok,1441670400,560800
172,22.1386,22.6786,22.1186,22.6386,ok,1441756800,960300
173,22.275,22.425,22.055,22.095,ok,1441843200,1007300
174,22.2674,22.2674,22.0374,22.0674,ok,1441929600,476300
175,22.1159,22.1859,22.0459,22.1759,ok,1442188800,543400
176,22.222,22.252,21.952,22.032,ok,1442275200,608600
177,22.6616,22.6716,22.3316,22.3416,ok,1442361600,681500
178,22.707,23.107,22.487,22.487,ok,1442448000,691700
179,22.3281,22.6481,22.2981,22.5081,ok,1442534400,1047700
180,22.2296,22.3996,22.1296,22.3496,ok,1442793600,1085100
181,21.7521,21.8221,21.5721,21.8021,ok,1442880000,483300
182,21.5474,21.7974,21.4774,21.7674,ok,1442966400,992100
183,21.5929,21.7029,21.2929,21.4029,ok,1443052800,782600
184,21.632,21.832,21.512,21.792,ok,1443139200,819400
185,21.272,21.562,21.232,21.532,ok,1443398400,850300
186,21.2337,21.3037,21.0837,21.2037,ok,1443484800,741900
187,21.5477,21.5777,21.3177,21.4577,ok,1443571200,731300
188,21.632,21.872,21.392,21.782,ok,1443657600,1744700
189,22.0073,22.0073,21.3373,21.3973,ok,1443744000,717500
190,22.4899,22.5199,22.2099,22.2099,ok,1444003200,479300
191,22.6584,22.7484,22.4884,22.5284,ok,1444089600,598500
192,23.0721,23.2021,22.8821,23.0521,ok,1444176000,657000
193,23.3172,23.3472,22.8472,22.8772,ok,1444262400,862800
194,23.4091,23.5191,23.3291,23.4491,ok,1444348800,469300
195,23.3325,23.4525,23.3225,23.4525,ok,1444608000,257800
196,22.9572,23.2272,22.8372,22.9072,ok,1444694400,542500
197,23.1333,23.2033,22.9933,23.0533,ok,1444780800,516000
198,23.4857,23.4957,23.1257,23.1657,ok,1444867200,819400
199,23.4474,23.4874,23.3374,23.3974,ok,1444953600,568900
200,23.2942,23.3842,23.2242,23.3442,ok,1445212800,560000
201,23.1793,23.2893,23.1193,23.1493,ok,1445299200,450000
202,23.1333,23.3733,23.1133,23.3533,ok,1445385600,477300
203,23.4091,23.5291,23.1891,23.2091,ok,1445472000,453000
204,23.5163,23.5863,23.4163,23.5463,ok,1445558400,638400
