,c,h,l,o,s,t,v
0,47.1624,47.5724,47.0424,47.5324,ok,1420156800,834500
1,46.1031,46.6531,45.9931,46.6231,ok,1420416000,1031300
2,45.6247,46.3547,45.4447,46.1347,ok,1420502400,703500
3,46.0946,46.2146,45.5946,45.9646,ok,1420588800,443600
4,46.684,46.854,46.254,46.284,ok,1420675200,1359200
5,46.4704,46.7704,46.1904,46.7704,ok,1420761600,592200
6,46.3935,46.5935,46.1035,46.5235,ok,1421020800,408600
7,46.5815,47.1015,46.2215,46.9415,ok,1421107200,742800
8,46.5046,46.5846,46.1146,46.3746,ok,1421193600,513000
9,46.7609,47.1509,46.6409,47.0509,ok,1421280000,655200
10,47.3161,47.3761,46.6161,46.6861,ok,1421366400,660300
11,47.487,47.767,47.267,47.727,ok,1421712000,633800
12,47.8116,47.8116,47.3316,47.4516,ok,1421798400,1081100
13,47.9483,48.1183,47.4983,47.6583,ok,1421884800,1045900
14,47.6834,48.0234,47.6834,47.8834,ok,1421971200,907200
15,48.3412,48.4512,47.9012,48.0612,ok,1422230400,617700
16,48.3498,48.4998,48.0898,48.2198,ok,1422316800,913700
17,47.7262,48.6162,47.6562,48.5562,ok,1422403200,651100
18,48.3839,48.4139,47.9039,48.1039,ok,1422489600,607200
19,47.6578,48.1778,47.6578,48.0078,ok,1422576000,953500
20,48.2472,48.3272,47.7672,47.9472,ok,1422835200,2314700
21,48.9819,49.0419,48.4519,48.4519,ok,1422921600,754500
22,48.5804,49.0104,48.5204,48.7504,ok,1423008000,841800
23,49.2125,49.2325,48.7725,48.8525,ok,1423094400,787600
24,48.5889,48.9889,48.4489,48.8489,ok,1423180800,650400
25,48.3668,48.5368,48.2168,48.2168,ok,1423440000,1037600
26,48.8196,48.8796,48.4396,48.6396,ok,1423526400,1073100
27,48.5462,48.6662,48.3262,48.5362,ok,1423612800,532500
28,49.3065,49.3265,48.8665,48.8765,ok,1423699200,575200
29,49.6396,49.6496,49.3896,49.5296,ok,1423785600,580200
30,49.7507,49.8807,49.3807,49.5607,ok,1424131200,936700
31,50.0924,50.2524,49.8024,49.8624,ok,1424217600,713500
32,50.118,50.298,50.038,50.118,ok,1424304000,455200
33,50.6477,50.7976,49.7776,49.8577,ok,1424390400,707100
34,50.4341,50.4641,50.2541,50.3241,ok,1424649600,1187400
35,50.7245,50.7945,50.2445,50.4045,ok,1424736000,595200
36,50.716,50.846,50.586,50.626,ok,1424822400,22127600
37,50.622,50.772,50.542,50.702,ok,1424908800,1183200
38,50.6562,50.8962,50.6062,50.7062,ok,1424995200,934700
39,50.7416,50.7416,50.5316,50.6716,ok,1425254400,1119400
40,50.4341,50.6441,50.2641,50.6041,ok,1425340800,863400
41,50.1949,50.2449,49.8049,50.1349,ok,1425427200,642100
42,50.3316,50.5116,50.2216,50.4216,ok,1425513600,632300
43,49.6653,50.1053,49.6053,50.0453,ok,1425600000,881700
44,49.6994,49.7994,49.5594,49.6594,ok,1425859200,588600
45,48.6744,49.0644,48.6244,48.9744,ok,1425945600,708700
46,48.794,48.934,48.544,48.764,ok,1426032000,701800
47,49.409,49.429,49.109,49.379,ok,1426118400,721200
48,49.1527,49.1727,48.7827,49.0327,ok,1426204800,967000
49,49.6738,49.7438,49.3838,49.4538,ok,1426464000,689500
50,49.5286,49.5786,49.2086,49.3986,ok,1426550400,630700
51,50.5451,50.6651,49.2951,49.3951,ok,1426636800,806600
52,49.9386,50.1186,49.8386,50.0586,ok,1426723200,1019800
53,51.0577,51.2577,50.6077,50.8077,ok,1426809600,951600
54,51.3225,51.4525,51.0925,51.2425,ok,1427068800,898500
55,51.2627,51.5627,51.2427,51.4927,ok,1427155200,1236800
56,51.0064,51.6164,50.9764,51.4964,ok,1427241600,590300
57,50.5622,50.7022,50.1722,50.6722,ok,1427328000,782700
58,50.6562,50.7562,50.4262,50.5562,ok,1427414400,966900
59,50.7245,50.8545,50.6545,50.6545,ok,1427673600,728600
60,49.9643,50.2943,49.8643,49.9543,ok,1427760000,684700
61,50.2974,50.3374,49.9274,50.3374,ok,1427846400,1392700
62,50.6904,50.8204,50.5304,50.6304,ok,1427932800,1101100
63,51.2542,51.5542,50.7142,50.9042,ok,1428278400,686600
64,51.1944,51.6244,51.1644,51.3844,ok,1428364800,952200
65,51.4421,51.8421,51.2221,51.7321,ok,1428451200,793900
66,51.5019,51.5219,51.2519,51.5219,ok,1428537600,859500
67,51.6129,51.6129,51.3129,51.3929,ok,1428624000,919800
68,51.2798,51.5298,51.1698,51.3998,ok,1428883200,648100
69,51.6727,51.7127,51.5127,51.5827,ok,1428969600,687300
70,51.9119,52.0119,51.5219,51.8019,ok,1429056000,608500
71,52.0486,52.1986,51.7086,51.9586,ok,1429142400,788100
72,51.3396,51.5696,51.1096,51.5696,ok,1429228800,13670900
73,51.4506,51.5906,51.3206,51.4706,ok,1429488000,869600
74,51.8692,52.0092,51.6992,51.7292,ok,1429574400,1664700
75,51.9803,51.9903,51.5903,51.8503,ok,1429660800,513300
76,52.1596,52.2496,51.5396,51.6396,ok,1429747200,608000
77,52.433,52.583,52.133,52.383,ok,1429833600,557400
78,52.7491,53.0291,52.6791,52.8091,ok,1430092800,1871200
79,52.8003,52.8203,52.4103,52.5403,ok,1430179200,3690600
80,52.3647,52.6447,52.1347,52.4847,ok,1430265600,1451000
81,51.8265,52.2265,51.7465,52.0865,ok,1430352000,2333100
82,52.2963,52.2963,51.8263,52.0763,ok,1430438400,1091400
83,52.3305,52.4205,52.2105,52.3505,ok,1430697600,620800
84,51.5788,52.2288,51.5088,52.2288,ok,1430784000,753600
85,51.6898,51.9998,51.4798,51.9398,ok,1430870400,961200
86,51.5275,51.6675,51.3075,51.5175,ok,1430956800,1442200
87,52.732,52.832,52.392,52.542,ok,1431043200,462300
88,52.339,52.599,52.299,52.359,ok,1431302400,592000
