,c,h,l,o,s,t,v
0,6.9418,7.0418,6.9118,6.9418,ok,1420156800,53800
1,6.7786,7.0986,6.7686,7.0386,ok,1420416000,111400
2,6.7484,6.9084,6.7284,6.8484,ok,1420502400,86600
3,6.8693,6.9193,6.7593,6.7993,ok,1420588800,55400
4,6.978,7.018,6.828,6.828,ok,1420675200,69700
5,6.9961,6.9961,6.8761,6.9761,ok,1420761600,69200
6,6.9176,7.0476,6.8676,7.0376,ok,1421020800,56700
7,6.8391,7.0691,6.8191,7.0191,ok,1421107200,57000
8,6.8209,6.8709,6.7109,6.7809,ok,1421193600,79200
9,6.8632,6.8832,6.7832,6.8632,ok,1421280000,60500
10,6.9297,6.9597,6.7597,6.7597,ok,1421366400,82300
11,7.0082,7.0182,6.8682,6.9482,ok,1421712000,55100
12,7.0143,7.0243,6.9143,7.0243,ok,1421798400,65500
13,7.0264,7.0664,6.8864,7.0664,ok,1421884800,70200
14,7.0022,7.0522,6.9522,7.0522,ok,1421971200,54000
15,6.9599,7.0199,6.9399,7.0199,ok,1422230400,67400
16,6.9539,6.9739,6.8239,6.9039,ok,1422316800,93100
17,6.8572,7.0872,6.8372,7.0872,ok,1422403200,98000
18,6.8451,6.8851,6.7251,6.8551,ok,1422489600,73100
19,6.7786,6.9386,6.7786,6.8586,ok,1422576000,84400
20,6.8209,6.8509,6.7009,6.8109,ok,1422835200,109500
21,7.0143,7.0143,6.7543,6.7743,ok,1422921600,76400
22,6.9961,7.0061,6.8961,6.9761,ok,1423008000,61300
23,6.9659,7.0359,6.9359,7.0359,ok,1423094400,41700
24,6.9297,7.0597,6.9297,7.0597,ok,1423180800,28900
25,6.9236,7.0036,6.9136,6.9136,ok,1423440000,45600
26,7.0264,7.0964,6.8564,6.9264,ok,1423526400,74700
27,7.0445,7.0645,6.9845,6.9845,ok,1423612800,90500
28,7.0203,7.1003,7.0203,7.0903,ok,1423699200,78300
29,7.0324,7.0524,6.9924,7.0124,ok,1423785600,80400
30,6.9961,7.0461,6.9761,7.0461,ok,1424131200,64600
31,7.0264,7.0364,6.9264,6.9264,ok,1424217600,39100
32,7.0505,7.0905,6.9905,7.0005,ok,1424304000,49200
33,7.1291,7.1291,7.0091,7.0091,ok,1424390400,41900
34,7.1895,7.1895,7.0695,7.0995,ok,1424649600,36700
35,7.1895,7.2195,7.1195,7.1295,ok,1424736000,32300
36,7.1653,7.2453,7.1253,7.2453,ok,1424822400,38600
37,7.1532,7.1832,7.1432,7.1532,ok,1424908800,24800
38,7.1593,7.2193,7.1293,7.1493,ok,1424995200,39500
39,7.1834,7.2234,7.1134,7.1134,ok,1425254400,34800
40,7.2076,7.2076,7.1276,7.1376,ok,1425340800,28900
41,7.2318,7.2318,7.1318,7.1618,ok,1425427200,34500
42,7.2801,7.2801,7.2201,7.2501,ok,1425513600,55400
43,7.2076,7.3276,7.1776,7.3276,ok,1425600000,36700
