,c,h,l,o,s,t,v
0,97.938,98.958,97.408,98.398,ok,1420156800,36500
1,96.2915,97.5315,96.0715,97.4415,ok,1420416000,17500
2,94.934,96.454,94.594,96.454,ok,1420502400,20400
3,95.6946,95.8646,95.2246,95.4046,ok,1420588800,22900
4,97.7069,97.8769,96.4769,96.4769,ok,1420675200,18900
5,97.4758,98.0158,96.7558,98.0158,ok,1420761600,26100
6,96.1375,97.4475,95.7975,97.4475,ok,1421020800,14600
7,96.0027,98.3127,95.4027,96.9027,ok,1421107200,104900
8,95.4828,95.9728,94.5628,95.1628,ok,1421193600,14100
9,94.0385,96.0685,94.0085,96.0685,ok,1421280000,11300
10,95.1747,95.1747,93.6747,93.9347,ok,1421366400,11900
11,95.6946,96.0046,94.6746,95.6646,ok,1421712000,26000
12,96.099,96.399,95.419,95.699,ok,1421798400,20700
13,97.7935,98.0735,95.8235,96.3535,ok,1421884800,31600
14,98.1498,98.6098,97.7698,97.9798,ok,1421971200,22700
15,97.7839,98.0139,97.3339,97.9739,ok,1422230400,166600
16,95.2228,96.2428,94.6828,96.2428,ok,1422316800,58100
17,94.52,96.83,94.52,96.83,ok,1422403200,18200
18,95.3961,95.4161,93.6461,94.5761,ok,1422489600,165900
19,94.5007,95.8107,94.4207,95.4007,ok,1422576000,69100
20,95.3769,95.4469,93.4169,94.8069,ok,1422835200,26200
21,96.6093,96.6393,95.5193,95.7993,ok,1422921600,167500
22,96.6574,97.3374,96.3874,96.3874,ok,1423008000,19800
23,97.7358,97.8058,96.8058,97.1458,ok,1423094400,11000
24,97.3699,98.3799,97.0699,97.7299,ok,1423180800,8600
25,97.1966,97.5166,96.9166,97.0566,ok,1423440000,12300
26,98.5542,98.5542,97.3942,97.6142,ok,1423526400,10300
27,98.8045,98.9645,98.3745,98.5845,ok,1423612800,8800
28,100.422,100.442,99.502,99.612,ok,1423699200,12500
29,101.2404,101.2804,100.5704,100.7504,ok,1423785600,9200
30,101.1056,101.2156,100.8856,101.1056,ok,1424131200,36100
31,101.1827,101.3727,100.9427,101.0927,ok,1424217600,9200
32,101.8759,101.9659,101.1359,101.3459,ok,1424304000,16500
33,102.521,102.671,101.471,101.821,ok,1424390400,37400
34,102.3862,102.5562,101.8662,102.5562,ok,1424649600,21300
35,102.6076,102.7476,101.9476,102.2676,ok,1424736000,11700
36,102.4632,102.7132,102.2032,102.2732,ok,1424822400,15700
37,102.8676,103.0576,102.5276,102.6876,ok,1424908800,18400
38,102.4151,102.9651,102.3851,102.9551,ok,1424995200,47800
39,103.4549,103.4549,102.3649,102.5249,ok,1425254400,24700
40,102.598,103.178,102.288,103.118,ok,1425340800,14800
41,102.1936,102.4136,101.6336,102.4036,ok,1425427200,13700
42,102.4536,102.7136,101.9836,102.7136,ok,1425513600,28100
43,101.0479,102.4579,100.9279,102.2079,ok,1425600000,34900
44,101.5004,101.7404,101.1204,101.2204,ok,1425859200,11500
45,99.6999,100.8499,99.5199,100.8499,ok,1425945600,18800
46,98.9393,99.8593,98.8693,99.5893,ok,1426032000,16500
47,99.5363,99.5363,98.5363,98.5963,ok,1426118400,10300
48,99.0452,99.4452,98.4752,99.3952,ok,1426204800,10100
49,100.2006,100.2006,99.2006,99.2706,ok,1426464000,16000
50,99.9695,100.2595,99.6295,99.7495,ok,1426550400,13600
51,101.2501,101.4801,99.5301,99.8801,ok,1426636800,18200
52,101.2019,101.5419,101.0319,101.1319,ok,1426723200,21900
53,102.0877,102.3477,101.6877,101.8477,ok,1426809600,14200
54,101.9048,102.3548,101.9048,102.0948,ok,1427068800,37900
55,101.5967,102.2167,101.5967,102.0367,ok,1427155200,6300
56,98.9722,101.7722,98.9722,101.6522,ok,1427241600,10200
57,98.8371,99.2071,97.8471,98.2871,ok,1427328000,18400
