,c,h,l,o,s,t,v
0,13.2697,13.3497,13.2697,13.3297,ok,1420156800,2500
1,13.3845,13.4445,13.2045,13.3945,ok,1420416000,9300
2,13.308,13.448,13.128,13.208,ok,1420502400,10600
3,13.2505,13.3905,13.1605,13.2605,ok,1420588800,5700
4,13.3271,13.3571,13.2071,13.3571,ok,1420675200,3900
5,13.107,13.387,13.097,13.387,ok,1420761600,3900
6,13.0305,13.3505,12.9205,13.3505,ok,1421020800,9500
7,13.1836,13.2936,13.0436,13.2136,ok,1421107200,12000
8,12.8774,13.1374,12.7874,13.1374,ok,1421193600,10100
9,12.8487,12.9987,12.8187,12.8187,ok,1421280000,5800
10,13.174,13.284,12.754,12.754,ok,1421366400,7500
11,12.9348,13.3148,12.9348,13.3148,ok,1421712000,5900
12,13.1262,13.3462,13.0362,13.1362,ok,1421798400,8100
13,13.2793,13.3793,13.2193,13.2893,ok,1421884800,18900
14,12.9827,13.3427,12.9827,13.3427,ok,1421971200,15900
15,12.9348,13.0348,12.9248,13.0348,ok,1422230400,1700
16,12.7244,12.8044,12.7144,12.7444,ok,1422316800,7200
17,12.3417,12.7317,12.2317,12.7317,ok,1422403200,12800
18,12.4852,12.5252,12.2652,12.2652,ok,1422489600,5000
19,12.1599,12.4699,12.1399,12.3499,ok,1422576000,9900
20,12.3512,12.4512,11.6412,12.4512,ok,1422835200,6900
21,12.4947,12.5647,12.4647,12.4647,ok,1422921600,8500
22,12.466,12.596,12.436,12.596,ok,1423008000,5300
23,12.3895,12.5295,12.3495,12.4495,ok,1423094400,6800
24,12.2173,12.4373,12.0673,12.4373,ok,1423180800,13700
25,12.179,12.269,12.179,12.229,ok,1423440000,11300
26,11.959,12.189,11.949,12.159,ok,1423526400,13100
27,11.8346,12.1846,11.8146,12.1846,ok,1423612800,5700
28,11.9972,12.2072,11.8972,12.0772,ok,1423699200,8800
29,11.959,12.239,11.919,11.959,ok,1423785600,11500
30,11.8824,11.9324,11.8824,11.8824,ok,1424131200,5500
31,11.7868,11.9068,11.6468,11.9068,ok,1424217600,13200
32,11.8155,11.9055,11.7555,11.8355,ok,1424304000,5400
33,11.6241,11.8441,11.5341,11.8441,ok,1424390400,15700
34,11.5859,11.6959,11.5659,11.6859,ok,1424649600,10800
35,11.5859,11.7159,11.4759,11.6659,ok,1424736000,11300
36,11.4806,11.6306,11.4106,11.5306,ok,1424822400,11500
37,11.3084,11.6684,11.2084,11.6384,ok,1424908800,15800
38,11.2606,11.4706,11.2406,11.2406,ok,1424995200,17600
39,11.2988,11.4188,11.1288,11.4188,ok,1425254400,9100
40,11.2032,11.3332,11.1232,11.1232,ok,1425340800,13000
41,11.2223,11.3523,11.2023,11.2023,ok,1425427200,11800
42,11.3658,11.4358,11.2458,11.3958,ok,1425513600,28100
43,11.3275,11.4875,11.2675,11.2675,ok,1425600000,9600
44,11.3371,11.5571,11.2971,11.2971,ok,1425859200,4700
45,11.251,11.381,11.241,11.381,ok,1425945600,7100
46,11.5763,11.6663,11.3163,11.3163,ok,1426032000,47600
47,11.7294,12.0694,11.5894,11.5894,ok,1426118400,38100
48,11.9685,12.1085,11.6585,11.7485,ok,1426204800,44700
49,12.0259,12.0959,11.9659,12.0259,ok,1426464000,26200
50,11.9016,12.0916,11.8616,12.0416,ok,1426550400,31100
51,12.1025,12.2925,11.9625,12.0625,ok,1426636800,21000
