,c,h,l,o,s,t,v
0,141.0491,142.1391,140.3491,141.1591,ok,1420156800,38200
1,140.1207,141.5107,139.7507,140.3107,ok,1420416000,57700
2,139.3225,141.5225,137.7925,140.2325,ok,1420502400,56200
3,142.33,142.42,139.71,139.71,ok,1420588800,225800
4,144.8456,145.0956,143.7856,144.1056,ok,1420675200,39200
5,144.5764,145.4764,143.6264,145.4364,ok,1420761600,51700
6,144.6507,146.6407,144.3206,145.5706,ok,1421020800,43300
7,144.5764,146.8164,142.8264,145.3464,ok,1421107200,42200
8,144.8549,145.0949,143.0649,143.3049,ok,1421193600,54000
9,142.0887,145.6087,142.0387,145.5587,ok,1421280000,22400
10,145.5789,145.6989,141.4589,141.8089,ok,1421366400,42000
11,145.7924,146.1924,143.7324,145.9224,ok,1421712000,92700
12,145.022,146.482,144.812,145.642,ok,1421798400,35500
13,146.1731,147.5931,143.0131,145.7031,ok,1421884800,42900
14,146.1916,146.8116,145.9716,146.0916,ok,1421971200,28700
15,148.0388,148.0388,145.6888,146.0888,ok,1422230400,32600
16,147.4447,148.4947,146.5047,147.0947,ok,1422316800,65600
17,145.0499,148.3999,144.7299,148.3099,ok,1422403200,53600
18,146.1359,146.2359,143.7059,145.0659,ok,1422489600,194300
19,143.5275,146.1175,143.4975,145.9675,ok,1422576000,75200
20,143.7131,144.1931,141.6131,143.7031,ok,1422835200,74300
21,144.53,144.61,141.43,143.78,ok,1422921600,45900
22,143.1562,143.9462,142.5262,143.3462,ok,1423008000,20800
23,148.1224,148.3524,145.5624,145.5624,ok,1423094400,38500
24,147.3705,148.7305,147.1405,148.6205,ok,1423180800,28500
25,146.7021,147.9921,146.3821,146.9421,ok,1423440000,19400
26,148.9579,149.0179,147.0579,147.4579,ok,1423526400,28000
27,149.1899,150.2599,148.4499,148.8699,ok,1423612800,56900
28,150.4709,150.5609,149.2009,149.9709,ok,1423699200,76100
29,151.7519,151.7519,150.3719,150.8719,ok,1423785600,114500
30,153.3206,153.4207,151.3006,151.3006,ok,1424131200,51800
31,153.3578,153.6078,151.9878,153.2578,ok,1424217600,90900
32,153.7941,154.0341,153.2741,153.6641,ok,1424304000,34800
33,155.567,155.567,153.177,153.957,ok,1424390400,48900
34,155.5206,156.3706,154.9106,155.5306,ok,1424649600,43400
35,155.1772,155.8672,154.4672,155.5872,ok,1424736000,58000
36,155.929,156.269,154.299,155.499,ok,1424822400,133800
37,157.5442,157.5442,155.4842,156.1742,ok,1424908800,30000
38,156.3189,157.5389,156.2789,157.4089,ok,1424995200,55100
39,157.5442,157.7742,156.4242,156.4242,ok,1425254400,79300
40,156.5231,157.0331,155.2731,156.8431,ok,1425340800,80500
41,157.7206,157.8606,154.9706,156.3106,ok,1425427200,63700
42,159.3172,160.3972,158.6172,158.6172,ok,1425513600,49300
43,157.1822,158.8022,156.9022,158.5922,ok,1425600000,55600
44,158.3982,158.5882,156.2082,157.6482,ok,1425859200,55000
45,156.5882,157.7182,155.7081,156.8281,ok,1425945600,32700
46,157.8227,158.1227,156.3127,157.3927,ok,1426032000,73700
47,160.1155,160.1155,158.1155,158.2555,ok,1426118400,41300
48,160.1619,161.0419,158.8419,159.8019,ok,1426204800,34600
49,162.7796,162.7796,160.8196,160.8196,ok,1426464000,55400
50,163.1137,163.3837,161.5037,162.2537,ok,1426550400,82700
51,165.3973,166.1373,162.6073,162.7173,ok,1426636800,257700
52,166.3162,166.3862,164.4162,165.3962,ok,1426723200,102400
53,166.0193,169.2892,165.5092,169.2892,ok,1426809600,72200
54,165.026,166.256,164.566,165.596,ok,1427068800,36200
55,163.615,166.075,163.545,165.405,ok,1427155200,40200
56,159.3714,165.1614,159.3314,164.2314,ok,1427241600,80400
57,159.2134,160.9534,157.0734,157.8634,ok,1427328000,68500
58,160.6449,161.2049,159.075,159.075,ok,1427414400,119900
59,162.3647,162.4147,160.9747,161.3347,ok,1427673600,45000
60,160.2824,162.4024,160.2624,162.4024,ok,1427760000,84200
61,158.8694,160.2894,156.7094,160.1194,ok,1427846400,93600
62,158.5255,159.6955,158.1455,159.6955,ok,1427932800,31000
63,158.3395,158.9395,157.1395,157.6695,ok,1428278400,47600
64,159.3435,160.5235,158.3035,158.3035,ok,1428364800,30900
65,163.3501,163.8801,159.4801,159.4801,ok,1428451200,57600
66,164.0008,164.7808,162.8108,163.6108,ok,1428537600,33900
67,165.6184,165.6984,163.4584,163.9384,ok,1428624000,27400
68,165.1907,166.4907,164.9507,165.3407,ok,1428883200,39700
69,165.6927,165.6927,164.1227,165.4327,ok,1428969600,64000
70,166.3992,167.2992,166.1392,166.8492,ok,1429056000,212900
71,165.9251,166.5651,165.3251,166.5651,ok,1429142400,40200
72,164.9211,165.5111,163.3611,165.4711,ok,1429228800,35500
73,165.0977,166.6077,164.3677,166.2677,ok,1429488000,36000
74,166.2504,167.2605,165.9704,166.4604,ok,1429574400,27800
75,166.0831,166.9231,165.4131,166.9231,ok,1429660800,21300
76,167.1801,167.4201,165.2801,165.3001,ok,1429747200,34200
77,166.5944,167.4744,166.4844,167.0344,ok,1429833600,24600
78,160.8216,167.0716,160.5316,167.0716,ok,1430092800,65700
79,160.8495,162.0195,158.2095,161.2095,ok,1430179200,45500
80,160.3103,161.5003,159.1903,160.3603,ok,1430265600,65000
81,156.1364,160.3064,155.0764,160.0264,ok,1430352000,96300
82,158.6742,158.7842,156.9342,156.9342,ok,1430438400,52200
83,159.4922,160.9222,159.2322,159.2322,ok,1430697600,48300
84,157.7632,160.0532,157.5532,160.0532,ok,1430784000,41000
85,157.1589,158.8089,155.8189,158.4789,ok,1430870400,32600
86,157.633,158.563,156.603,156.663,ok,1430956800,34500
87,160.3103,160.8403,158.9603,158.9603,ok,1431043200,24200
88,161.1562,161.6962,160.5562,160.5562,ok,1431302400,23100
89,159.0553,159.8953,158.4253,159.8953,ok,1431388800,26400
90,159.0553,159.9453,158.4053,159.5453,ok,1431475200,18300
91,160.6356,160.7856,158.3456,159.7456,ok,1431561600,17900
92,160.8867,161.2767,160.2366,161.0067,ok,1431648000,79800
93,161.9557,162.2357,160.3757,160.4457,ok,1431907200,31500
94,162.9039,163.3139,161.7239,162.0739,ok,1431993600,45400
95,163.1642,163.7442,162.5941,162.8941,ok,1432080000,28100
96,162.8667,163.1467,162.4867,163.1467,ok,1432166400,31400
97,162.69,163.3101,162.4501,162.6501,ok,1432252800,23400
98,161.6768,162.7268,161.1468,162.3668,ok,1432598400,34100
99,163.8241,163.9142,161.5641,162.0341,ok,1432684800,23900
100,164.6515,164.7415,162.9315,163.4315,ok,1432771200,28300
101,164.6888,166.4487,164.2587,164.6487,ok,1432857600,31700
102,164.8932,165.9032,163.9232,165.9032,ok,1433116800,122900
103,164.3634,165.1534,163.5134,164.8334,ok,1433203200,30600
104,165.0885,165.0885,163.9685,164.8385,ok,1433289600,27300
105,163.8521,165.5521,163.1121,164.6821,ok,1433376000,18600
106,164.6794,164.6994,162.2694,163.5294,ok,1433462400,33800
107,163.2293,164.9293,163.1893,164.9293,ok,1433721600,17700
108,162.8946,163.5446,161.8946,163.4346,ok,1433808000,354400
109,164.4006,164.5506,162.5406,163.2006,ok,1433894400,73200
110,165.1535,165.3735,164.1735,164.4635,ok,1433980800,69700
111,163.0898,164.9998,163.0098,164.9998,ok,1434067200,27200
112,162.7831,162.933,160.923,161.953,ok,1434326400,20400
113,163.3687,163.4587,162.1187,162.5387,ok,1434412800,35500
114,163.6754,164.7454,163.3554,164.0654,ok,1434499200,39600
115,165.9902,166.5802,164.0302,164.0302,ok,1434585600,43500
116,165.5811,166.5411,165.5811,165.9511,ok,1434672000,17200
117,167.4868,167.6068,165.9668,166.6768,ok,1434931200,21200
118,167.8029,168.5729,167.2929,167.5829,ok,1435017600,27000
119,165.8912,167.8012,165.7612,167.5712,ok,1435104000,31000
120,166.8228,166.9528,165.2328,166.6528,ok,1435190400,28500
121,164.9317,166.8717,164.3617,166.7217,ok,1435276800,32200
122,160.8326,164.6226,160.7526,163.8826,ok,1435536000,43800
123,162.8635,163.0435,161.2635,162.3935,ok,1435622400,32000
124,163.8138,164.4938,162.9837,163.7938,ok,1435708800,218900
125,163.5715,164.2415,162.9515,164.2415,ok,1435795200,41900
126,164.1584,164.9784,161.7484,162.1484,ok,1436140800,25700
127,165.826,165.836,162.976,165.336,ok,1436227200,29300
128,162.2859,164.7959,162.2859,164.7959,ok,1436313600,30200
129,164.0187,164.7687,163.3787,163.8987,ok,1436400000,16700
130,166.5434,166.8634,165.3334,165.5034,ok,1436486400,49400
131,169.953,170.2431,168.2731,168.2731,ok,1436745600,121700
132,171.2386,171.3387,169.3186,169.5786,ok,1436832000,73400
133,170.6052,172.1152,170.1052,171.6652,ok,1436918400,57200
134,171.5741,171.9041,171.134,171.834,ok,1437004800,147600
135,171.425,171.895,170.635,171.895,ok,1437091200,27500
136,171.3132,171.9432,170.8732,171.8332,ok,1437350400,23800
137,170.4282,171.9082,169.2082,171.5082,ok,1437436800,23800
138,170.9685,171.1085,168.9685,169.0685,ok,1437523200,29900
139,170.3909,171.6909,170.1409,171.5809,ok,1437609600,35100
140,167.5495,170.5495,167.4095,170.5495,ok,1437696000,33000
141,166.6552,167.4552,165.5952,166.9552,ok,1437955200,23100
142,169.7294,169.7294,165.9794,167.4194,ok,1438041600,25100
143,168.6954,169.8054,167.7454,169.8054,ok,1438128000,25100
144,167.7731,169.1231,166.6031,168.3731,ok,1438214400,23600
145,169.1892,169.6992,167.8392,168.2292,ok,1438300800,41700
146,168.8165,170.0065,167.4765,169.5065,ok,1438560000,23500
147,167.7451,169.5551,166.8752,169.2952,ok,1438646400,51200
148,168.1364,169.0664,167.5764,168.5464,ok,1438732800,121000
149,164.028,168.798,163.608,168.798,ok,1438819200,39400
150,163.879,164.149,161.319,164.149,ok,1438905600,34500
151,164.6242,165.6542,164.1242,164.9842,ok,1439164800,27600
152,163.1803,164.6503,162.2103,163.1403,ok,1439251200,36000
153,163.0219,163.3719,159.2719,161.8319,ok,1439337600,37900
154,162.4815,164.0615,162.2315,162.9215,ok,1439424000,22200
155,162.8728,162.9228,160.5828,161.9628,ok,1439510400,16300
156,165.3137,165.3137,161.2437,162.0437,ok,1439769600,50900
157,164.5683,165.9283,164.5183,164.9183,ok,1439856000,34000
