,c,h,l,o,s,t,v
0,20.2011,20.7311,19.6311,20.7311,ok,1420156800,16000
1,19.9053,20.1053,19.0553,19.9753,ok,1420416000,37600
2,19.5747,19.8947,19.0947,19.7247,ok,1420502400,38800
3,19.4703,20.2003,19.2603,20.0003,ok,1420588800,68600
4,19.3746,19.8846,19.2546,19.7246,ok,1420675200,54800
5,19.3485,19.6585,19.1585,19.3085,ok,1420761600,41100
6,18.5481,19.6281,18.4081,19.3281,ok,1421020800,62600
7,18.5133,19.4333,17.9733,18.8633,ok,1421107200,45900
8,18.87,18.97,18.03,18.03,ok,1421193600,19900
9,19.0527,20.8727,18.7927,19.8427,ok,1421280000,195000
10,19.2615,20.0315,18.9215,18.9315,ok,1421366400,78300
11,18.2784,19.9184,18.0784,19.4684,ok,1421712000,60200
12,17.3649,18.4449,17.2849,18.2849,ok,1421798400,124700
13,17.1561,17.6861,16.0361,17.6861,ok,1421884800,304800
14,17.4606,17.7506,16.8006,17.1706,ok,1421971200,106400
15,17.9391,18.0491,16.8991,17.4491,ok,1422230400,54200
16,17.7216,18.0816,17.3416,17.8216,ok,1422316800,49100
17,18.2784,18.9284,17.2684,17.6884,ok,1422403200,105500
18,18.9222,18.9522,18.0022,18.0022,ok,1422489600,70800
19,17.7651,19.0651,17.7051,18.9151,ok,1422576000,175200
20,18.3132,18.5132,17.5232,17.8232,ok,1422835200,87600
21,18.4002,19.1702,18.2502,18.4202,ok,1422921600,116600
22,18.087,18.587,18.027,18.347,ok,1423008000,72100
23,18.2262,18.4262,17.8962,18.1962,ok,1423094400,54200
24,18.3132,18.5432,18.2032,18.2732,ok,1423180800,127600
25,17.9043,18.6043,17.8843,18.3843,ok,1423440000,79400
26,17.826,18.126,17.436,18.126,ok,1423526400,58300
27,18.2175,18.4775,17.6575,17.6575,ok,1423612800,50000
28,18.6351,18.7951,18.1951,18.3551,ok,1423699200,97500
29,19.0266,19.1566,18.4566,18.6266,ok,1423785600,40900
30,19.1049,19.5849,18.8949,19.1049,ok,1424131200,47900
31,18.8439,19.4939,18.7339,19.0839,ok,1424217600,28600
32,18.783,19.063,18.573,18.873,ok,1424304000,33800
33,18.7047,18.8847,18.1447,18.8347,ok,1424390400,40800
34,18.7917,18.8417,18.2917,18.5617,ok,1424649600,65000
35,18.6438,19.2938,18.5938,18.7338,ok,1424736000,33200
36,18.6873,18.8373,18.3973,18.5573,ok,1424822400,28500
37,19.0962,19.4262,18.3962,18.6662,ok,1424908800,57800
38,18.8874,19.2174,18.5874,19.0674,ok,1424995200,68500
39,18.8961,19.1361,18.6661,18.8861,ok,1425254400,34700
40,18.6786,18.8586,18.2086,18.7886,ok,1425340800,32800
41,18.4959,18.7159,17.9959,18.6159,ok,1425427200,40800
42,18.435,18.755,18.265,18.545,ok,1425513600,33600
43,18.2349,18.5349,18.1449,18.2749,ok,1425600000,39900
44,18.4872,18.7372,18.0772,18.2972,ok,1425859200,34600
45,17.7216,18.3616,17.7016,18.3616,ok,1425945600,24700
46,17.5125,17.8125,17.4825,17.7225,ok,1426032000,28000
47,17.6693,18.0193,17.3993,17.6993,ok,1426118400,46100
48,17.861,17.931,17.331,17.681,ok,1426204800,41000
49,18.0963,18.2763,17.3863,17.9063,ok,1426464000,89300
50,18.0353,18.2853,17.5153,17.9853,ok,1426550400,49400
51,18.5145,18.7645,17.7045,17.9745,ok,1426636800,25100
52,18.4709,18.6409,18.2809,18.3709,ok,1426723200,35700
53,18.7933,19.0033,18.5233,18.5233,ok,1426809600,49800
54,19.0895,19.1695,17.2895,18.7295,ok,1427068800,33000
55,19.4467,19.5767,18.2667,19.1267,ok,1427155200,48200
56,18.1573,20.0873,18.0273,19.6273,ok,1427241600,30900
57,17.7303,18.1003,17.5803,18.1003,ok,1427328000,43400
58,18.0004,18.0304,17.5004,17.7504,ok,1427414400,38600
59,18.7846,18.8146,17.9246,17.9246,ok,1427673600,58300
60,18.8456,18.9256,18.5056,18.6356,ok,1427760000,23500
61,19.1766,19.1866,18.4766,18.7666,ok,1427846400,50600
62,19.3509,19.4909,19.0109,19.0409,ok,1427932800,46400
63,19.6123,19.9523,18.8723,19.1923,ok,1428278400,36800
64,18.2444,19.8044,18.1644,19.8044,ok,1428364800,40100
65,18.2008,18.2708,17.5708,18.0908,ok,1428451200,29400
66,18.3228,18.4028,17.4928,18.1928,ok,1428537600,21600
67,18.3402,18.5002,18.1902,18.5002,ok,1428624000,34800
68,18.3315,18.7015,18.3215,18.4515,ok,1428883200,40200
69,18.6277,18.9777,18.0577,18.4077,ok,1428969600,33300
70,18.7933,19.1033,18.5333,18.6133,ok,1429056000,29500
71,18.4796,18.5696,17.0196,17.0296,ok,1429142400,69700
72,18.1224,18.6024,17.8224,18.3624,ok,1429228800,65900
73,18.8107,19.1207,18.2007,18.2007,ok,1429488000,30000
74,18.4796,18.9096,18.1196,18.9096,ok,1429574400,33500
75,18.6539,18.8139,17.9039,18.4939,ok,1429660800,34200
76,19.0808,19.1408,18.2308,18.5308,ok,1429747200,41200
77,19.1941,19.4141,18.5741,19.0041,ok,1429833600,39000
78,18.9414,19.9414,18.8214,19.3814,ok,1430092800,32800
79,18.9327,19.6127,18.6727,18.9827,ok,1430179200,39900
80,18.5493,19.2493,18.4493,18.8493,ok,1430265600,76500
81,17.6519,18.5319,17.2719,18.4219,ok,1430352000,68000
82,17.9743,18.0543,17.4143,17.6243,ok,1430438400,31500
83,17.6171,18.4071,17.4971,18.1671,ok,1430697600,35100
84,17.6519,17.8119,17.4619,17.5919,ok,1430784000,46700
85,17.861,18.021,17.461,17.691,ok,1430870400,53900
86,17.5299,17.9799,17.4899,17.8399,ok,1430956800,25700
87,17.5561,17.8861,17.5461,17.8661,ok,1431043200,34400
88,17.5474,17.8274,17.4774,17.5874,ok,1431302400,46200
89,17.5299,17.7299,17.0799,17.4899,ok,1431388800,43300
90,17.6606,17.9306,17.4206,17.7606,ok,1431475200,30900
91,18.4361,18.4561,17.7761,17.7761,ok,1431561600,21800
92,17.7652,18.5152,17.6252,18.5152,ok,1431648000,32400
93,17.9046,18.1346,17.5846,17.7146,ok,1431907200,37000
94,17.8087,18.1287,17.5687,17.9587,ok,1431993600,36000
95,18.0179,18.1179,17.6979,17.9479,ok,1432080000,18900
96,17.861,18.221,17.751,18.121,ok,1432166400,55200
97,17.6693,18.2293,17.5093,17.9193,ok,1432252800,24400
