,c,h,l,o,s,t,v
0,13.54,13.81,13.26,13.76,ok,1420156800,177100
1,13.28,13.65,13.27,13.43,ok,1420416000,176600
2,12.95,13.7,12.85,13.35,ok,1420502400,200400
3,12.95,13.25,12.77,13.06,ok,1420588800,153000
4,13.08,13.29,12.99,13.05,ok,1420675200,171500
5,13.08,13.28,13.0,13.04,ok,1420761600,238000
6,12.98,13.22,12.78,13.1,ok,1421020800,167500
7,13.11,13.49,12.92,13.09,ok,1421107200,161300
8,12.67,13.12,12.64,12.94,ok,1421193600,207900
9,13.0,13.15,12.55,12.75,ok,1421280000,546600
10,13.56,13.57,12.96,12.96,ok,1421366400,317500
11,13.78,13.84,13.45,13.61,ok,1421712000,193800
12,13.75,13.87,13.68,13.78,ok,1421798400,154400
13,13.89,13.93,13.62,13.81,ok,1421884800,132600
14,13.86,13.97,13.68,13.81,ok,1421971200,205200
15,13.96,14.0,13.74,13.88,ok,1422230400,183600
16,16.11,16.14,14.19,14.32,ok,1422316800,1173400
17,16.73,17.21,16.0,16.13,ok,1422403200,1242800
18,17.49,17.5,16.59,16.73,ok,1422489600,754600
19,17.19,17.56,17.0,17.27,ok,1422576000,598900
20,17.5,17.59,16.97,17.2,ok,1422835200,501100
21,17.47,17.8,17.31,17.55,ok,1422921600,381400
22,17.57,17.84,17.3,17.42,ok,1423008000,404800
23,17.0,17.3,16.54,16.91,ok,1423094400,617800
24,17.09,17.2,16.72,16.99,ok,1423180800,416200
25,17.06,17.39,16.77,17.03,ok,1423440000,236500
26,17.06,17.23,16.79,17.23,ok,1423526400,277200
27,17.12,17.28,16.91,17.08,ok,1423612800,157000
28,17.31,17.48,17.04,17.24,ok,1423699200,140100
29,17.4,17.55,17.22,17.34,ok,1423785600,190200
30,17.14,17.4,17.08,17.35,ok,1424131200,163800
31,17.37,17.38,17.0,17.15,ok,1424217600,235500
32,17.28,17.38,17.17,17.28,ok,1424304000,102000
33,17.54,17.55,17.17,17.3,ok,1424390400,353800
34,17.65,17.68,17.28,17.54,ok,1424649600,293600
35,17.44,17.65,17.14,17.65,ok,1424736000,187700
36,17.4,17.52,17.25,17.5,ok,1424822400,142900
37,17.7,17.79,17.37,17.37,ok,1424908800,244400
38,17.49,17.75,17.38,17.66,ok,1424995200,212500
39,17.41,17.55,17.25,17.45,ok,1425254400,208900
40,17.31,17.61,17.24,17.44,ok,1425340800,225500
41,17.43,17.49,17.04,17.21,ok,1425427200,218600
42,17.47,17.52,17.21,17.39,ok,1425513600,209300
43,17.58,17.6,17.27,17.32,ok,1425600000,245800
44,17.51,17.69,17.44,17.6,ok,1425859200,255600
45,17.51,17.58,17.31,17.31,ok,1425945600,211000
46,17.62,17.65,17.35,17.52,ok,1426032000,276300
47,17.72,18.0,17.45,17.75,ok,1426118400,212000
48,17.91,17.97,17.6,17.75,ok,1426204800,235800
49,18.05,18.3,17.74,18.0,ok,1426464000,262000
50,18.29,18.35,17.95,18.0,ok,1426550400,216600
51,18.7,18.7,18.12,18.13,ok,1426636800,264900
52,18.41,18.68,18.28,18.61,ok,1426723200,108600
53,18.46,18.61,18.4,18.57,ok,1426809600,310600
54,18.41,18.47,18.31,18.41,ok,1427068800,131000
55,18.3,18.4,18.16,18.4,ok,1427155200,185500
56,17.68,18.34,17.66,18.34,ok,1427241600,179600
57,17.88,17.95,17.17,17.55,ok,1427328000,280300
58,17.74,17.9,17.59,17.86,ok,1427414400,165100
59,18.31,18.45,17.74,17.78,ok,1427673600,160400
60,18.46,18.51,18.03,18.17,ok,1427760000,188100
61,18.5,18.58,18.25,18.44,ok,1427846400,160400
62,18.91,18.97,18.33,18.43,ok,1427932800,298200
63,18.57,18.87,18.4,18.74,ok,1428278400,213500
64,18.31,18.59,18.16,18.5,ok,1428364800,157600
65,18.6,18.67,18.19,18.26,ok,1428451200,300100
66,18.56,18.71,18.44,18.53,ok,1428537600,128400
67,18.83,18.85,18.45,18.66,ok,1428624000,131400
68,18.66,18.83,18.54,18.79,ok,1428883200,77800
69,18.45,18.78,18.37,18.73,ok,1428969600,205100
70,18.67,18.86,18.45,18.51,ok,1429056000,131600
71,18.62,18.77,18.53,18.68,ok,1429142400,97200
72,18.33,18.61,18.28,18.48,ok,1429228800,134600
73,18.72,18.89,18.43,18.47,ok,1429488000,135200
74,18.78,18.91,18.66,18.77,ok,1429574400,166800
75,18.75,18.93,18.4,18.81,ok,1429660800,113800
76,18.8,18.86,18.46,18.63,ok,1429747200,175800
77,18.74,18.84,18.55,18.83,ok,1429833600,107500
78,18.7,18.94,18.51,18.8,ok,1430092800,177900
79,19.2,19.59,18.52,19.0,ok,1430179200,499700
80,18.97,19.24,18.51,19.2,ok,1430265600,361400
81,17.79,18.88,17.65,18.8,ok,1430352000,390700
82,17.88,18.0,17.56,17.83,ok,1430438400,198400
83,17.93,18.25,17.76,17.85,ok,1430697600,184800
84,17.68,17.92,17.5,17.92,ok,1430784000,171300
85,17.71,17.86,17.2,17.8,ok,1430870400,162900
86,18.07,18.19,17.5,17.65,ok,1430956800,174700
87,18.05,18.25,17.97,18.22,ok,1431043200,83300
88,18.08,18.35,17.98,17.98,ok,1431302400,114000
89,17.92,18.12,17.68,18.02,ok,1431388800,122100
90,18.12,18.22,17.77,18.02,ok,1431475200,157200
91,18.74,18.76,18.23,18.23,ok,1431561600,241100
92,18.42,18.75,18.34,18.65,ok,1431648000,174200
93,18.66,18.8,17.91,18.4,ok,1431907200,314600
94,18.7,18.76,18.46,18.7,ok,1431993600,166500
95,18.88,18.97,18.43,18.76,ok,1432080000,254700
96,19.26,19.35,18.79,18.85,ok,1432166400,400700
97,18.96,19.37,18.95,19.17,ok,1432252800,193600
98,18.36,18.82,18.28,18.82,ok,1432598400,152800
99,18.76,18.87,18.24,18.34,ok,1432684800,193000
100,18.67,18.91,18.56,18.66,ok,1432771200,293900
101,18.67,18.84,18.39,18.62,ok,1432857600,230900
102,18.66,18.79,18.28,18.79,ok,1433116800,194100
103,18.72,18.8,18.53,18.53,ok,1433203200,152800
104,18.81,18.85,18.68,18.71,ok,1433289600,181900
105,18.53,18.82,18.39,18.75,ok,1433376000,98500
106,18.68,18.79,18.25,18.54,ok,1433462400,117400
107,18.49,18.74,18.48,18.63,ok,1433721600,95400
108,18.52,18.61,18.25,18.42,ok,1433808000,103200
109,18.75,18.84,18.48,18.64,ok,1433894400,236900
110,18.7,18.81,18.64,18.76,ok,1433980800,144000
111,18.74,18.79,18.48,18.69,ok,1434067200,73300
112,18.48,18.55,18.16,18.55,ok,1434326400,135100
113,18.63,18.75,18.45,18.51,ok,1434412800,233200
114,18.77,19.25,18.53,18.93,ok,1434499200,403600
115,19.08,19.49,18.72,18.81,ok,1434585600,591500
116,19.04,19.26,18.89,19.0,ok,1434672000,630000
117,19.13,19.26,18.89,19.05,ok,1434931200,318800
118,19.53,19.64,18.97,19.17,ok,1435017600,282000
119,19.22,19.52,19.14,19.41,ok,1435104000,267300
120,19.08,19.44,18.96,19.42,ok,1435190400,230200
121,19.23,19.38,19.06,19.15,ok,1435276800,580300
122,18.99,19.32,18.95,19.03,ok,1435536000,186200
123,18.98,19.22,18.64,19.12,ok,1435622400,275300
124,18.61,19.3,18.6,19.18,ok,1435708800,250500
125,18.2,18.72,18.05,18.62,ok,1435795200,245500
126,18.42,18.48,18.01,18.02,ok,1436140800,224300
127,18.37,18.45,18.04,18.39,ok,1436227200,213600
128,18.09,18.3,18.04,18.2,ok,1436313600,231300
129,18.06,18.38,18.01,18.34,ok,1436400000,199300
130,18.28,18.45,18.06,18.27,ok,1436486400,367600
131,18.23,18.31,18.06,18.28,ok,1436745600,240000
132,18.4,18.5,18.15,18.15,ok,1436832000,212800
133,18.18,18.49,18.11,18.43,ok,1436918400,181400
134,18.23,18.54,18.21,18.25,ok,1437004800,194900
135,18.02,18.33,17.99,18.31,ok,1437091200,153800
136,17.72,18.0,17.61,18.0,ok,1437350400,265200
137,17.61,17.86,17.54,17.7,ok,1437436800,183800
138,17.5,17.66,17.3,17.47,ok,1437523200,106500
139,17.45,17.75,17.37,17.52,ok,1437609600,136600
140,17.18,17.52,17.15,17.43,ok,1437696000,164500
141,16.89,17.18,16.82,17.07,ok,1437955200,214100
142,17.07,17.19,16.72,17.06,ok,1438041600,124200
143,17.05,17.18,16.8,16.99,ok,1438128000,200500
144,17.46,17.53,16.89,16.94,ok,1438214400,193900
145,17.0,17.5,16.99,17.48,ok,1438300800,265200
146,16.9,17.11,16.83,17.0,ok,1438560000,374300
147,17.03,17.49,16.76,17.49,ok,1438646400,679900
148,18.69,18.74,17.0,17.23,ok,1438732800,552300
149,18.13,18.71,18.01,18.7,ok,1438819200,252500
150,18.15,18.25,17.97,17.98,ok,1438905600,248500
151,17.99,18.22,17.83,18.11,ok,1439164800,170100
152,18.05,18.11,17.76,17.88,ok,1439251200,192100
153,17.97,18.2,17.74,17.91,ok,1439337600,127700
154,17.72,18.11,17.69,18.0,ok,1439424000,82100
155,17.84,17.92,17.53,17.62,ok,1439510400,129000
156,17.9,17.98,17.32,17.7,ok,1439769600,273800
157,17.72,17.92,17.5,17.87,ok,1439856000,225600
158,17.79,17.97,17.27,17.62,ok,1439942400,218300
159,17.82,17.99,17.23,17.52,ok,1440028800,305800
160,17.63,18.04,17.34,17.34,ok,1440115200,334500
161,16.69,17.35,16.25,16.52,ok,1440374400,333500
162,16.62,17.29,16.61,17.28,ok,1440460800,244700
163,16.96,17.08,16.75,17.02,ok,1440547200,216200
164,16.77,17.1,15.82,17.1,ok,1440633600,1106500
165,16.89,17.15,16.69,16.69,ok,1440720000,262100
166,16.89,17.0,16.63,16.86,ok,1440979200,286200
167,16.46,16.8,16.37,16.56,ok,1441065600,255200
168,16.52,16.57,16.18,16.55,ok,1441152000,261300
169,16.56,16.87,16.33,16.59,ok,1441238400,190900
170,16.52,16.8,16.12,16.28,ok,1441324800,265300
171,16.86,17.07,16.64,16.68,ok,1441670400,156800
172,16.63,17.05,16.57,16.85,ok,1441756800,228100
173,16.6,16.9,16.49,16.59,ok,1441843200,132400
174,16.6,16.68,16.3,16.41,ok,1441929600,147000
175,16.48,16.65,16.39,16.64,ok,1442188800,113000
176,16.67,16.76,16.35,16.53,ok,1442275200,192600
177,16.76,16.84,16.56,16.74,ok,1442361600,142300
178,16.87,17.07,16.65,16.76,ok,1442448000,164400
179,16.63,16.93,16.45,16.63,ok,1442534400,333800
180,16.42,16.77,16.34,16.77,ok,1442793600,230600
181,16.1,16.31,16.07,16.27,ok,1442880000,135200
182,15.62,16.0,15.41,15.96,ok,1442966400,243800
183,15.34,15.5,15.04,15.5,ok,1443052800,469400
184,15.78,15.84,15.19,15.44,ok,1443139200,364400
185,15.7,15.91,15.5,15.68,ok,1443398400,244900
186,15.87,16.0,15.71,15.71,ok,1443484800,200000
187,16.08,16.2,15.84,16.01,ok,1443571200,196200
188,15.97,16.17,15.88,16.05,ok,1443657600,196400
189,16.27,16.28,15.69,15.84,ok,1443744000,142600
190,16.72,16.75,16.37,16.37,ok,1444003200,231300
191,16.56,16.96,16.51,16.68,ok,1444089600,107700
192,16.81,16.88,16.55,16.69,ok,1444176000,225300
193,16.71,16.87,16.53,16.76,ok,1444262400,159400
194,16.75,16.89,16.68,16.79,ok,1444348800,102900
195,16.87,16.93,16.57,16.78,ok,1444608000,95800
196,16.45,16.93,16.43,16.82,ok,1444694400,89300
197,16.45,16.78,16.32,16.46,ok,1444780800,91900
198,17.2,17.21,16.34,16.49,ok,1444867200,285100
199,16.64,17.14,16.46,17.14,ok,1444953600,169400
200,16.86,16.88,16.52,16.6,ok,1445212800,115900
201,17.18,17.2,16.69,16.82,ok,1445299200,179800
202,16.8,17.25,16.73,17.25,ok,1445385600,140300
203,17.27,17.44,16.56,16.81,ok,1445472000,208200
204,17.65,17.72,16.94,17.3,ok,1445558400,172600
