,c,h,l,o,s,t,v
0,2.93,3.15,2.87,3.04,ok,1420156800,36700
1,2.8,2.93,2.75,2.93,ok,1420416000,97500
2,2.69,2.82,2.65,2.74,ok,1420502400,196500
3,2.67,2.9,2.67,2.72,ok,1420588800,103300
4,2.69,2.72,2.67,2.72,ok,1420675200,69600
5,2.68,2.77,2.67,2.67,ok,1420761600,16700
6,2.74,2.8,2.65,2.68,ok,1421020800,159300
7,2.71,2.8,2.69,2.74,ok,1421107200,90000
8,2.8,2.89,2.71,2.73,ok,1421193600,62600
9,2.78,2.92,2.76,2.9,ok,1421280000,21800
10,2.8,2.82,2.78,2.82,ok,1421366400,17000
11,2.78,2.82,2.76,2.8,ok,1421712000,18000
12,2.79,2.8,2.76,2.76,ok,1421798400,8800
13,2.78,2.8,2.76,2.78,ok,1421884800,16800
14,2.79,2.83,2.76,2.76,ok,1421971200,18200
15,2.76,2.87,2.76,2.76,ok,1422230400,17200
16,2.86,2.86,2.79,2.79,ok,1422316800,10900
17,2.76,2.89,2.76,2.89,ok,1422403200,11300
18,2.71,2.78,2.67,2.78,ok,1422489600,31700
19,2.76,2.81,2.65,2.65,ok,1422576000,47700
20,2.67,2.75,2.47,2.7,ok,1422835200,77500
21,2.68,2.75,2.64,2.73,ok,1422921600,44500
22,2.71,2.79,2.65,2.77,ok,1423008000,9100
23,2.73,2.78,2.67,2.71,ok,1423094400,41800
24,2.77,2.8,2.69,2.76,ok,1423180800,11500
25,2.75,2.8,2.65,2.74,ok,1423440000,7700
26,2.7,2.75,2.68,2.72,ok,1423526400,12000
27,2.7,2.74,2.68,2.72,ok,1423612800,7300
28,2.71,2.73,2.67,2.68,ok,1423699200,23700
29,2.72,2.75,2.64,2.75,ok,1423785600,15000
30,2.74,2.75,2.72,2.75,ok,1424131200,17100
31,2.72,2.78,2.72,2.75,ok,1424217600,23600
32,2.67,2.7,2.65,2.7,ok,1424304000,82700
33,2.65,2.7,2.65,2.65,ok,1424390400,71600
34,2.7,2.7,2.64,2.68,ok,1424649600,11600
35,2.64,2.67,2.63,2.63,ok,1424736000,11500
36,2.65,2.65,2.63,2.63,ok,1424822400,5200
37,2.65,2.69,2.64,2.69,ok,1424908800,9800
38,2.64,2.66,2.63,2.65,ok,1424995200,22200
39,2.62,2.66,2.6,2.63,ok,1425254400,29900
40,2.6,2.62,2.6,2.61,ok,1425340800,25100
41,2.53,2.58,2.53,2.56,ok,1425427200,55700
42,2.47,2.53,2.46,2.53,ok,1425513600,45100
43,2.67,2.67,2.43,2.54,ok,1425600000,89800
44,2.69,2.75,2.65,2.69,ok,1425859200,63900
45,2.61,2.69,2.55,2.69,ok,1425945600,63200
46,2.6,2.68,2.6,2.61,ok,1426032000,12300
47,2.58,2.62,2.57,2.6,ok,1426118400,31900
48,2.68,2.69,2.6,2.6,ok,1426204800,50800
49,2.64,2.69,2.6,2.69,ok,1426464000,21400
50,2.63,2.65,2.6,2.64,ok,1426550400,37800
51,2.64,2.67,2.61,2.66,ok,1426636800,15700
52,2.69,2.7,2.64,2.65,ok,1426723200,19400
53,2.65,2.69,2.64,2.69,ok,1426809600,28300
54,2.65,2.69,2.61,2.61,ok,1427068800,28000
55,2.7,2.71,2.64,2.65,ok,1427155200,45300
56,2.69,2.8,2.6,2.71,ok,1427241600,153300
57,2.86,2.88,2.66,2.66,ok,1427328000,74200
58,2.83,2.88,2.76,2.88,ok,1427414400,39400
59,2.78,2.94,2.78,2.87,ok,1427673600,49000
60,2.71,2.81,2.71,2.73,ok,1427760000,39500
61,2.88,2.99,2.73,2.75,ok,1427846400,32900
62,2.98,3.0,2.92,2.92,ok,1427932800,52500
63,2.8,2.99,2.8,2.96,ok,1428278400,110400
64,2.84,2.92,2.84,2.88,ok,1428364800,20200
65,2.87,2.99,2.81,2.93,ok,1428451200,37700
66,2.88,2.92,2.85,2.92,ok,1428537600,15600
67,2.97,2.97,2.84,2.85,ok,1428624000,18300
68,2.95,3.0,2.9,3.0,ok,1428883200,35700
69,2.95,2.96,2.87,2.95,ok,1428969600,8100
70,2.95,2.97,2.91,2.92,ok,1429056000,15500
