,c,h,l,o,s,t,v
0,1.5181,1.5281,1.4481,1.4981,ok,1420156800,17700
1,1.4821,1.5121,1.4821,1.5121,ok,1420416000,3700
2,1.5091,1.5091,1.4091,1.4091,ok,1420502400,4800
3,1.527,1.527,1.527,1.527,ok,1420588800,400
4,1.527,1.527,1.507,1.527,ok,1420675200,15500
5,1.5719,1.5719,1.5219,1.5219,ok,1420761600,3900
6,1.5989,1.5989,1.4489,1.4489,ok,1421020800,14400
7,1.5809,1.6909,1.5809,1.6009,ok,1421107200,10800
8,1.7516,1.8116,1.6016,1.6616,ok,1421193600,38100
9,1.8055,1.8255,1.7355,1.7455,ok,1421280000,10900
10,1.9133,1.9133,1.8033,1.8333,ok,1421366400,2600
11,1.8414,1.9314,1.8014,1.9314,ok,1421712000,5100
12,1.8774,1.8774,1.8174,1.8174,ok,1421798400,1100
13,1.8863,1.8963,1.8063,1.8263,ok,1421884800,3400
14,1.8414,1.8614,1.8114,1.8214,ok,1421971200,6700
15,1.8774,1.9174,1.7874,1.7874,ok,1422230400,8400
16,1.8863,1.8863,1.8863,1.8863,ok,1422316800,1100
17,1.8863,1.9063,1.7763,1.9063,ok,1422403200,1000
18,1.8324,1.8924,1.7924,1.8924,ok,1422489600,1100
19,1.9133,1.9133,1.7933,1.8333,ok,1422576000,19600
20,1.9223,1.9323,1.8323,1.9323,ok,1422835200,4400
21,1.8774,1.9374,1.8774,1.9374,ok,1422921600,11600
22,1.7875,1.7875,1.7875,1.7875,ok,1423008000,400
23,1.8414,1.8414,1.7914,1.7914,ok,1423094400,900
24,1.9762,1.9762,1.8162,1.8162,ok,1423180800,20800
25,1.8235,1.9935,1.8235,1.8235,ok,1423440000,1700
26,1.9402,2.0102,1.9002,1.9002,ok,1423526400,1600
27,1.7965,1.7965,1.7965,1.7965,ok,1423612800,100
28,1.8863,1.9363,1.7863,1.8363,ok,1423699200,3100
29,1.8863,1.8863,1.8863,1.8863,ok,1423785600,600
30,1.8414,1.9814,1.7914,1.7914,ok,1424131200,6100
31,1.9672,1.9672,1.9672,1.9672,ok,1424217600,300
32,1.8414,1.8714,1.4914,1.8414,ok,1424304000,18500
33,1.7965,1.8065,1.6365,1.6365,ok,1424390400,1900
34,1.7606,1.7806,1.7406,1.7806,ok,1424649600,1500
35,1.7606,1.8406,1.7506,1.7506,ok,1424736000,1300
36,1.9941,1.9941,1.7441,1.7441,ok,1424822400,7800
37,1.8504,1.8504,1.7704,1.7804,ok,1424908800,7400
38,1.8055,1.8055,1.8055,1.8055,ok,1425254400,1400
39,2.0121,2.0121,1.7821,1.7821,ok,1425340800,1700
40,2.0031,2.0231,1.9731,2.0231,ok,1425427200,800
41,1.9851,2.0151,1.9251,2.0151,ok,1425513600,700
42,1.9762,1.9962,1.9062,1.9962,ok,1425600000,500
43,2.0211,2.0211,1.9311,2.0011,ok,1425859200,3300
44,2.1199,2.1999,1.9599,1.9999,ok,1426032000,26900
45,2.3355,2.3355,1.9455,2.0855,ok,1426118400,23400
46,2.3265,2.3665,2.1465,2.3665,ok,1426204800,27800
47,2.1558,2.3558,2.0558,2.3558,ok,1426464000,11100
48,2.1289,2.2989,2.1289,2.2989,ok,1426550400,9800
49,2.2906,2.4506,2.2506,2.3406,ok,1426636800,7200
50,2.4702,2.4702,2.0602,2.2702,ok,1426723200,9100
51,2.1828,2.7328,2.1028,2.5028,ok,1426809600,64300
52,2.3444,2.3444,2.1444,2.1444,ok,1427068800,5700
53,2.4702,2.5902,2.3402,2.3402,ok,1427155200,14200
54,2.4522,2.5622,2.4022,2.5622,ok,1427241600,12900
55,2.4343,2.4443,2.4243,2.4443,ok,1427328000,3000
56,2.4522,2.4522,2.4422,2.4422,ok,1427414400,300
57,2.4522,2.6022,2.4522,2.6022,ok,1427673600,2500
58,2.587,2.587,2.307,2.307,ok,1427760000,7000
59,2.6948,2.6948,2.5648,2.6748,ok,1427846400,119900
60,2.6768,2.6968,2.5168,2.6968,ok,1427932800,7200
61,2.6409,2.7009,2.6309,2.7009,ok,1428278400,1700
62,2.6499,2.6499,2.6399,2.6499,ok,1428364800,2000
63,2.6049,2.6549,2.4649,2.6549,ok,1428451200,9700
64,2.6049,2.6049,2.5849,2.5849,ok,1428537600,600
65,2.6049,2.6049,2.5049,2.6049,ok,1428624000,2300
66,2.4612,2.5712,2.4312,2.4312,ok,1428883200,4800
67,2.5241,2.5241,2.3741,2.4641,ok,1428969600,3000
68,2.578,2.608,2.348,2.608,ok,1429056000,16300
69,2.4792,2.5592,2.4792,2.5592,ok,1429142400,1000
70,2.6499,2.6499,2.3899,2.3899,ok,1429228800,1000
71,2.551,2.711,2.521,2.711,ok,1429488000,3100
72,2.5061,2.6661,2.4461,2.6661,ok,1429574400,3000
73,2.6409,2.7409,2.5409,2.5409,ok,1429660800,151900
74,2.6499,2.6799,2.6199,2.6799,ok,1429747200,49900
75,2.6409,2.6509,2.6309,2.6409,ok,1429833600,9100
76,2.6678,2.6678,2.6278,2.6378,ok,1430092800,32000
77,2.6319,2.6719,2.6319,2.6319,ok,1430179200,2500
78,2.6499,2.6799,2.6499,2.6499,ok,1430265600,11600
79,2.6588,2.6588,2.6288,2.6288,ok,1430352000,12800
80,2.6588,2.6988,2.6288,2.6288,ok,1430438400,49400
81,2.6858,2.6858,2.6358,2.6358,ok,1430697600,3800
82,2.6768,2.6968,2.6468,2.6568,ok,1430784000,3400
83,2.6678,2.6678,2.6378,2.6378,ok,1430870400,3300
84,2.6678,2.6678,2.6478,2.6478,ok,1430956800,2400
85,2.6858,2.6958,2.6658,2.6658,ok,1431043200,5300
86,2.6409,2.6709,2.6409,2.6709,ok,1431302400,2900
87,2.6678,2.6678,2.6378,2.6378,ok,1431388800,2200
88,2.6858,2.6858,2.6458,2.6458,ok,1431475200,18600
89,2.6499,2.6899,2.6299,2.6299,ok,1431561600,4900
90,2.6678,2.6978,2.6378,2.6378,ok,1431648000,19000
91,2.7127,3.0327,2.6927,2.9427,ok,1431907200,22100
92,2.6499,2.6899,2.6399,2.6499,ok,1431993600,2100
93,2.8565,2.8565,2.7265,2.7265,ok,1432080000,8100
94,2.8295,2.9295,2.8295,2.9295,ok,1432166400,4000
95,2.8475,2.8875,2.8475,2.8875,ok,1432252800,5500
96,2.8924,2.9224,2.8524,2.9224,ok,1432598400,4200
97,2.7576,3.0176,2.7576,2.9376,ok,1432684800,11100
98,2.7127,2.7227,2.7127,2.7227,ok,1432771200,700
99,2.8565,2.8565,2.8565,2.8565,ok,1432857600,200
100,2.6948,2.9348,2.6448,2.9348,ok,1433116800,4900
101,2.6499,2.6499,2.6499,2.6499,ok,1433203200,300
102,2.7666,2.7666,2.6566,2.6566,ok,1433289600,2700
103,2.7846,2.8346,2.7646,2.8346,ok,1433376000,3000
104,2.7846,2.7846,2.7846,2.7846,ok,1433462400,1800
105,2.6948,2.6948,2.6348,2.6348,ok,1433721600,2300
106,2.6948,2.7248,2.6348,2.6848,ok,1433808000,4600
107,2.6588,2.6688,2.6188,2.6188,ok,1433894400,1700
108,2.6678,2.7078,2.6478,2.6478,ok,1433980800,6100
109,2.6229,2.6729,2.6229,2.6529,ok,1434067200,2400
110,2.6409,2.6409,2.6009,2.6009,ok,1434326400,8700
111,2.6319,2.6419,2.6019,2.6319,ok,1434412800,5700
112,2.6229,2.6229,2.6229,2.6229,ok,1434499200,800
113,2.578,2.678,2.578,2.578,ok,1434585600,4500
114,2.7397,2.7397,2.5697,2.5697,ok,1434672000,7700
115,2.596,2.646,2.596,2.646,ok,1434931200,600
116,2.6499,2.6799,2.5199,2.5899,ok,1435017600,7400
117,2.6678,2.6678,2.6678,2.6678,ok,1435104000,200
118,2.7127,2.8027,2.7127,2.8027,ok,1435276800,400
119,2.6499,2.7499,2.6499,2.6699,ok,1435536000,17000
120,2.6678,2.7578,2.6478,2.6478,ok,1435622400,1500
121,2.6499,2.6599,2.6499,2.6499,ok,1435708800,4400
122,2.6409,2.6509,2.6209,2.6509,ok,1435795200,2400
123,2.6049,2.6249,2.6049,2.6249,ok,1436227200,1400
124,2.6409,2.7909,2.5809,2.7909,ok,1436313600,800
125,2.6229,2.6229,2.5529,2.5529,ok,1436400000,1600
126,2.6678,2.6678,2.5978,2.5978,ok,1436486400,1100
127,2.6588,2.6588,2.5688,2.5788,ok,1436745600,1500
128,2.578,2.668,2.578,2.648,ok,1436832000,10400
129,2.6229,2.6229,2.6229,2.6229,ok,1436918400,8300
130,2.6229,2.6229,2.6229,2.6229,ok,1437004800,4300
131,2.578,2.678,2.578,2.628,ok,1437091200,7500
132,2.6319,2.6419,2.5619,2.6419,ok,1437350400,7200
133,2.587,2.587,2.587,2.587,ok,1437436800,100
134,2.6409,2.6409,2.6009,2.6009,ok,1437523200,7500
135,2.578,2.608,2.558,2.608,ok,1437609600,3200
136,2.5151,2.5151,2.4751,2.5051,ok,1437696000,81900
137,2.6049,2.6049,2.5449,2.5449,ok,1437955200,4200
138,2.6229,2.6229,2.6229,2.6229,ok,1438214400,100
139,2.596,2.596,2.596,2.596,ok,1438300800,200
140,2.5331,2.6331,2.5331,2.5531,ok,1438560000,14300
141,2.6049,2.6049,2.6049,2.6049,ok,1438646400,100
142,2.569,2.569,2.559,2.559,ok,1438732800,500
143,2.5151,2.5151,2.1851,2.3151,ok,1439164800,17100
144,2.4163,2.4163,2.4163,2.4163,ok,1439251200,100
145,2.4343,2.4643,2.3343,2.3343,ok,1439337600,7900
146,2.4792,2.4792,2.4792,2.4792,ok,1439424000,1400
147,2.578,2.578,2.518,2.518,ok,1439510400,900
148,2.6049,2.6149,2.5249,2.5949,ok,1439769600,4800
149,2.569,2.619,2.569,2.619,ok,1439856000,10800
150,2.551,2.551,2.551,2.551,ok,1439942400,100
