,c,h,l,o,s,t,v
0,9.8457,9.8457,8.9457,8.9857,ok,1479254400,2600
1,15.2301,15.706,8.9361,8.9361,ok,1479340800,7400
2,13.8735,14.2635,12.9235,14.2635,ok,1479427200,700
3,13.9829,13.9829,13.9829,13.9829,ok,1479686400,200
4,15.3752,15.3752,15.3752,15.3752,ok,1479772800,100
5,15.9123,16.0223,15.8023,15.9723,ok,1479859200,1100
6,15.783,15.783,15.397,15.397,ok,1480291200,700
7,14.9178,15.4078,14.9178,15.4078,ok,1480464000,1500
8,12.879,16.619,12.494,14.279,ok,1480550400,382700
9,11.5165,12.8365,10.9665,12.7865,ok,1480636800,329600
10,10.5817,11.2217,10.3017,11.2217,ok,1480896000,325483
11,11.9342,12.2042,10.5942,10.5942,ok,1480982400,216100
12,12.4514,12.8614,11.9214,11.9314,ok,1481068800,194600
13,13.4658,14.3758,12.6358,12.6358,ok,1481155200,351500
14,14.2813,14.3613,13.7453,13.8213,ok,1481241600,192200
15,14.7984,14.9184,14.3254,14.5284,ok,1481500800,224400
16,14.1619,14.9219,14.1029,14.8019,ok,1481587200,229900
17,13.7442,14.4542,13.4492,14.1342,ok,1481673600,182000
18,13.6448,14.0948,13.5248,13.7148,ok,1481760000,197300
19,13.963,14.133,13.643,13.693,ok,1481846400,494500
20,13.8735,14.1835,13.7535,13.9135,ok,1482105600,105500
21,13.615,13.995,13.475,13.895,ok,1482192000,94200
22,13.2271,13.7171,12.9971,13.5271,ok,1482278400,121400
23,12.9387,13.2987,12.5187,13.2987,ok,1482364800,84700
24,13.9233,14.0233,13.2333,13.2333,ok,1482451200,390400
25,13.8238,14.2638,13.6478,14.0238,ok,1482796800,288400
26,13.8536,13.9736,13.6936,13.9236,ok,1482883200,174700
27,13.7741,13.9841,13.7241,13.9341,ok,1482969600,64100
28,13.963,14.013,13.673,13.763,ok,1483056000,109000
29,14.3111,14.7711,14.0611,14.0611,ok,1483401600,317900
30,14.7189,14.9289,14.3689,14.3689,ok,1483488000,337500
31,14.9476,15.0176,14.6476,14.9376,ok,1483574400,463500
32,15.246,15.306,14.736,14.986,ok,1483660800,172500
33,15.8029,16.0529,14.9629,15.2429,ok,1483920000,91500
34,15.7532,16.0932,15.5732,15.8932,ok,1484006400,153300
35,15.6637,16.0087,15.1237,15.8137,ok,1484092800,120600
36,15.783,15.913,15.643,15.653,ok,1484179200,181500
37,15.8825,16.0425,15.7325,15.8125,ok,1484265600,74100
38,16.4692,16.5092,15.8042,16.0192,ok,1484611200,101100
39,16.9466,17.2466,16.3766,16.5066,ok,1484697600,155800
40,16.9764,17.2564,16.8664,17.0064,ok,1484784000,144500
41,17.0759,17.2059,16.5469,16.9859,ok,1484870400,92200
42,16.9963,17.2063,16.9363,17.0663,ok,1485129600,106900
43,17.8417,17.8817,17.0917,17.0917,ok,1485216000,85100
44,18.0107,18.0687,17.8507,17.8507,ok,1485302400,76400
45,17.8814,17.9914,17.7014,17.9514,ok,1485388800,138400
46,18.0008,18.1308,17.8408,17.8608,ok,1485475200,138900
47,17.6825,18.1325,17.6475,17.8825,ok,1485734400,228100
48,17.2847,17.7647,17.1647,17.6047,ok,1485820800,92400
49,17.3643,17.6243,17.1353,17.4743,ok,1485907200,80800
50,16.9963,17.4063,16.9763,17.4063,ok,1485993600,99600
51,17.3046,17.3446,16.9546,17.1146,ok,1486080000,70200
52,17.3046,17.6146,17.2846,17.3046,ok,1486339200,90300
53,17.1853,17.5353,17.0153,17.3953,ok,1486425600,151400
54,17.4836,17.6036,16.7236,17.0936,ok,1486512000,352500
55,17.7024,17.7824,17.5524,17.5624,ok,1486598400,88600
56,17.6925,17.9025,17.6325,17.7025,ok,1486684800,112300
57,17.8715,17.9015,17.6515,17.7615,ok,1486944000,115800
58,18.1102,18.2202,17.8402,17.8402,ok,1487030400,94500
59,18.15,18.26,18.02,18.23,ok,1487116800,97000
60,18.2096,18.3396,18.0796,18.1196,ok,1487203200,118800
61,18.4085,18.4885,18.2085,18.3285,ok,1487289600,91700
62,18.5677,18.5977,18.4177,18.4977,ok,1487635200,83900
63,18.6671,18.6671,18.4171,18.6071,ok,1487721600,110700
64,18.7666,18.9266,18.6066,18.6766,ok,1487808000,87900
65,18.9854,19.1954,18.5354,18.5854,ok,1487894400,109100
66,18.9555,19.2455,18.8955,18.9855,ok,1488153600,816200
67,18.6472,18.9972,18.5772,18.8672,ok,1488240000,317900
68,18.5975,18.9175,18.5275,18.6575,ok,1488326400,434700
69,18.6969,18.7969,18.5569,18.5969,ok,1488412800,157100
70,18.5975,18.8775,18.5675,18.7475,ok,1488499200,83700
71,18.6572,18.8872,18.4572,18.6172,ok,1488758400,224200
72,18.3489,18.8889,17.9489,18.8289,ok,1488844800,280100
73,18.1798,18.5698,18.1798,18.3898,ok,1488931200,78000
74,18.1997,18.3897,18.0297,18.2797,ok,1489017600,83900
75,18.3787,18.4437,18.2587,18.3587,ok,1489104000,115600
76,18.6572,18.7472,18.4672,18.4672,ok,1489363200,632000
77,18.4682,18.7782,18.4282,18.5482,ok,1489449600,285200
78,18.7666,18.7666,18.4566,18.4766,ok,1489536000,323700
79,18.866,18.931,18.716,18.846,ok,1489622400,168300
80,18.7964,19.0864,18.5764,18.7864,ok,1489708800,706900
81,18.9555,19.0905,18.7755,18.7755,ok,1489968000,108300
82,19.5821,19.6421,18.9421,18.9921,ok,1490054400,194500
83,19.7412,19.7612,19.3712,19.5012,ok,1490140800,104000
84,19.7312,19.8412,19.3712,19.7212,ok,1490227200,92300
85,19.7412,19.8512,19.6412,19.7412,ok,1490313600,57400
86,19.7312,19.7812,19.2412,19.5612,ok,1490572800,98900
87,20.2981,20.3381,19.5781,19.7181,ok,1490659200,211800
88,19.0251,19.4201,18.1651,18.9051,ok,1490745600,482800
89,19.1047,19.1247,18.7897,18.9147,ok,1490832000,138500
90,19.0152,19.1052,18.7852,19.0752,ok,1490918400,144700
91,19.0649,19.1249,18.6449,18.9949,ok,1491177600,212300
92,18.7168,19.0968,18.4718,19.0468,ok,1491264000,240200
93,18.6174,18.8974,18.5374,18.6274,ok,1491350400,206800
94,18.876,18.906,18.556,18.596,ok,1491436800,153500
95,18.7566,18.9166,18.6666,18.9166,ok,1491523200,100200
96,19.0649,19.2449,18.6649,18.6649,ok,1491782400,102900
97,19.0947,19.2497,19.0147,19.0647,ok,1491868800,122300
98,18.6969,19.0269,18.6669,19.0269,ok,1491955200,72700
99,18.5279,18.7179,18.3479,18.5779,ok,1492041600,72900
100,18.7765,18.9165,18.5965,18.5965,ok,1492387200,69100
101,18.8958,19.0108,18.6058,18.6958,ok,1492473600,367100
102,18.8461,18.9761,18.7761,18.8761,ok,1492560000,67300
103,18.8859,19.4659,18.7459,18.8459,ok,1492646400,255400
104,19.0351,19.0951,18.7951,18.8151,ok,1492732800,135100
105,19.0848,19.1948,18.9948,19.1448,ok,1492992000,114800
106,19.3036,19.4936,19.1136,19.2136,ok,1493078400,122700
107,19.4627,19.5327,19.2327,19.2327,ok,1493164800,92700
108,19.4329,19.4929,19.3929,19.4529,ok,1493251200,45800
109,19.224,19.494,19.204,19.494,ok,1493337600,109200
110,19.3732,19.4332,19.3132,19.3432,ok,1493596800,51500
111,19.6417,19.9017,19.3717,19.3717,ok,1493683200,100600
112,19.5224,19.7624,19.4324,19.5424,ok,1493769600,52800
113,19.7113,19.9313,19.5213,19.5213,ok,1493856000,148700
114,19.8406,19.9106,19.6496,19.7406,ok,1493942400,68800
115,19.6815,19.9415,19.6215,19.7615,ok,1494201600,54300
116,19.7611,19.9211,19.5611,19.7011,ok,1494288000,110500
117,20.9943,21.7293,20.3843,20.3843,ok,1494374400,255400
118,20.8849,20.9999,20.5249,20.8349,ok,1494460800,59300
119,20.318,21.148,20.288,20.908,ok,1494547200,40500
120,19.8506,20.5606,19.8506,20.4406,ok,1494806400,64700
121,19.8705,20.3705,19.8305,19.9005,ok,1494892800,110900
122,20.2782,20.3882,19.3582,19.8182,ok,1494979200,108100
123,20.5269,20.7319,20.2769,20.2769,ok,1495065600,117200
124,20.8053,20.8853,20.4253,20.4253,ok,1495152000,88300
125,20.5467,20.7667,20.3667,20.7267,ok,1495411200,94900
126,20.2086,20.4686,20.1886,20.4686,ok,1495497600,52300
127,19.9898,20.4698,19.8898,20.1998,ok,1495584000,45100
128,20.0694,20.1594,19.9694,19.9694,ok,1495670400,74100
129,20.4473,20.5273,19.9673,19.9673,ok,1495756800,93300
130,19.8605,20.3305,19.8505,20.3305,ok,1496102400,119500
131,19.6716,19.8916,19.5816,19.8916,ok,1496188800,178000
132,19.6915,19.9115,19.4665,19.5915,ok,1496275200,87700
133,19.7412,19.8312,19.5812,19.7112,ok,1496361600,95100
134,19.7511,19.8211,19.5811,19.6611,ok,1496620800,53200
135,19.7611,19.8811,19.2411,19.6811,ok,1496707200,105300
136,19.8904,19.9804,19.5884,19.8104,ok,1496793600,92900
137,19.9202,20.0402,19.6202,19.7702,ok,1496880000,83600
138,19.7213,19.9413,19.6213,19.8813,ok,1496966400,146400
139,19.8406,20.1406,19.7706,19.7706,ok,1497225600,132200
140,20.4473,20.7773,19.8873,20.3173,ok,1497312000,215300
141,20.0196,20.5896,19.9396,20.3396,ok,1497398400,362600
142,19.4926,20.1426,19.1476,19.8826,ok,1497484800,440600
143,19.781,19.961,19.321,19.321,ok,1497571200,365400
144,20.3379,20.4379,19.6729,19.8279,ok,1497830400,223000
145,20.4672,20.7922,20.1972,20.1972,ok,1497916800,161800
146,20.3081,20.7581,20.0881,20.4681,ok,1498003200,145300
147,20.3379,20.5379,20.1979,20.3379,ok,1498089600,81500
148,20.7755,20.8355,20.2555,20.3955,ok,1498176000,1558200
149,21.044,21.394,20.554,20.754,ok,1498435200,211400
150,21.1236,21.3836,20.9536,21.1536,ok,1498521600,144800
151,21.1633,21.3633,21.0733,21.2433,ok,1498608000,116500
152,21.5015,21.5215,20.8815,21.2315,ok,1498694400,142400
153,21.5512,21.8312,21.4512,21.6312,ok,1498780800,162800
154,21.77,21.86,21.57,21.57,ok,1499040000,113300
155,21.9788,21.9888,21.6688,21.7288,ok,1499212800,193900
156,21.6606,21.9606,21.5906,21.9606,ok,1499299200,107600
157,21.4816,21.7416,21.2516,21.7416,ok,1499385600,159600
158,21.3921,21.6321,21.3121,21.5921,ok,1499644800,151400
159,21.8595,21.8995,21.2495,21.3995,ok,1499731200,159400
160,22.2275,22.4525,22.0275,22.0375,ok,1499817600,161700
161,22.2076,22.4176,22.1276,22.1776,ok,1499904000,122300
162,21.9788,22.2788,21.9588,22.2788,ok,1499990400,67300
163,22.0684,22.3634,21.7684,21.8984,ok,1500249600,208400
164,22.0783,22.3083,21.8133,22.0083,ok,1500336000,236200
165,22.3866,22.6716,22.1666,22.1666,ok,1500422400,335300
166,22.5258,22.8058,22.2658,22.2658,ok,1500508800,114300
167,22.6054,23.3054,22.5554,22.8254,ok,1500595200,383400
168,22.5059,22.8359,22.3159,22.6559,ok,1500854400,193700
169,22.8938,22.9238,22.5638,22.6738,ok,1500940800,322200
170,22.7745,23.0145,22.7645,22.9345,ok,1501027200,141000
171,22.8341,23.0041,22.6441,22.7641,ok,1501113600,161100
172,22.3667,23.2217,22.3667,22.7467,ok,1501200000,158500
173,22.685,22.905,22.305,22.365,ok,1501459200,147600
174,22.6949,22.8249,22.6149,22.7949,ok,1501545600,113000
175,22.3568,22.7568,22.1768,22.7168,ok,1501632000,145100
176,22.2971,22.6771,22.1771,22.4371,ok,1501718400,187600
177,22.3269,22.4569,22.2169,22.2969,ok,1501804800,119000
178,22.0882,22.4582,22.0182,22.2582,ok,1502064000,128600
179,21.8993,22.3093,21.8343,22.1293,ok,1502150400,272900
