,c,h,l,o,s,t,v
0,41.7,43.05,40.8,41.55,ok,1420156800,46400
1,40.35,42.3,39.9,41.7,ok,1420416000,45000
2,40.2,41.7,39.15,41.1,ok,1420502400,50700
3,39.15,40.65,38.4,40.5,ok,1420588800,47300
4,41.7,42.3,38.55,39.45,ok,1420675200,162800
5,41.1,41.55,40.65,41.55,ok,1420761600,30500
6,38.25,41.4,37.65,41.4,ok,1421020800,42900
7,38.25,39.3,37.65,39.3,ok,1421107200,39200
8,38.25,38.55,36.3,37.95,ok,1421193600,31500
9,36.6,39.0,36.6,39.0,ok,1421280000,35700
10,38.55,39.0,36.45,36.45,ok,1421366400,43300
11,37.35,38.55,36.6,38.55,ok,1421712000,46900
12,37.8,38.4,37.2,37.5,ok,1421798400,47200
13,37.5,38.7,37.35,38.4,ok,1421884800,49600
14,37.35,38.25,37.2,37.65,ok,1421971200,39500
15,37.35,37.65,36.75,37.5,ok,1422230400,64400
16,36.75,37.5,36.0,37.05,ok,1422316800,113500
17,34.35,37.05,33.9,36.9,ok,1422403200,56900
18,34.65,35.25,33.45,34.65,ok,1422489600,61200
19,33.75,35.25,33.15,34.35,ok,1422576000,46400
20,35.85,36.0,34.05,34.05,ok,1422835200,58300
21,37.5,38.25,36.0,36.0,ok,1422921600,74000
22,37.35,38.25,36.75,37.35,ok,1423008000,56100
23,37.95,38.25,37.2,38.1,ok,1423094400,59700
24,38.4,39.0,37.65,38.25,ok,1423180800,36200
25,39.45,40.8,38.25,38.7,ok,1423440000,56300
26,38.1,39.6,37.65,39.45,ok,1423526400,48700
27,37.35,37.95,37.05,37.65,ok,1423612800,41400
28,37.8,37.95,35.4,36.3,ok,1423699200,56400
29,38.1,38.1,36.9,37.95,ok,1423785600,48400
30,37.05,38.1,36.9,38.1,ok,1424131200,44900
31,36.75,37.2,35.4,36.9,ok,1424217600,59200
32,36.45,36.6,35.55,35.85,ok,1424304000,33000
33,35.55,36.75,34.95,36.6,ok,1424390400,37400
34,34.35,35.4,33.75,35.25,ok,1424649600,39800
35,33.9,35.1,33.75,34.35,ok,1424736000,30800
36,34.5,34.8,33.75,33.9,ok,1424822400,19800
37,34.2,34.8,34.2,34.65,ok,1424908800,21600
38,34.2,34.8,33.9,34.2,ok,1424995200,53200
39,34.2,34.65,34.05,34.2,ok,1425254400,25000
40,33.75,34.8,33.75,34.5,ok,1425340800,26200
41,33.9,34.2,33.45,34.05,ok,1425427200,21800
42,34.5,34.5,33.75,34.5,ok,1425513600,18700
43,33.6,36.15,33.45,35.55,ok,1425600000,44500
44,33.6,35.25,33.3,34.5,ok,1425859200,34300
45,31.8,33.15,31.5,32.7,ok,1425945600,44400
46,32.7,33.3,31.65,32.1,ok,1426032000,44500
47,33.15,33.3,32.7,33.0,ok,1426118400,24100
48,32.4,33.75,32.25,33.45,ok,1426204800,23900
49,31.8,33.0,31.5,32.4,ok,1426464000,34400
50,33.0,33.0,31.8,31.8,ok,1426550400,26100
51,33.0,33.6,31.95,33.0,ok,1426636800,31200
52,33.3,33.6,32.85,33.15,ok,1426723200,25100
53,34.05,34.35,33.45,33.9,ok,1426809600,91600
54,34.2,34.65,34.05,34.65,ok,1427068800,30500
55,33.75,34.8,33.6,34.8,ok,1427155200,44200
56,33.45,34.2,32.7,33.75,ok,1427241600,43200
57,32.85,34.5,32.7,34.05,ok,1427328000,44800
58,33.45,33.6,32.25,32.7,ok,1427414400,22500
59,33.15,33.6,32.55,33.45,ok,1427673600,15700
