,c,h,l,o,s,t,v
0,61.57,63.2,60.47,62.52,ok,1420156800,2080200
1,68.17,68.43,62.69,63.97,ok,1420416000,10331300
2,65.44,68.17,63.73,68.03,ok,1420502400,5874800
3,68.59,69.11,66.57,67.43,ok,1420588800,4342600
4,71.93,72.0,69.76,71.0,ok,1420675200,5872100
5,72.26,75.1,71.7,71.94,ok,1420761600,5158200
6,73.34,74.5,71.51,72.8,ok,1421020800,2833100
7,71.63,75.24,69.0,74.21,ok,1421107200,4600300
8,72.29,72.36,67.54,68.67,ok,1421193600,3146700
9,68.84,73.34,68.5,72.76,ok,1421280000,3235800
10,69.37,69.49,66.8,68.88,ok,1421366400,4924400
11,72.33,72.81,67.13,69.83,ok,1421712000,3994400
12,69.72,73.47,68.93,70.83,ok,1421798400,3990300
13,70.98,70.98,67.25,69.99,ok,1421884800,2580900
14,71.28,71.48,69.47,70.5,ok,1421971200,1495800
15,72.9,73.75,70.58,71.14,ok,1422230400,2016600
16,72.4,73.5,70.9,70.9,ok,1422316800,1665400
17,68.58,73.4,68.45,73.01,ok,1422403200,2633400
18,69.86,70.37,68.06,69.11,ok,1422489600,2372200
19,68.51,71.05,68.06,69.5,ok,1422576000,2327800
20,68.67,69.25,65.63,68.94,ok,1422835200,2711600
21,64.7,67.97,61.58,67.4,ok,1422921600,7367900
22,59.72,62.11,57.6,60.7,ok,1423008000,7367400
23,61.4,62.05,59.36,61.81,ok,1423094400,4035700
24,59.01,61.36,58.2,61.28,ok,1423180800,3583100
25,58.83,60.45,57.72,58.47,ok,1423440000,1971300
26,61.29,61.75,58.83,59.27,ok,1423526400,2996200
27,61.04,63.95,60.72,61.03,ok,1423612800,2434000
28,64.3,64.35,61.51,62.23,ok,1423699200,3233700
29,63.86,65.4,62.65,64.9,ok,1423785600,2167300
30,63.43,65.32,63.09,63.74,ok,1424131200,1893800
31,65.22,65.25,63.03,63.28,ok,1424217600,1608600
32,65.35,66.48,64.63,64.95,ok,1424304000,1536000
33,67.01,67.11,64.92,65.34,ok,1424390400,1919300
34,66.14,68.41,65.59,66.89,ok,1424649600,2701300
35,67.85,67.94,65.9,66.46,ok,1424736000,2917700
36,68.15,68.84,66.59,67.75,ok,1424822400,2152800
37,67.33,68.38,66.5,67.96,ok,1424908800,2609400
