,c,h,l,o,s,t,v
0,8.05,8.26,8.05,8.15,ok,1420156800,19800
1,8.1,8.4,8.05,8.1,ok,1420416000,25000
2,7.99,8.5,7.54,8.1,ok,1420502400,46700
3,8.0,8.0,7.37,8.0,ok,1420588800,29000
4,8.14,8.14,7.75,7.75,ok,1420675200,13200
5,8.44,8.53,8.0,8.14,ok,1420761600,64800
6,8.87,8.95,8.48,8.48,ok,1421020800,85800
7,8.99,9.1,8.5,8.9,ok,1421107200,54900
8,9.09,9.15,8.9,8.95,ok,1421193600,61900
9,8.95,9.16,8.76,9.0,ok,1421280000,11200
10,8.9,8.98,8.76,8.94,ok,1421366400,10900
11,8.76,8.98,8.73,8.95,ok,1421712000,7700
12,8.9,8.91,8.76,8.76,ok,1421798400,12700
13,8.82,8.9,8.82,8.9,ok,1421884800,8600
14,8.8,8.82,8.8,8.8,ok,1421971200,4200
15,9.0,9.94,8.79,8.85,ok,1422230400,189600
16,8.16,9.0,8.0,9.0,ok,1422316800,100700
17,8.17,8.25,8.15,8.17,ok,1422403200,41300
18,7.97,8.25,7.9,8.2,ok,1422489600,38000
19,7.85,8.0,7.8,8.0,ok,1422576000,10200
20,7.85,7.89,7.8,7.89,ok,1422835200,15700
21,7.7,7.9,7.55,7.81,ok,1422921600,202500
22,7.65,7.8,7.55,7.7,ok,1423008000,5800
23,7.6,7.75,7.6,7.75,ok,1423094400,28100
24,7.39,7.65,7.3,7.65,ok,1423180800,37600
25,6.99,7.36,6.87,7.36,ok,1423440000,87200
26,7.15,7.25,7.0,7.06,ok,1423526400,64500
27,7.6,7.69,7.15,7.3,ok,1423612800,91700
28,7.45,7.69,7.43,7.69,ok,1423699200,33100
29,7.45,7.5,7.19,7.45,ok,1423785600,30700
30,7.64,7.75,7.5,7.75,ok,1424131200,31700
31,7.4,7.62,7.4,7.62,ok,1424217600,28700
32,7.31,7.4,7.3,7.3,ok,1424304000,13100
33,7.3,7.4,7.3,7.3,ok,1424390400,38900
34,7.14,7.45,7.05,7.31,ok,1424649600,112300
35,7.3,7.3,7.14,7.14,ok,1424736000,7000
36,9.31,9.64,7.6,7.6,ok,1424822400,292200
37,8.85,9.31,8.25,8.57,ok,1424908800,2617000
38,8.98,9.25,8.63,9.0,ok,1424995200,496200
39,9.04,9.19,8.8,9.0,ok,1425254400,189500
40,9.49,9.6,8.94,9.02,ok,1425340800,343000
41,9.42,10.19,9.25,9.45,ok,1425427200,611800
42,9.56,9.84,9.39,9.64,ok,1425513600,228600
43,9.0,9.7,8.98,9.57,ok,1425600000,283600
44,9.14,10.15,9.01,9.6,ok,1425859200,660400
45,10.24,10.25,8.89,9.14,ok,1425945600,603500
46,11.28,12.0,10.3,10.3,ok,1426032000,1254500
47,12.4,12.75,11.2,11.4,ok,1426118400,1177400
48,13.12,13.3,11.8,12.45,ok,1426204800,875700
49,13.23,14.15,12.99,13.43,ok,1426464000,1001900
50,13.5,13.77,12.23,13.32,ok,1426550400,758600
51,12.99,13.57,12.75,13.4,ok,1426636800,442900
52,14.49,14.65,13.15,13.3,ok,1426723200,1211600
53,13.59,15.03,13.52,15.03,ok,1426809600,1319200
54,12.17,13.4,12.1,13.12,ok,1427068800,1211600
55,12.24,12.85,12.18,12.23,ok,1427155200,680900
56,11.06,12.43,10.5,12.29,ok,1427241600,871100
57,11.59,11.7,10.69,11.0,ok,1427328000,592400
58,11.2,11.86,10.92,11.47,ok,1427414400,369900
59,11.62,11.8,10.1,11.5,ok,1427673600,1373700
60,12.11,12.42,11.21,11.5,ok,1427760000,824700
61,12.55,13.28,11.45,11.94,ok,1427846400,1019300
62,12.94,13.89,12.8,13.43,ok,1427932800,1034900
63,12.82,13.59,12.54,13.06,ok,1428278400,471000
64,12.64,13.3,12.58,12.87,ok,1428364800,744000
65,12.39,12.56,11.86,12.15,ok,1428451200,1077900
66,12.39,12.71,12.15,12.34,ok,1428537600,274200
67,12.39,12.48,11.95,12.4,ok,1428624000,916200
68,12.49,12.9,12.23,12.39,ok,1428883200,461300
69,12.23,12.67,12.13,12.55,ok,1428969600,317600
70,12.25,12.5,12.0,12.27,ok,1429056000,417600
71,12.2,12.4,12.15,12.28,ok,1429142400,279200
72,12.15,12.26,12.0,12.0,ok,1429228800,217700
73,11.98,12.34,10.9,12.25,ok,1429488000,917800
74,12.0,12.4,11.9,12.0,ok,1429574400,440800
75,12.5,12.5,11.89,12.0,ok,1429660800,733600
76,12.42,12.8,12.13,12.65,ok,1429747200,629400
77,12.34,12.51,12.22,12.4,ok,1429833600,523400
78,12.0,12.47,11.85,12.39,ok,1430092800,484300
79,12.07,12.49,11.43,12.0,ok,1430179200,627500
80,12.12,12.89,12.1,12.41,ok,1430265600,575200
81,11.93,12.47,11.65,12.05,ok,1430352000,312900
82,12.18,12.33,11.54,11.75,ok,1430438400,933300
83,12.14,12.79,12.11,12.25,ok,1430697600,276200
84,11.88,12.45,11.74,12.15,ok,1430784000,283000
85,11.54,12.05,11.13,11.96,ok,1430870400,472900
86,11.58,11.78,11.25,11.36,ok,1430956800,457000
87,11.22,11.71,11.13,11.7,ok,1431043200,313300
88,10.72,11.36,10.56,11.24,ok,1431302400,664500
89,10.2,10.68,9.96,10.68,ok,1431388800,1591500
90,10.35,10.45,9.73,10.25,ok,1431475200,827700
91,10.1,10.34,9.86,10.34,ok,1431561600,436600
92,10.6,10.62,10.0,10.0,ok,1431648000,362500
93,10.83,10.98,10.43,10.73,ok,1431907200,532900
94,10.68,10.83,10.64,10.81,ok,1431993600,248000
95,10.74,10.9,10.54,10.66,ok,1432080000,330400
96,10.67,10.85,10.63,10.75,ok,1432166400,274600
97,10.77,10.89,10.6,10.63,ok,1432252800,214200
98,10.43,10.75,10.24,10.75,ok,1432598400,308800
99,10.65,10.69,10.39,10.43,ok,1432684800,297600
100,10.49,10.78,10.35,10.65,ok,1432771200,323900
101,11.19,11.28,10.06,10.45,ok,1432857600,887500
102,10.73,11.24,10.4,11.24,ok,1433116800,680800
103,10.72,11.13,10.6,10.74,ok,1433203200,366900
104,10.87,10.99,10.6,10.61,ok,1433289600,408400
105,10.43,10.97,10.39,10.84,ok,1433376000,467700
106,10.75,10.85,10.4,10.45,ok,1433462400,260500
107,10.69,10.93,10.52,10.79,ok,1433721600,453000
108,10.52,10.76,10.42,10.65,ok,1433808000,375400
109,10.85,11.08,10.51,10.8,ok,1433894400,596100
110,10.47,10.93,10.35,10.85,ok,1433980800,342800
111,11.05,11.14,10.37,10.39,ok,1434067200,378800
112,11.66,12.0,10.8,11.01,ok,1434326400,1131100
113,11.74,11.99,11.48,11.66,ok,1434412800,633800
114,10.67,11.85,10.55,11.73,ok,1434499200,1199900
115,9.86,11.09,9.5,10.74,ok,1434585600,1799000
116,9.76,10.16,9.39,9.91,ok,1434672000,2452000
117,9.5,9.91,9.02,9.83,ok,1434931200,1585500
118,9.7,9.76,9.23,9.48,ok,1435017600,1012800
119,9.62,10.35,9.55,9.73,ok,1435104000,888800
120,9.18,9.69,9.03,9.64,ok,1435190400,1454000
121,8.84,9.4,8.65,9.2,ok,1435276800,7819900
122,8.62,8.82,8.02,8.74,ok,1435536000,1484000
123,9.17,9.2,8.62,9.2,ok,1435622400,938800
124,9.17,9.38,8.91,9.24,ok,1435708800,434900
125,8.98,9.21,8.7,9.21,ok,1435795200,313500
126,9.03,9.07,8.51,8.91,ok,1436140800,683800
127,9.18,9.36,8.73,9.04,ok,1436227200,400800
128,9.06,9.13,8.71,9.12,ok,1436313600,546200
129,8.9,9.22,8.77,9.14,ok,1436400000,391600
130,9.12,9.15,8.83,8.95,ok,1436486400,308900
131,9.06,9.34,8.95,9.15,ok,1436745600,232200
132,9.13,9.23,8.89,9.06,ok,1436832000,300300
133,9.58,9.75,9.17,9.17,ok,1436918400,554000
134,9.79,10.1,9.26,9.58,ok,1437004800,676400
135,10.0,10.29,9.83,9.83,ok,1437091200,642400
136,9.98,10.07,9.63,10.0,ok,1437350400,444000
137,9.77,10.0,9.64,9.95,ok,1437436800,269200
138,9.89,9.92,9.41,9.68,ok,1437523200,304900
139,9.47,10.05,9.43,9.9,ok,1437609600,393400
140,9.43,10.15,9.35,9.42,ok,1437696000,494700
