,c,h,l,o,s,t,v
0,8.1862,8.2862,8.1262,8.2462,ok,1420156800,9600
1,8.0827,8.2527,8.0227,8.2527,ok,1420416000,9800
2,7.9922,8.1322,7.9322,8.1322,ok,1420502400,5000
3,8.0116,8.0416,7.9416,7.9416,ok,1420588800,7400
4,7.9987,8.0287,7.9887,8.0187,ok,1420675200,16000
5,7.934,7.934,7.774,7.774,ok,1420761600,7500
6,7.9082,7.9982,7.8582,7.9982,ok,1421020800,11500
7,7.9017,8.0117,7.9017,7.9917,ok,1421107200,8500
8,7.947,7.967,7.847,7.867,ok,1421193600,5600
9,7.947,8.047,7.907,8.047,ok,1421280000,6400
10,7.9211,7.9611,7.8211,7.8211,ok,1421366400,3500
11,7.9534,7.9734,7.8634,7.8634,ok,1421712000,5800
12,8.0051,8.0151,7.9751,8.0051,ok,1421798400,4100
13,8.0633,8.0933,7.9733,7.9933,ok,1421884800,18000
14,8.1021,8.1421,8.0221,8.0821,ok,1421971200,12900
15,8.1021,8.2021,8.1021,8.1021,ok,1422230400,6100
16,8.1021,8.1321,8.0221,8.0821,ok,1422316800,5400
17,8.0439,8.1439,8.0439,8.1039,ok,1422403200,4000
18,8.1215,8.1315,8.0015,8.0715,ok,1422489600,8400
19,8.0439,8.0839,7.9939,8.0539,ok,1422576000,6300
20,7.9987,8.0687,7.9287,8.0687,ok,1422835200,10800
21,8.0827,8.0827,7.8527,8.0527,ok,1422921600,6800
22,8.0957,8.1457,8.0857,8.0857,ok,1423008000,13100
23,8.1927,8.2327,8.0427,8.0427,ok,1423094400,21400
24,8.128,8.368,8.128,8.368,ok,1423180800,17800
25,8.0827,8.1627,8.0827,8.1527,ok,1423440000,16300
26,8.1215,8.1315,8.0315,8.1115,ok,1423526400,10900
27,8.1345,8.1445,8.0345,8.1045,ok,1423612800,9800
28,8.2379,8.4579,8.1079,8.1179,ok,1423699200,25300
29,8.2832,8.3432,8.2132,8.3332,ok,1423785600,18400
30,8.2315,8.2415,8.2015,8.2015,ok,1424131200,3200
31,8.3673,8.3673,7.9373,7.9373,ok,1424217600,19900
32,8.3673,8.4173,8.3073,8.4173,ok,1424304000,7600
33,8.4772,8.4972,8.0372,8.0972,ok,1424390400,18100
34,8.5095,8.6495,8.2895,8.3795,ok,1424649600,25700
35,8.5677,8.6777,8.5077,8.5577,ok,1424736000,14000
36,8.6065,8.6965,8.5965,8.5965,ok,1424822400,8800
37,8.6065,8.7465,8.5765,8.7465,ok,1424908800,13600
38,8.6518,8.7218,8.6018,8.6118,ok,1424995200,7800
39,8.6453,8.7253,8.5953,8.6953,ok,1425254400,10700
40,8.5871,8.6971,8.5871,8.6871,ok,1425340800,9100
41,8.6194,8.6194,8.4694,8.5194,ok,1425427200,2700
42,8.6647,8.7847,8.5947,8.7847,ok,1425513600,14800
43,8.5289,8.6989,8.4789,8.6989,ok,1425600000,3600
44,8.5289,8.6489,8.4689,8.5689,ok,1425859200,9100
45,8.4061,8.4961,8.4061,8.4661,ok,1425945600,2500
