,c,h,l,o,s,t,v
0,17.57,17.91,17.36,17.91,ok,1420156800,25400
1,17.38,17.7,17.32,17.32,ok,1420416000,33000
2,16.78,17.69,16.73,17.67,ok,1420502400,31300
3,16.45,16.87,16.29,16.87,ok,1420588800,22800
4,17.37,17.7,16.53,16.62,ok,1420675200,57100
5,16.96,17.28,16.88,17.24,ok,1420761600,15600
6,18.11,18.855,17.1,17.1,ok,1421020800,89700
7,18.13,18.35,16.82,18.35,ok,1421107200,42200
8,20.35,20.896,17.95,17.95,ok,1421193600,89800
9,19.47,21.562,19.29,20.43,ok,1421280000,50800
10,21.45,21.57,18.85,19.37,ok,1421366400,42600
11,20.19,22.33,19.69,21.38,ok,1421712000,110100
12,19.75,21.2,19.35,20.3,ok,1421798400,192500
13,19.93,20.47,19.243,20.0,ok,1421884800,41400
14,19.86,20.25,19.81,20.25,ok,1421971200,34700
15,20.51,20.59,19.26,19.8,ok,1422230400,48700
16,20.29,20.865,20.05,20.27,ok,1422316800,38100
17,19.82,20.62,19.78,20.62,ok,1422403200,43800
18,20.51,20.62,19.71,19.93,ok,1422489600,45500
19,19.42,20.28,19.36,20.26,ok,1422576000,55300
20,19.99,20.2,19.22,19.73,ok,1422835200,45200
21,19.97,20.08,19.62,20.0,ok,1422921600,22400
22,19.0,19.91,18.94,19.91,ok,1423008000,33300
23,18.99,19.14,18.83,19.07,ok,1423094400,37300
24,18.89,19.69,18.84,19.0,ok,1423180800,30100
25,18.52,19.3,18.5,18.75,ok,1423440000,14800
26,19.1,19.22,18.64,18.75,ok,1423526400,16500
27,19.68,19.75,18.85,18.99,ok,1423612800,35500
28,22.08,22.63,20.2,20.68,ok,1423699200,110400
29,24.53,24.81,22.01,22.2,ok,1423785600,93700
30,25.58,26.88,24.19,24.96,ok,1424131200,66300
31,28.57,30.72,25.69,25.71,ok,1424217600,212800
32,26.38,28.7,25.59,28.62,ok,1424304000,107500
33,25.65,26.48,25.23,26.48,ok,1424390400,75000
34,25.54,26.15,25.13,25.51,ok,1424649600,92700
35,24.31,28.5,24.02,25.41,ok,1424736000,66400
36,26.0,26.529,24.2,24.39,ok,1424822400,74800
37,25.99,26.09,25.34,25.88,ok,1424908800,30700
38,24.85,26.29,24.5,25.86,ok,1424995200,74800
39,25.93,26.0,24.95,24.95,ok,1425254400,48500
40,25.73,26.24,25.39,25.89,ok,1425340800,26600
41,24.2,25.1,23.55,25.1,ok,1425427200,80600
42,24.73,25.24,23.7,24.0,ok,1425513600,138300
43,23.8,24.5,23.39,24.45,ok,1425600000,1511100
44,24.22,24.54,23.83,24.32,ok,1425859200,330500
45,24.46,26.0,23.07,23.78,ok,1425945600,563200
46,24.7,24.97,24.16,24.76,ok,1426032000,184100
47,23.15,25.09,22.86,24.98,ok,1426118400,209100
48,23.48,24.17,22.74,23.64,ok,1426204800,371600
49,24.0,24.47,23.025,23.7,ok,1426464000,416900
50,24.49,25.74,23.67,24.33,ok,1426550400,528100
51,24.57,24.69,24.1,24.35,ok,1426636800,242800
52,26.34,27.06,24.2,24.57,ok,1426723200,422200
53,27.64,28.95,26.35,27.39,ok,1426809600,1403900
54,27.5,28.684,26.09,27.36,ok,1427068800,425600
55,27.89,28.62,27.0,27.33,ok,1427155200,222800
56,26.64,29.02,26.22,27.98,ok,1427241600,277800
57,25.08,27.316,24.32,26.44,ok,1427328000,319200
58,25.28,25.95,24.87,25.2,ok,1427414400,198700
59,24.73,25.58,24.34,25.55,ok,1427673600,241000
60,23.88,24.69,23.71,24.6,ok,1427760000,429600
61,24.16,24.16,22.7,23.85,ok,1427846400,203100
62,23.68,24.5,23.53,24.11,ok,1427932800,96000
63,23.43,24.17,23.17,23.49,ok,1428278400,81300
64,24.16,24.91,23.47,23.47,ok,1428364800,148100
65,24.28,24.58,23.96,24.07,ok,1428451200,158200
66,23.83,24.45,22.8,24.28,ok,1428537600,179000
67,23.98,24.1,23.26,24.02,ok,1428624000,87800
68,23.02,24.17,22.94,23.99,ok,1428883200,196100
69,24.805,24.893,23.54,23.54,ok,1428969600,765000
70,24.45,25.16,23.9,25.0,ok,1429056000,188400
71,24.95,25.22,24.18,24.18,ok,1429142400,334100
72,24.36,24.594,23.39,24.58,ok,1429228800,209000
73,24.38,25.2,24.21,24.64,ok,1429488000,347300
74,24.59,25.05,24.27,24.59,ok,1429574400,108900
75,23.78,24.83,23.12,24.5,ok,1429660800,227300
76,23.965,24.7,23.57,23.78,ok,1429747200,93800
