,c,h,l,o,s,t,v
0,42.1926,42.5326,41.9026,42.5326,ok,1420156800,308200
1,41.437,41.952,41.362,41.947,ok,1420416000,2337000
2,41.0591,41.6641,40.7991,41.5641,ok,1420502400,668800
3,41.5224,41.5624,41.2124,41.3424,ok,1420588800,498600
4,42.278,42.308,41.853,41.983,ok,1420675200,1658600
5,41.9092,42.3942,41.7792,42.3942,ok,1420761600,376800
6,41.6034,42.0634,41.4534,42.0634,ok,1421020800,279200
7,41.4909,42.2709,41.1609,41.9709,ok,1421107200,513000
8,41.275,41.295,40.765,41.125,ok,1421193600,533600
9,40.8747,41.5597,40.8547,41.5597,ok,1421280000,260800
10,41.437,41.447,40.687,40.687,ok,1421366400,377800
11,41.4729,41.6679,41.0679,41.6679,ok,1421712000,427800
12,41.6438,41.7788,41.1888,41.2538,ok,1421798400,574400
13,42.3095,42.3445,41.4745,41.8995,ok,1421884800,343200
14,42.0756,42.3406,42.0306,42.3406,ok,1421971200,333800
15,42.2285,42.2285,41.8235,42.0735,ok,1422230400,183600
16,41.7248,41.9948,41.4648,41.9148,ok,1422316800,274400
17,41.1716,42.1466,41.1466,42.1466,ok,1422403200,284800
18,41.5269,41.5869,40.8069,41.2219,ok,1422489600,1200400
19,41.0142,41.5992,40.9342,41.2842,ok,1422576000,349600
20,41.4639,41.5039,40.6139,41.0989,ok,1422835200,388800
21,42.0846,42.0996,41.6196,41.6196,ok,1422921600,309800
22,41.9272,42.2472,41.8622,41.9922,ok,1423008000,189600
23,42.377,42.417,42.097,42.177,ok,1423094400,391400
24,42.269,42.639,42.149,42.484,ok,1423180800,327000
25,42.0666,42.2866,41.9766,42.2066,ok,1423440000,874600
26,42.5029,42.5479,42.0679,42.3729,ok,1423526400,296800
27,42.5254,42.6254,42.2704,42.5154,ok,1423612800,151600
28,42.9437,42.9437,42.6487,42.7287,ok,1423699200,217600
29,43.1371,43.1371,42.9071,42.9471,ok,1423785600,241800
30,43.191,43.241,42.961,43.131,ok,1424131200,241600
31,43.191,43.231,43.026,43.166,ok,1424217600,335000
32,43.1595,43.2645,43.0395,43.1395,ok,1424304000,134600
33,43.4474,43.4474,42.8574,43.1074,ok,1424390400,201000
34,43.4384,43.4384,43.2584,43.4334,ok,1424649600,182800
35,43.5598,43.5899,43.3399,43.4249,ok,1424736000,177600
36,43.5284,43.6384,43.4334,43.6034,ok,1424822400,329600
37,43.4699,43.5749,43.3149,43.5749,ok,1424908800,199600
38,43.3439,43.5339,43.3239,43.4839,ok,1424995200,391800
39,43.6093,43.6193,43.3143,43.3293,ok,1425254400,244800
40,43.3979,43.5479,43.1879,43.5479,ok,1425340800,276200
41,43.2315,43.3265,43.0065,43.3265,ok,1425427200,330600
42,43.2855,43.3905,43.1455,43.3905,ok,1425513600,275400
43,42.6603,43.2203,42.6003,43.2203,ok,1425600000,414800
44,42.8447,42.9397,42.6897,42.7897,ok,1425859200,314800
45,42.1701,42.5801,42.1651,42.5801,ok,1425945600,404600
46,42.1296,42.3596,42.0896,42.3596,ok,1426032000,307600
47,42.6648,42.6698,42.2748,42.3148,ok,1426118400,239000
48,42.3949,42.6599,42.1149,42.6599,ok,1426204800,314800
49,42.9437,42.9487,42.5437,42.5937,ok,1426464000,184000
50,42.8312,42.9262,42.6462,42.8262,ok,1426550400,249600
51,43.335,43.51,42.505,42.705,ok,1426636800,350800
52,43.1776,43.3276,43.0676,43.2775,ok,1426723200,171400
53,43.5329,43.6629,43.3129,43.4079,ok,1426809600,248800
54,43.5014,43.7114,43.5014,43.5664,ok,1427068800,200000
55,43.2495,43.5845,43.2345,43.5295,ok,1427155200,238200
56,42.6135,43.5535,42.5985,43.4335,ok,1427241600,356800
57,42.5006,42.7206,42.2406,42.3906,ok,1427328000,399000
58,42.6271,42.6521,42.4071,42.5321,ok,1427414400,181800
59,43.1556,43.2056,42.8605,42.8605,ok,1427673600,329400
60,42.7897,43.1397,42.7697,43.0247,ok,1427760000,370000
61,42.6406,42.8306,42.3706,42.8306,ok,1427846400,500200
62,42.7806,42.9156,42.5756,42.6556,ok,1427932800,297400
63,43.0471,43.2021,42.4921,42.6171,ok,1428278400,324800
64,42.9387,43.2487,42.9387,43.1587,ok,1428364800,292200
65,43.0697,43.1697,42.8947,43.0347,ok,1428451200,182400
66,43.2594,43.2894,42.8744,43.0844,ok,1428537600,227600
67,43.4672,43.4772,43.2472,43.3072,ok,1428624000,252200
68,43.2775,43.6175,43.2775,43.4075,ok,1428883200,284200
69,43.3362,43.3912,43.0662,43.2362,ok,1428969600,560000
70,43.544,43.669,43.469,43.484,ok,1429056000,143000
71,43.5214,43.6514,43.3964,43.4814,ok,1429142400,193400
72,43.0246,43.2946,42.8196,43.2596,ok,1429228800,361800
73,43.4221,43.4971,43.2371,43.2571,ok,1429488000,242600
74,43.3814,43.6164,43.2914,43.5964,ok,1429574400,210000
75,43.5711,43.6111,43.2161,43.4011,ok,1429660800,139000
76,43.6885,43.8485,43.4485,43.4485,ok,1429747200,197400
77,43.7699,43.8199,43.6599,43.8149,ok,1429833600,123600
78,43.5711,43.9611,43.5161,43.9411,ok,1430092800,141200
79,43.6885,43.7185,43.2685,43.5585,ok,1430179200,122400
80,43.5124,43.6674,43.2974,43.4774,ok,1430265600,144400
81,43.0607,43.4957,42.8807,43.4657,ok,1430352000,546000
82,43.5124,43.5174,43.2074,43.2274,ok,1430438400,173000
83,43.6434,43.7834,43.5834,43.6034,ok,1430697600,177400
84,43.1375,43.7125,43.0875,43.6825,ok,1430784000,304200
85,42.9794,43.3194,42.7094,43.3194,ok,1430870400,240800
86,43.1556,43.2656,42.8506,42.8856,ok,1430956800,267600
87,43.6976,43.7526,43.5726,43.5726,ok,1431043200,188600
88,43.5214,43.7814,43.4964,43.6714,ok,1431302400,145200
89,43.395,43.505,43.04,43.4,ok,1431388800,201000
90,43.404,43.654,43.329,43.549,ok,1431475200,127000
91,43.8512,43.8562,43.5212,43.5212,ok,1431561600,227400
92,43.8737,43.9537,43.7637,43.9537,ok,1431648000,297200
93,44.0364,44.1214,43.7814,43.7814,ok,1431907200,185000
94,44.0002,44.1452,43.9552,44.0902,ok,1431993600,126000
95,44.0183,44.1783,43.9083,44.0683,ok,1432080000,117400
96,44.1267,44.1567,43.8967,44.0117,ok,1432166400,197400
97,44.0228,44.1228,43.9978,43.9978,ok,1432252800,134000
98,43.5621,43.9821,43.4321,43.9821,ok,1432598400,195800
99,43.9686,44.0186,43.5686,43.6486,ok,1432684800,149200
100,43.9234,43.9284,43.7434,43.8534,ok,1432771200,130000
101,43.6344,43.9244,43.5644,43.9244,ok,1432857600,171200
102,43.7382,43.8932,43.4982,43.8282,ok,1433116800,188600
103,43.6253,43.8753,43.4453,43.6003,ok,1433203200,343600
104,43.8241,43.9741,43.7041,43.8391,ok,1433289600,271200
105,43.4808,43.8058,43.3658,43.6558,ok,1433376000,524400
106,43.4085,43.5435,43.1785,43.4785,ok,1433462400,306200
107,43.1059,43.4859,43.1009,43.4859,ok,1433721600,707000
108,43.1194,43.2494,42.9444,43.0944,ok,1433808000,255400
109,43.6524,43.7274,43.2874,43.3124,ok,1433894400,261400
110,43.7653,43.8703,43.7003,43.7953,ok,1433980800,271400
111,43.4853,43.6103,43.4003,43.5853,ok,1434067200,300800
112,43.264,43.8839,42.984,43.8839,ok,1434326400,439200
113,43.5259,43.5409,43.2059,43.2309,ok,1434412800,176600
114,43.6073,43.7423,43.3373,43.5873,ok,1434499200,221600
115,44.0093,44.1443,43.6593,43.6593,ok,1434585600,236000
116,43.806,44.086,43.806,44.086,ok,1434672000,169600
117,44.0635,44.2235,44.0235,44.1035,ok,1434931200,161800
118,44.0951,44.1801,43.9951,44.1351,ok,1435017600,182400
119,43.7998,44.1498,43.7898,44.1098,ok,1435104000,160000
120,43.6682,43.9782,43.6332,43.9782,ok,1435190400,218400
121,43.6637,43.7887,43.5087,43.7487,ok,1435276800,230200
122,42.7293,43.5093,42.7093,43.4293,ok,1435536000,444800
123,42.8427,43.1577,42.6877,43.1577,ok,1435622400,306000
124,43.1647,43.2447,42.9447,43.2447,ok,1435708800,265800
125,43.1148,43.3498,42.9848,43.3498,ok,1435795200,176200
126,42.9742,43.1392,42.6892,42.7142,ok,1436140800,224200
127,43.2146,43.2346,42.3396,42.9996,ok,1436227200,298400
128,42.507,43.017,42.477,42.937,ok,1436313600,475800
129,42.5977,43.1427,42.5627,42.9677,ok,1436400000,249000
130,43.1148,43.2148,42.9098,42.9998,ok,1436486400,264800
131,43.5866,43.6066,43.3916,43.4466,ok,1436745600,200600
132,43.7726,43.8526,43.5276,43.6376,ok,1436832000,213800
133,43.7091,43.8741,43.6191,43.8691,ok,1436918400,207400
134,44.0538,44.0538,43.9038,43.9488,ok,1437004800,306600
135,44.0583,44.0633,43.9333,44.0183,ok,1437091200,205800
136,44.0946,44.1796,43.9896,44.1396,ok,1437350400,1613000
137,43.9041,44.1191,43.8141,44.0941,ok,1437436800,169400
138,43.7907,43.9057,43.7007,43.7057,ok,1437523200,132800
139,43.5685,43.9185,43.4935,43.8935,ok,1437609600,176000
140,43.1103,43.6753,43.0553,43.6453,ok,1437696000,229000
141,42.8472,43.0372,42.7472,43.0122,ok,1437955200,494200
142,43.3689,43.4039,42.8039,43.0539,ok,1438041600,215400
143,43.6864,43.7214,43.3264,43.4014,ok,1438128000,176400
144,43.7091,43.7591,43.3891,43.5941,ok,1438214400,147400
145,43.6682,43.8582,43.5882,43.8382,ok,1438300800,241800
146,43.514,43.679,43.264,43.679,ok,1438560000,365800
147,43.4414,43.6414,43.3164,43.5164,ok,1438646400,237400
148,43.5911,43.8711,43.5211,43.6761,ok,1438732800,219200
149,43.2509,43.6809,43.0459,43.6759,ok,1438819200,292800
150,43.1194,43.2244,42.8944,43.1844,ok,1438905600,230000
151,43.6909,43.6959,43.3409,43.3409,ok,1439164800,187400
152,43.3008,43.4658,43.1008,43.3908,ok,1439251200,189600
