,c,h,l,o,s,t,v
0,1.13,1.15,1.11,1.11,ok,1420156800,56200
1,1.12,1.15,1.1,1.15,ok,1420416000,50800
2,1.12,1.14,1.09,1.12,ok,1420502400,124700
3,1.1,1.11,1.06,1.11,ok,1420588800,103700
4,1.1,1.1,1.07,1.1,ok,1420675200,63700
5,0.97,1.1,0.96,1.1,ok,1420761600,184500
6,1.0,1.01,0.95,0.95,ok,1421020800,55600
7,1.0,1.01,0.96,0.98,ok,1421107200,44200
8,0.96,1.0,0.85,0.95,ok,1421193600,19400
9,0.97,1.0,0.97,0.98,ok,1421280000,34500
10,0.97,1.0,0.97,0.97,ok,1421366400,22700
11,0.99,1.01,0.95,0.97,ok,1421712000,32400
12,0.97,1.0,0.97,1.0,ok,1421798400,33200
13,1.0,1.0,0.97,1.0,ok,1421884800,6600
14,1.0,1.0,0.97,0.97,ok,1421971200,39800
15,1.0,1.0,0.96,0.96,ok,1422230400,47300
16,1.0,1.0,0.98,1.0,ok,1422316800,43300
17,0.99,1.0,0.97,1.0,ok,1422403200,10100
18,0.97,1.0,0.96,0.99,ok,1422489600,30600
19,0.99,0.99,0.96,0.98,ok,1422576000,14200
20,0.98,0.99,0.96,0.99,ok,1422835200,27400
21,0.97,0.99,0.95,0.98,ok,1422921600,16300
22,0.97,0.99,0.85,0.95,ok,1423008000,57200
23,0.98,0.99,0.96,0.97,ok,1423094400,27900
24,0.97,0.99,0.96,0.98,ok,1423180800,26600
25,0.96,0.98,0.94,0.96,ok,1423440000,65300
26,0.97,0.99,0.95,0.99,ok,1423526400,29500
27,0.98,0.99,0.94,0.97,ok,1423612800,33500
28,0.99,0.99,0.92,0.95,ok,1423699200,29900
29,0.98,0.99,0.95,0.99,ok,1423785600,22800
30,1.0,1.0,0.98,0.98,ok,1424131200,92900
31,0.99,1.0,0.97,1.0,ok,1424217600,15300
32,0.98,0.99,0.95,0.99,ok,1424304000,18500
33,0.99,0.99,0.95,0.95,ok,1424390400,57100
34,0.93,0.99,0.93,0.97,ok,1424649600,143000
35,0.94,0.98,0.92,0.92,ok,1424736000,39600
36,0.94,0.97,0.93,0.97,ok,1424822400,20300
37,0.97,0.97,0.93,0.94,ok,1424908800,16100
38,0.95,0.97,0.94,0.97,ok,1424995200,20400
39,0.96,0.97,0.94,0.95,ok,1425254400,9100
40,0.95,0.97,0.93,0.93,ok,1425340800,6000
41,0.94,0.96,0.93,0.95,ok,1425427200,26900
42,0.95,0.95,0.94,0.95,ok,1425513600,14300
43,1.15,1.2,0.98,0.98,ok,1425600000,204600
44,1.22,1.27,1.15,1.27,ok,1425859200,70000
45,1.23,1.26,1.2,1.22,ok,1425945600,54800
46,1.4,1.46,1.23,1.23,ok,1426032000,75700
47,1.5,1.54,1.4,1.4,ok,1426118400,180900
48,1.59,1.6,1.44,1.5,ok,1426204800,74900
49,1.65,1.7,1.53,1.6,ok,1426464000,89400
50,1.51,1.65,1.46,1.65,ok,1426550400,100400
51,1.64,1.64,1.48,1.48,ok,1426636800,43500
52,1.64,1.67,1.59,1.6,ok,1426723200,20100
53,1.62,1.67,1.58,1.64,ok,1426809600,22400
54,1.63,1.67,1.6,1.62,ok,1427068800,31800
55,1.71,1.77,1.64,1.64,ok,1427155200,36500
56,1.69,1.77,1.66,1.77,ok,1427241600,56000
57,1.78,1.92,1.66,1.66,ok,1427328000,94000
58,1.78,1.8,1.78,1.8,ok,1427414400,35100
59,1.78,1.79,1.77,1.78,ok,1427673600,18700
60,1.85,1.91,1.77,1.78,ok,1427760000,62500
61,1.84,1.91,1.82,1.82,ok,1427846400,9800
62,1.75,1.9,1.75,1.84,ok,1427932800,76000
63,1.72,1.79,1.71,1.79,ok,1428278400,10500
64,1.69,1.72,1.61,1.7,ok,1428364800,17900
65,1.69,1.71,1.69,1.69,ok,1428451200,18500
66,1.7,1.7,1.69,1.7,ok,1428537600,32400
67,1.68,1.7,1.67,1.68,ok,1428624000,18000
68,1.66,1.68,1.66,1.66,ok,1428883200,26000
69,1.67,1.69,1.66,1.67,ok,1428969600,17700
70,1.66,1.69,1.65,1.65,ok,1429056000,43700
71,1.69,1.75,1.65,1.65,ok,1429142400,22300
72,1.68,1.69,1.67,1.69,ok,1429228800,33300
73,1.67,1.68,1.66,1.68,ok,1429488000,27300
74,1.65,1.67,1.65,1.65,ok,1429574400,37100
75,1.67,1.68,1.65,1.65,ok,1429660800,21200
76,1.66,1.68,1.59,1.65,ok,1429747200,40500
77,1.86,1.87,1.61,1.64,ok,1429833600,66000
78,1.84,1.9,1.81,1.9,ok,1430092800,37300
79,1.81,1.83,1.8,1.81,ok,1430179200,15500
80,1.8,1.82,1.8,1.81,ok,1430265600,12300
81,1.8,1.82,1.77,1.81,ok,1430352000,12500
82,1.8,1.8,1.77,1.8,ok,1430438400,16200
83,1.79,1.81,1.78,1.8,ok,1430697600,6600
84,1.8,1.8,1.79,1.8,ok,1430784000,4300
85,1.74,1.82,1.67,1.82,ok,1430870400,19500
86,1.71,1.75,1.71,1.75,ok,1430956800,3200
87,1.7,1.71,1.68,1.71,ok,1431043200,8600
88,1.7,1.7,1.65,1.68,ok,1431302400,6100
89,1.66,1.66,1.66,1.66,ok,1431388800,1100
90,1.66,1.69,1.65,1.69,ok,1431475200,18100
91,1.64,1.66,1.61,1.65,ok,1431561600,16800
92,1.64,1.64,1.63,1.63,ok,1431648000,18500
93,1.63,1.64,1.6,1.63,ok,1431907200,55100
