,c,h,l,o,s,t,v
0,83.1358,83.9158,82.3358,83.6158,ok,1420156800,1378400
1,81.0811,82.9511,80.9211,82.9511,ok,1420416000,1827500
2,79.966,81.716,79.326,81.576,ok,1420502400,2681700
3,80.8353,81.2253,80.1553,80.6153,ok,1420588800,1696500
4,82.7846,82.8246,81.4046,81.4446,ok,1420675200,1717400
5,82.1612,83.3112,81.6612,83.0912,ok,1420761600,1416600
6,81.7836,82.6036,81.4836,82.4036,ok,1421020800,1354000
7,81.687,83.177,80.947,82.507,ok,1421107200,2117000
8,81.5202,81.7102,80.2902,80.3602,ok,1421193600,1891100
9,80.9319,82.2619,80.7119,81.6419,ok,1421280000,1732600
10,81.9153,81.9153,80.0853,80.7053,ok,1421366400,2161400
11,82.0207,82.4507,80.9907,82.3707,ok,1421712000,2009200
12,82.3017,82.5717,81.5317,81.6617,ok,1421798400,1770000
13,83.0656,83.4056,82.0156,82.8956,ok,1421884800,2242800
14,82.1524,83.3324,82.1424,83.2224,ok,1421971200,1792900
15,82.3017,82.5517,81.4617,82.1217,ok,1422230400,2216700
16,82.0646,82.7646,80.7246,81.9746,ok,1422316800,2702000
17,80.888,82.648,80.828,82.618,ok,1422403200,2972000
18,82.3192,82.6292,80.2492,80.6992,ok,1422489600,3202700
19,81.7397,82.7897,81.5097,81.6297,ok,1422576000,3866600
20,83.3378,83.4178,81.2478,81.9878,ok,1422835200,1750700
21,84.1807,84.5007,83.1507,83.3107,ok,1422921600,2222400
22,84.1632,84.9132,83.9532,84.3132,ok,1423008000,2111200
23,85.2344,85.4244,84.0644,84.1644,ok,1423094400,1671400
24,85.252,86.002,85.012,85.142,ok,1423180800,1810700
25,85.0149,85.4149,84.6149,84.8649,ok,1423440000,1050100
26,85.2169,85.4169,84.5669,85.3769,ok,1423526400,1078300
27,84.9271,85.3071,84.4871,85.2071,ok,1423612800,826300
28,85.8578,85.8878,84.9778,85.1678,ok,1423699200,1513700
29,86.2793,86.7093,85.8193,85.8193,ok,1423785600,1280200
30,86.2179,86.5679,85.8379,85.8879,ok,1424131200,1232100
31,86.4374,86.6974,85.7074,85.7074,ok,1424217600,1202700
32,86.4286,86.7986,85.9686,85.9686,ok,1424304000,1316800
33,87.3593,87.6793,85.6593,86.1193,ok,1424390400,2221200
34,87.1486,87.3586,86.7786,87.1486,ok,1424649600,1376600
35,87.3506,87.7506,86.8106,86.8306,ok,1424736000,1806000
36,87.5964,87.7664,87.1064,87.1064,ok,1424822400,1516500
37,87.2013,87.8413,87.0913,87.7613,ok,1424908800,1775500
38,86.8062,87.4062,86.7762,87.2662,ok,1424995200,1709800
39,87.4208,87.7608,86.5808,86.7608,ok,1425254400,1797700
40,87.5174,87.6374,86.9574,87.0474,ok,1425340800,1913000
41,86.2266,87.3066,86.1966,87.3066,ok,1425427200,2038100
42,87.0345,87.1645,86.0044,86.0545,ok,1425513600,1705900
43,85.8491,86.7391,85.6791,86.2491,ok,1425600000,2361400
44,86.6569,87.0169,85.6569,85.6869,ok,1425859200,1549700
45,84.9359,86.0659,84.9359,85.9559,ok,1425945600,1868600
46,84.4617,85.2517,84.4217,85.1017,ok,1426032000,1884000
47,86.1213,86.2913,84.4213,84.5613,ok,1426118400,1420200
48,85.7525,86.1525,84.8425,86.0125,ok,1426204800,1784100
49,86.9993,87.0693,85.7193,85.9593,ok,1426464000,1378000
50,86.7184,86.9584,86.3184,86.5984,ok,1426550400,1450100
51,87.6403,87.9703,85.1703,86.1903,ok,1426636800,2568000
52,87.254,87.564,86.654,87.244,ok,1426723200,1666600
53,86.5164,87.7264,86.3664,87.6764,ok,1426809600,5200100
54,85.9632,86.9932,85.9532,86.7632,ok,1427068800,1815600
55,85.7086,86.2686,85.6186,85.7586,ok,1427155200,1628800
56,84.7339,86.1939,84.7239,86.0239,ok,1427241600,1761900
57,84.7603,85.1603,84.0103,84.3103,ok,1427328000,1684800
58,85.3736,85.6236,84.6836,85.1236,ok,1427414400,1860800
59,86.3885,86.7185,85.6485,85.6985,ok,1427673600,1973600
60,85.7266,86.1666,85.4066,85.9266,ok,1427760000,1741500
61,85.1795,85.8095,84.7595,85.6595,ok,1427846400,1479700
62,85.2589,85.9489,84.9089,84.9589,ok,1427932800,1074600
63,86.2738,86.7637,84.5137,84.6537,ok,1428278400,1095300
64,86.4326,87.2526,86.0526,86.3326,ok,1428364800,1592700
65,85.8325,86.8125,85.3925,86.3425,ok,1428451200,1405900
66,85.8501,86.3101,85.3401,85.6401,ok,1428537600,954600
67,86.0796,86.4096,85.6296,85.9796,ok,1428624000,1386600
68,86.5208,86.6608,85.4708,85.6508,ok,1428883200,1551000
69,87.8005,87.8705,85.8905,86.1405,ok,1428969600,2239800
70,87.4034,88.2833,87.3133,88.2634,ok,1429056000,2330500
71,86.6974,87.2874,86.4774,87.0474,ok,1429142400,1431900
72,84.6058,86.2158,84.1558,86.1658,ok,1429228800,2628400
73,85.6207,85.8907,84.8907,84.9007,ok,1429488000,1493800
74,83.3262,85.3262,83.0162,84.8662,ok,1429574400,3956700
75,83.3438,83.5838,82.4238,83.3238,ok,1429660800,2578000
76,83.5821,83.9621,82.6421,83.1121,ok,1429747200,2653600
77,83.5115,83.6915,83.0915,83.5915,ok,1429833600,1925500
78,83.8027,84.1127,83.3727,83.6127,ok,1430092800,2404400
79,83.9792,84.0892,83.2592,83.4392,ok,1430179200,1911900
