,c,h,l,o,s,t,v
0,0.15,0.15,0.15,0.15,ok,1420036200,0
1,0.15,0.15,0.15,0.15,ok,1420209000,0
2,0.006,0.006,0.006,0.006,ok,1420468200,0
3,0.15,0.15,0.15,0.15,ok,1420554600,0
4,0.15,0.15,0.15,0.15,ok,1420641000,0
5,0.15,0.15,0.15,0.15,ok,1420727400,0
6,0.15,0.15,0.15,0.15,ok,1420813800,0
7,0.15,0.15,0.15,0.15,ok,1421073000,0
8,0.15,0.15,0.15,0.15,ok,1421159400,0
9,0.15,0.15,0.15,0.15,ok,1421245800,0
10,0.15,0.15,0.15,0.15,ok,1421332200,0
11,0.15,0.15,0.15,0.15,ok,1421418600,0
12,0.15,0.15,0.15,0.15,ok,1421764200,0
13,0.15,0.15,0.15,0.15,ok,1421850600,0
14,0.15,0.15,0.15,0.15,ok,1421937000,0
15,0.15,0.15,0.15,0.15,ok,1422023400,0
16,0.15,0.15,0.15,0.15,ok,1422282600,0
17,0.15,0.15,0.15,0.15,ok,1422369000,0
18,0.15,0.15,0.15,0.15,ok,1422455400,0
19,0.15,0.15,0.15,0.15,ok,1422541800,0
20,0.15,0.15,0.15,0.15,ok,1422628200,0
21,0.15,0.15,0.15,0.15,ok,1422887400,0
22,0.15,0.15,0.15,0.15,ok,1422973800,0
23,0.15,0.15,0.15,0.15,ok,1423060200,0
24,0.15,0.15,0.15,0.15,ok,1423146600,0
25,0.15,0.15,0.15,0.15,ok,1423233000,0
26,0.15,0.15,0.15,0.15,ok,1423492200,0
27,0.15,0.15,0.15,0.15,ok,1423578600,0
28,0.15,0.15,0.15,0.15,ok,1423665000,0
29,0.15,0.15,0.15,0.15,ok,1423751400,0
30,0.15,0.15,0.15,0.15,ok,1423837800,0
31,0.15,0.15,0.15,0.15,ok,1424183400,0
32,0.15,0.15,0.15,0.15,ok,1424269800,0
33,0.15,0.15,0.15,0.15,ok,1424356200,0
34,0.15,0.15,0.15,0.15,ok,1424442600,0
35,0.15,0.15,0.15,0.15,ok,1424701800,0
36,0.15,0.15,0.15,0.15,ok,1424788200,0
37,0.15,0.15,0.15,0.15,ok,1424874600,0
38,0.15,0.15,0.15,0.15,ok,1424961000,0
39,0.15,0.15,0.15,0.15,ok,1425047400,0
40,0.15,0.15,0.15,0.15,ok,1425306600,0
41,0.15,0.15,0.15,0.15,ok,1425393000,0
42,0.15,0.15,0.15,0.15,ok,1425479400,0
43,0.15,0.15,0.15,0.15,ok,1425565800,0
44,0.15,0.15,0.15,0.15,ok,1425652200,0
45,0.15,0.15,0.15,0.15,ok,1425907800,0
46,0.15,0.15,0.15,0.15,ok,1425994200,0
47,0.15,0.15,0.15,0.15,ok,1426080600,0
48,0.15,0.15,0.15,0.15,ok,1426167000,0
49,0.15,0.15,0.15,0.15,ok,1426253400,0
50,0.15,0.15,0.15,0.15,ok,1426512600,0
51,0.15,0.15,0.15,0.15,ok,1426599000,0
52,0.15,0.15,0.15,0.15,ok,1426685400,0
53,0.15,0.15,0.15,0.15,ok,1426771800,0
54,0.15,0.15,0.15,0.15,ok,1426858200,0
55,0.15,0.15,0.15,0.15,ok,1427117400,0
56,0.15,0.15,0.15,0.15,ok,1427203800,0
57,0.15,0.15,0.15,0.15,ok,1427290200,0
58,0.15,0.15,0.15,0.15,ok,1427376600,0
59,0.15,0.15,0.15,0.15,ok,1427463000,0
60,0.15,0.15,0.15,0.15,ok,1427722200,0
61,0.15,0.15,0.15,0.15,ok,1427808600,0
62,0.15,0.15,0.15,0.15,ok,1427895000,0
63,0.15,0.15,0.15,0.15,ok,1427981400,0
64,0.15,0.15,0.15,0.15,ok,1428327000,0
65,0.15,0.15,0.15,0.15,ok,1428413400,0
66,0.15,0.15,0.15,0.15,ok,1428499800,0
67,0.15,0.15,0.15,0.15,ok,1428586200,0
68,0.15,0.15,0.15,0.15,ok,1428672600,0
69,0.15,0.15,0.15,0.15,ok,1428931800,0
70,0.15,0.15,0.15,0.15,ok,1429018200,0
71,0.15,0.15,0.15,0.15,ok,1429104600,0
72,0.15,0.15,0.15,0.15,ok,1429191000,0
73,0.15,0.15,0.15,0.15,ok,1429277400,0
74,0.15,0.15,0.15,0.15,ok,1429536600,0
75,0.15,0.15,0.15,0.15,ok,1429623000,0
76,0.15,0.15,0.15,0.15,ok,1429709400,0
77,0.15,0.15,0.15,0.15,ok,1429795800,0
78,0.15,0.15,0.15,0.15,ok,1429882200,0
79,0.15,0.15,0.15,0.15,ok,1430141400,0
80,0.15,0.15,0.15,0.15,ok,1430227800,0
81,0.15,0.15,0.15,0.15,ok,1430314200,0
82,0.15,0.15,0.15,0.15,ok,1430400600,0
83,0.15,0.15,0.15,0.15,ok,1430487000,0
84,0.15,0.15,0.15,0.15,ok,1430746200,0
85,0.15,0.15,0.15,0.15,ok,1430832600,0
86,0.15,0.15,0.15,0.15,ok,1430919000,0
87,0.15,0.15,0.15,0.15,ok,1431005400,0
88,0.15,0.15,0.15,0.15,ok,1431091800,0
89,0.15,0.15,0.15,0.15,ok,1431351000,0
90,0.15,0.15,0.15,0.15,ok,1431437400,0
91,0.15,0.15,0.15,0.15,ok,1431523800,0
92,0.15,0.15,0.15,0.15,ok,1431610200,0
93,0.15,0.15,0.15,0.15,ok,1431696600,0
94,0.15,0.15,0.15,0.15,ok,1431955800,0
95,0.15,0.15,0.15,0.15,ok,1432042200,0
96,0.15,0.15,0.15,0.15,ok,1432128600,0
97,0.15,0.15,0.15,0.15,ok,1432215000,0
98,0.15,0.15,0.15,0.15,ok,1432301400,0
99,0.15,0.15,0.15,0.15,ok,1432647000,0
100,0.15,0.15,0.15,0.15,ok,1432733400,0
101,0.15,0.15,0.15,0.15,ok,1432819800,0
102,0.15,0.15,0.15,0.15,ok,1432906200,0
103,0.008,0.008,0.008,0.008,ok,1433165400,0
104,0.15,0.15,0.15,0.15,ok,1433251800,0
105,0.15,0.15,0.15,0.15,ok,1433338200,0
106,0.15,0.15,0.15,0.15,ok,1433424600,0
107,0.15,0.15,0.15,0.15,ok,1433511000,0
108,0.15,0.15,0.15,0.15,ok,1433770200,0
109,0.15,0.15,0.15,0.15,ok,1433856600,0
110,0.15,0.15,0.15,0.15,ok,1433943000,0
111,0.15,0.15,0.15,0.15,ok,1434029400,0
112,0.15,0.15,0.15,0.15,ok,1434115800,0
113,0.15,0.15,0.15,0.15,ok,1434375000,0
114,0.15,0.15,0.15,0.15,ok,1434461400,0
115,0.15,0.15,0.15,0.15,ok,1434547800,0
116,0.15,0.15,0.15,0.15,ok,1434634200,0
117,0.15,0.15,0.15,0.15,ok,1434720600,0
118,0.15,0.15,0.15,0.15,ok,1434979800,0
119,0.15,0.15,0.15,0.15,ok,1435066200,0
120,0.15,0.15,0.15,0.15,ok,1435152600,0
121,0.15,0.15,0.15,0.15,ok,1435239000,0
122,0.15,0.15,0.15,0.15,ok,1435325400,0
123,0.15,0.15,0.15,0.15,ok,1435584600,0
124,0.15,0.15,0.15,0.15,ok,1435671000,0
125,0.15,0.15,0.15,0.15,ok,1435757400,0
126,0.15,0.15,0.15,0.15,ok,1435843800,0
127,0.15,0.15,0.15,0.15,ok,1436189400,0
128,0.15,0.15,0.15,0.15,ok,1436275800,0
