,c,h,l,o,s,t,v
0,21.5753,21.6053,21.5753,21.6053,ok,1436918400,200
1,21.7408,21.7408,21.6908,21.6908,ok,1438732800,6600
2,21.3924,21.3924,21.2724,21.2724,ok,1439337600,200
3,20.1991,20.1991,20.1991,20.1991,ok,1440720000,400
4,18.7784,18.7994,18.7784,18.7994,ok,1442880000,400
5,18.6661,18.6661,18.6661,18.6661,ok,1443571200,100
6,20.3532,20.3532,20.3532,20.3532,ok,1445817600,200
7,20.0946,20.0946,20.0946,20.0946,ok,1446508800,200
8,19.5981,19.7181,19.5981,19.7181,ok,1447286400,7100
9,19.99,19.99,19.99,19.99,ok,1447891200,800
10,18.849,18.869,18.849,18.869,ok,1450051200,5900
11,19.381,19.381,19.316,19.32,ok,1451520000,900
12,18.9589,18.9589,18.9589,18.9589,ok,1451865600,300
13,19.0284,19.0284,19.0254,19.0254,ok,1451952000,1000
14,18.3609,18.3609,18.3609,18.3609,ok,1452124800,400
15,18.1323,18.1323,18.1323,18.1323,ok,1452470400,300
16,18.3346,18.3346,18.3346,18.3346,ok,1452643200,100
17,17.5308,17.5968,17.5308,17.5968,ok,1453161600,800
18,18.0971,18.0971,16.6171,16.7261,ok,1453248000,508800
19,17.2002,17.2402,16.9802,16.9802,ok,1453334400,225800
20,17.7278,17.7278,17.5878,17.5878,ok,1453420800,29500
21,17.4024,17.6224,17.4024,17.5324,ok,1453680000,55600
22,17.697,17.7,17.47,17.47,ok,1453766400,339700
23,17.5933,17.9163,17.5413,17.7663,ok,1453852800,8800
24,17.6663,17.7963,17.5713,17.7963,ok,1453939200,6800
25,17.9564,17.9564,17.7404,17.7404,ok,1454025600,1900
26,17.9301,17.9301,17.7871,17.7871,ok,1454284800,15400
27,17.4156,17.8506,17.3906,17.8506,ok,1454371200,14200
28,17.3937,17.3937,17.0637,17.2537,ok,1454457600,7100
29,17.464,17.504,17.354,17.354,ok,1454544000,1400
30,17.3321,17.5761,17.3121,17.5761,ok,1454630400,9300
31,17.0507,17.1107,16.8907,17.1107,ok,1454889600,18300
32,16.7429,16.8329,16.5729,16.6729,ok,1454976000,26900
33,16.6726,16.8226,16.6626,16.7426,ok,1455062400,18200
34,16.3384,16.3884,16.1884,16.3054,ok,1455148800,8000
35,16.5759,16.5899,16.3459,16.3859,ok,1455235200,11900
36,17.0947,17.0947,16.8747,17.0347,ok,1455580800,12400
37,17.3585,17.3785,17.1485,17.1485,ok,1455667200,3700
38,17.3057,17.4057,17.2857,17.3557,ok,1455753600,5600
39,17.1914,17.1914,17.0674,17.1814,ok,1455840000,2100
40,17.4024,17.4424,17.3724,17.4124,ok,1456099200,5800
41,17.1211,17.2381,17.1211,17.2111,ok,1456185600,2700
42,16.8704,16.8744,16.7654,16.8054,ok,1456272000,302300
43,17.3145,17.3145,17.1845,17.1845,ok,1456358400,1000
44,17.3673,17.4773,17.3573,17.4713,ok,1456444800,6000
45,17.2503,17.4033,17.2503,17.2733,ok,1456704000,4300
46,17.6223,17.6373,17.3823,17.3823,ok,1456790400,5100
47,17.8597,17.8597,17.6597,17.6597,ok,1456876800,1700
48,18.1235,18.1835,18.0935,18.1035,ok,1456963200,22100
49,18.3689,18.3999,18.3259,18.3289,ok,1457049600,27800
50,18.2818,18.3418,18.0918,18.0918,ok,1457308800,14100
51,18.0532,18.1632,18.0182,18.1632,ok,1457395200,10400
52,18.0796,18.1196,18.0196,18.0696,ok,1457481600,5700
53,17.9389,18.3889,17.9089,18.2689,ok,1457568000,3600
54,18.572,18.572,18.442,18.442,ok,1457654400,2800
55,18.5808,18.6008,18.5308,18.5708,ok,1457913600,14600
56,18.2554,18.2854,18.1854,18.2654,ok,1458000000,3600
57,18.3961,18.3961,18.1351,18.1661,ok,1458086400,1000
58,18.5069,18.5109,18.3409,18.3809,ok,1458172800,14400
59,18.4805,18.5245,18.4165,18.5245,ok,1458259200,2000
60,18.3873,18.4473,18.3873,18.3973,ok,1458518400,31100
61,18.4489,18.4489,18.3789,18.3989,ok,1458604800,1700
62,18.1939,18.3289,18.1839,18.3239,ok,1458691200,4300
63,17.996,18.001,17.891,17.951,ok,1458777600,11200
64,18.1851,18.1951,18.1551,18.1851,ok,1459123200,13600
65,18.3609,18.3609,17.9809,17.9809,ok,1459209600,26500
66,18.4665,18.4665,18.3965,18.4435,ok,1459296000,2600
67,18.2554,18.3154,18.2264,18.2654,ok,1459382400,6400
68,17.9362,17.9492,17.7592,17.8692,ok,1459468800,18100
69,17.9274,18.0004,17.8894,18.0004,ok,1459728000,4900
70,17.5519,17.8919,17.4719,17.8919,ok,1459814400,9000
71,17.7894,17.7894,17.5194,17.5194,ok,1459900800,2100
72,17.5783,17.6883,17.5483,17.6883,ok,1459987200,1700
73,17.9652,18.0002,17.9412,18.0002,ok,1460073600,4700
74,18.0268,18.2068,18.0268,18.1968,ok,1460332800,10300
75,18.3697,18.3997,18.1697,18.1697,ok,1460419200,3600
76,18.7848,18.7888,18.6828,18.6828,ok,1460505600,2600
77,18.871,18.881,18.813,18.831,ok,1460592000,2700
78,18.8006,18.8306,18.7496,18.8006,ok,1460678400,3000
79,18.9325,18.9325,18.6225,18.6225,ok,1460937600,6000
80,19.2403,19.2703,19.1893,19.2703,ok,1461024000,900
81,19.425,19.425,19.375,19.375,ok,1461110400,4100
82,19.3194,19.3874,19.2694,19.3094,ok,1461196800,7700
83,19.3397,19.3397,19.2767,19.3157,ok,1461283200,3900
84,19.1875,19.3275,19.1175,19.3275,ok,1461542400,24800
85,19.2315,19.2615,19.1615,19.1615,ok,1461628800,3200
86,19.2957,19.2957,19.2117,19.2127,ok,1461715200,4000
87,18.8886,19.1186,18.8486,18.9986,ok,1461801600,12000
88,18.8094,18.9094,18.6694,18.9094,ok,1461888000,3600
89,18.9466,18.9606,18.8706,18.8906,ok,1462147200,2300
90,18.5949,18.6889,18.5489,18.6889,ok,1462233600,2300
91,18.3425,18.4535,18.3135,18.4535,ok,1462320000,3700
92,18.3099,18.3979,18.2729,18.3979,ok,1462406400,1300
93,18.3829,18.3979,18.2579,18.2579,ok,1462492800,1500
94,18.229,18.299,18.229,18.299,ok,1462752000,17300
95,18.572,18.572,18.432,18.432,ok,1462838400,3300
96,18.3697,18.4547,18.3617,18.3797,ok,1462924800,20000
97,18.3873,18.4773,18.2973,18.4773,ok,1463011200,8500
98,18.1059,18.2159,18.1059,18.2159,ok,1463097600,900
99,18.3873,18.3873,18.2773,18.2773,ok,1463356800,3600
100,18.3082,18.4082,18.2532,18.2782,ok,1463443200,6200
101,18.3258,18.4858,18.2798,18.3708,ok,1463529600,2800
102,18.1983,18.1983,18.0833,18.1333,ok,1463616000,3400
103,18.2774,18.3574,18.2774,18.3574,ok,1463702400,1200
104,18.229,18.289,18.229,18.25,ok,1463961600,6700
105,18.4841,18.4941,18.4281,18.4541,ok,1464048000,3200
106,18.6248,18.6248,18.6248,18.6248,ok,1464134400,700
107,18.7487,18.7677,18.7077,18.7077,ok,1464220800,1800
108,18.7479,18.7479,18.6779,18.7159,ok,1464307200,9100
109,18.7083,18.9033,18.6833,18.9033,ok,1464652800,5500
110,18.6775,18.6775,18.6325,18.6365,ok,1464739200,1900
111,18.608,18.627,18.537,18.537,ok,1464825600,4800
112,18.6916,18.6916,18.6326,18.6326,ok,1464912000,1300
113,18.8798,18.8798,18.7498,18.8498,ok,1465171200,9700
114,18.9941,19.0541,18.9241,18.9241,ok,1465257600,48200
115,18.9941,19.0401,18.9941,19.0401,ok,1465344000,3300
116,18.7786,18.7936,18.7136,18.7936,ok,1465430400,7000
117,18.2202,18.5002,18.2202,18.5002,ok,1465516800,3400
118,17.909,17.953,17.909,17.923,ok,1465776000,1000
119,17.675,17.845,17.605,17.825,ok,1465862400,6300
120,17.8773,17.8973,17.7973,17.8973,ok,1465948800,3600
121,17.8245,17.8245,17.4545,17.4745,ok,1466035200,3400
122,18.0356,18.0556,17.8556,17.9256,ok,1466121600,6900
123,18.4489,18.5489,18.4289,18.5389,ok,1466380800,2000
124,18.6423,18.6423,18.5903,18.5963,ok,1466467200,1500
125,18.5949,18.5949,18.5599,18.5899,ok,1466553600,1100
126,19.0914,19.0914,18.8904,18.9314,ok,1466640000,2500
127,17.5258,17.8158,17.5158,17.5158,ok,1466726400,7700
128,16.9569,17.1129,16.8629,17.1129,ok,1466985600,8700
129,17.3916,17.4116,17.1816,17.4116,ok,1467072000,3900
130,17.7406,17.7496,17.6516,17.6706,ok,1467158400,17400
131,17.839,17.839,17.599,17.649,ok,1467244800,5200
132,17.8658,17.8658,17.8358,17.8658,ok,1467331200,1900
133,17.5795,17.9195,17.5795,17.9195,ok,1467676800,21700
134,17.4713,17.4883,17.3723,17.3723,ok,1467763200,1500
135,17.3916,17.6416,17.3916,17.6416,ok,1467849600,1900
136,17.7763,17.7763,17.6563,17.6663,ok,1467936000,8500
137,18.0814,18.1404,18.0204,18.0404,ok,1468195200,7200
138,18.3936,18.4436,18.3636,18.3836,ok,1468281600,10100
139,18.4357,18.4887,18.4187,18.4687,ok,1468368000,4800
140,18.5905,18.6105,18.5205,18.6105,ok,1468454400,3500
141,18.4911,18.4931,18.4911,18.4931,ok,1468540800,500
142,18.5189,18.5389,18.5089,18.5089,ok,1468800000,7100
143,18.34,18.385,18.314,18.38,ok,1468886400,6200
144,18.4876,18.4876,18.3926,18.3926,ok,1468972800,1700
145,18.4652,18.5352,18.4332,18.4852,ok,1469059200,10200
146,18.5055,18.5305,18.4605,18.5305,ok,1469145600,11600
147,18.4384,18.4784,18.3594,18.4784,ok,1469404800,3600
148,18.4294,18.4694,18.4094,18.4694,ok,1469491200,4100
149,18.5457,18.6257,18.4157,18.5757,ok,1469577600,23900
150,18.492,18.502,18.372,18.422,ok,1469664000,7600
151,18.7103,18.7453,18.6963,18.7263,ok,1469750400,3500
152,18.569,18.673,18.569,18.653,ok,1470009600,6500
153,18.3444,18.6894,18.3194,18.6894,ok,1470096000,11500
154,18.3543,18.3583,18.2783,18.3583,ok,1470182400,11700
155,18.5636,18.5636,18.4936,18.5436,ok,1470268800,5600
156,18.6889,18.6889,18.6089,18.6089,ok,1470355200,300
157,18.8087,18.8447,18.8087,18.8447,ok,1470614400,1200
158,19.002,19.082,18.997,19.01,ok,1470700800,4600
159,19.0199,19.0929,19.0199,19.0599,ok,1470787200,10600
160,19.1899,19.2099,19.0999,19.1399,ok,1470873600,22500
161,19.1183,19.1783,19.0883,19.1783,ok,1470960000,2400
162,19.1899,19.2199,19.1599,19.1799,ok,1471219200,3800
163,19.1272,19.1672,19.1272,19.1412,ok,1471305600,1200
164,19.2346,19.2446,19.0846,19.2446,ok,1471392000,11500
165,19.24,19.274,19.164,19.164,ok,1471478400,18900
166,19.1988,19.1998,19.0988,19.0988,ok,1471564800,6100
167,19.2167,19.2267,19.1167,19.1367,ok,1471824000,5200
168,19.2883,19.3283,19.2563,19.2583,ok,1471910400,6100
169,19.2748,19.3398,19.2498,19.3198,ok,1471996800,6600
170,19.1451,19.2151,19.1321,19.1751,ok,1472083200,5500
171,19.0646,19.5796,18.9946,19.2246,ok,1472169600,7700
172,19.112,19.139,19.059,19.059,ok,1472428800,2200
173,19.155,19.184,19.155,19.184,ok,1472515200,1700
174,19.189,19.25,19.1,19.25,ok,1472601600,15300
175,19.2793,19.3393,19.2793,19.2933,ok,1472688000,1500
176,19.5388,19.6388,19.4688,19.5388,ok,1472774400,3400
177,19.6613,19.6743,19.5943,19.5943,ok,1473120000,2600
178,19.664,19.744,19.644,19.734,ok,1473206400,4200
179,19.6524,19.6754,19.5954,19.6454,ok,1473292800,5300
180,19.3956,19.5556,19.3356,19.5556,ok,1473379200,1800
181,19.4403,19.4403,19.1803,19.1803,ok,1473638400,2400
182,19.1451,19.1451,19.1451,19.1451,ok,1473724800,500
183,18.9349,18.9799,18.9099,18.9099,ok,1473811200,2300
184,19.0467,19.1067,19.0157,19.0387,ok,1473897600,10700
185,18.7783,18.8233,18.7583,18.7783,ok,1473984000,5500
186,18.9125,19.0325,18.9025,19.0225,ok,1474243200,5700
187,18.9841,19.0541,18.9741,19.0141,ok,1474329600,44000
188,19.4493,19.4983,19.2393,19.2893,ok,1474416000,4300
189,19.673,19.783,19.643,19.723,ok,1474502400,2100
190,19.4582,19.4882,19.4582,19.4882,ok,1474588800,900
191,19.2077,19.2577,19.1877,19.2077,ok,1474848000,5800
192,19.2435,19.2745,19.1335,19.1335,ok,1474934400,2800
193,19.324,19.337,19.324,19.332,ok,1475020800,1200
194,19.2024,19.3584,19.1884,19.2884,ok,1475107200,4300
195,19.3062,19.3412,19.2862,19.2862,ok,1475193600,6400
196,19.163,19.203,19.083,19.193,ok,1475452800,46200
197,19.2077,19.4377,19.1627,19.2277,ok,1475539200,5100
198,19.409,19.411,19.364,19.364,ok,1475625600,2000
199,19.324,19.464,19.304,19.464,ok,1475712000,1700
200,19.2704,19.2904,19.1304,19.2904,ok,1475798400,16100
201,19.3688,19.4168,19.3688,19.4168,ok,1476057600,1800
202,19.1004,19.2604,19.1004,19.2604,ok,1476144000,2500
203,19.0646,19.1846,19.0446,19.1846,ok,1476230400,2100
204,18.9662,18.9662,18.8162,18.9562,ok,1476316800,2700
205,19.0109,19.1109,19.0109,19.0209,ok,1476403200,1700
206,19.002,19.042,18.992,19.012,ok,1476662400,3600
207,19.1988,19.2488,19.1988,19.2088,ok,1476748800,17400
208,19.3232,19.3292,19.3042,19.3042,ok,1476835200,5800
209,19.4251,19.4421,19.1821,19.1821,ok,1476921600,43100
210,19.3849,19.3849,19.1769,19.1769,ok,1477008000,6700
211,19.4046,19.5346,19.3946,19.5246,ok,1477267200,3500
212,19.4314,19.4534,19.3714,19.3714,ok,1477353600,19800
213,19.3867,19.3977,19.3787,19.3827,ok,1477440000,2600
214,19.4135,19.4935,19.4135,19.4735,ok,1477526400,3500
215,19.5048,19.5128,19.4928,19.5028,ok,1477612800,1200
216,19.5191,19.5191,19.4811,19.5011,ok,1477872000,4100
217,19.4672,19.5612,19.3972,19.5472,ok,1477958400,4000
218,19.2793,19.4293,19.2793,19.4293,ok,1478044800,2000
219,19.3062,19.5462,19.3062,19.5462,ok,1478131200,10500
220,19.1093,19.2093,19.1093,19.1383,ok,1478217600,4700
221,19.3151,19.3291,19.2851,19.3081,ok,1478476800,2300
222,19.3777,20.4177,19.2777,19.2777,ok,1478563200,3500
223,19.3142,19.3142,19.1152,19.3052,ok,1478649600,14700
224,19.3858,19.4768,19.3268,19.4618,ok,1478736000,4800
225,19.3777,19.4277,19.2947,19.4277,ok,1478822400,22600
226,19.3956,19.3956,19.3456,19.3456,ok,1479081600,2200
227,19.4833,19.4853,19.3643,19.3653,ok,1479168000,6300
228,19.3312,19.3892,19.3312,19.3892,ok,1479254400,2400
229,19.409,19.444,19.381,19.381,ok,1479340800,2100
230,19.1809,19.2409,19.1809,19.2409,ok,1479427200,9200
231,19.3509,19.3709,19.3209,19.3409,ok,1479686400,6800
232,19.5209,19.5389,19.4009,19.5209,ok,1479772800,26300
233,19.4403,19.4704,19.2204,19.2204,ok,1479859200,11700
234,19.4135,19.4535,19.4135,19.4535,ok,1480032000,5000
235,19.4314,19.4614,19.4014,19.4414,ok,1480291200,15400
236,19.528,19.528,19.38,19.45,ok,1480377600,3700
237,19.4403,19.5403,19.4004,19.5303,ok,1480464000,35500
238,19.4135,19.5235,19.4135,19.4905,ok,1480550400,3400
239,19.5298,19.5398,19.4728,19.5398,ok,1480636800,18500
240,19.766,19.766,19.702,19.752,ok,1480896000,3400
241,19.936,19.936,19.822,19.822,ok,1480982400,3400
242,20.3081,20.3221,20.1181,20.1181,ok,1481068800,5200
243,20.4191,20.4751,20.3451,20.4751,ok,1481155200,9100
244,20.3797,20.3897,20.3297,20.3597,ok,1481241600,12000
245,20.3529,20.3729,20.3429,20.3729,ok,1481500800,1700
246,20.462,20.47,20.42,20.45,ok,1481587200,6200
247,20.1739,20.4539,20.1739,20.4539,ok,1481673600,14000
248,20.1024,20.1224,20.0624,20.0624,ok,1481760000,3000
249,20.0308,20.1028,20.0308,20.0908,ok,1481846400,3000
250,20.0308,20.0978,20.0308,20.0908,ok,1482105600,700
251,20.0934,20.1034,20.0534,20.0734,ok,1482192000,9600
252,20.0366,20.0566,20.0366,20.0466,ok,1482278400,3800
253,20.0014,20.0654,19.9904,19.9904,ok,1482364800,8300
254,20.0185,20.0585,20.0085,20.0455,ok,1482451200,4500
255,19.949,20.006,19.926,19.926,ok,1482796800,10100
256,19.8922,19.9422,19.8672,19.9022,ok,1482883200,11700
257,19.8822,19.8832,19.8232,19.8732,ok,1482969600,26100
258,19.9644,20.0244,19.9244,19.9944,ok,1483056000,8900
259,20.1584,20.1634,20.0634,20.1134,ok,1483401600,5000
260,20.4427,20.4527,20.3127,20.3297,ok,1483488000,20000
261,20.6413,20.6613,20.5613,20.5613,ok,1483574400,30800
262,20.4878,20.5178,20.4218,20.5178,ok,1483660800,10600
263,20.4156,20.4456,20.3656,20.4256,ok,1483920000,3500
264,20.4788,20.5388,20.4538,20.4888,ok,1484006400,232200
265,20.6232,20.7232,20.4432,20.7232,ok,1484092800,21500
266,20.6142,20.6232,20.5242,20.6232,ok,1484179200,26100
267,20.6503,20.7403,20.6403,20.6803,ok,1484265600,51100
268,20.6323,22.0923,20.5813,21.6123,ok,1484611200,4100
269,20.5781,20.6081,20.5241,20.5781,ok,1484697600,5900
270,20.551,20.575,20.491,20.575,ok,1484784000,19500
271,20.6413,20.6813,20.5923,20.6313,ok,1484870400,12600
272,20.6142,20.6542,20.5342,20.6042,ok,1485129600,6000
273,20.7225,20.7225,20.6025,20.7025,ok,1485216000,5800
274,20.9689,20.9689,20.8809,20.9359,ok,1485302400,4700
275,20.9157,21.0017,20.9017,20.9817,ok,1485388800,8000
276,20.8037,20.8637,20.7537,20.8637,ok,1485475200,14700
277,20.6413,20.6413,20.5513,20.5513,ok,1485734400,5800
278,20.6142,20.6542,20.5562,20.6232,ok,1485820800,15500
279,20.7767,20.7767,20.6867,20.7567,ok,1485907200,19000
280,20.6864,20.6964,20.6464,20.6764,ok,1485993600,5700
281,20.7776,20.8166,20.7466,20.7966,ok,1486080000,6100
282,20.6007,20.6457,20.5337,20.5657,ok,1486339200,5600
283,20.533,20.593,20.533,20.593,ok,1486425600,4000
284,20.5781,20.6011,20.5581,20.5581,ok,1486512000,2700
285,20.6684,20.6834,20.5784,20.5784,ok,1486598400,224500
286,20.7135,20.7835,20.6835,20.7835,ok,1486684800,11400
287,20.9075,20.9625,20.8425,20.9625,ok,1486944000,10300
288,20.8759,20.8759,20.7059,20.7559,ok,1487030400,5100
289,20.9301,20.9601,20.7301,20.7301,ok,1487116800,8200
290,20.9211,20.9611,20.8711,20.9211,ok,1487203200,11300
291,20.8037,20.8037,20.7437,20.7937,ok,1487289600,4200
292,20.9247,20.9407,20.9007,20.9007,ok,1487635200,6000
293,20.9301,20.9301,20.8401,20.8701,ok,1487721600,6800
294,20.9481,21.0081,20.8781,21.0081,ok,1487808000,4800
295,20.7406,20.7706,20.6506,20.7206,ok,1487894400,7100
296,20.7848,20.7858,20.6758,20.6758,ok,1488153600,69200
297,20.7045,20.7895,20.7045,20.7745,ok,1488240000,2500
298,21.0474,21.0574,20.9674,20.9674,ok,1488326400,10100
299,20.8507,20.9087,20.8507,20.9087,ok,1488412800,10100
300,20.9987,20.9987,20.8537,20.9227,ok,1488499200,2400
301,20.885,20.885,20.835,20.885,ok,1488758400,6000
302,20.7857,20.8257,20.7357,20.7957,ok,1488844800,88700
303,20.7424,20.9104,20.7304,20.9104,ok,1488931200,5500
