,c,h,l,o,s,t,v
0,88.9222,89.0822,88.2422,89.0822,ok,1420156800,2400
1,87.0393,88.4792,86.8893,88.4792,ok,1420416000,8300
2,86.024,87.504,85.624,87.504,ok,1420502400,4300
3,86.7254,86.9554,86.4854,86.9554,ok,1420588800,5100
4,88.3315,88.3515,87.4715,87.8115,ok,1420675200,4000
5,87.39,88.35,87.36,88.35,ok,1420761600,17400
6,86.7254,87.6854,86.2354,87.6854,ok,1421020800,5200
7,86.4393,87.9593,85.7693,87.3193,ok,1421107200,1800
8,86.1347,86.1347,84.8447,85.5347,ok,1421193600,9500
9,85.2671,85.5571,85.1571,85.5371,ok,1421280000,3600
10,86.2824,86.2924,84.6124,84.6924,ok,1421366400,7600
11,85.8209,86.6109,85.1709,86.6109,ok,1421712000,17800
12,86.4116,86.4316,86.0916,86.0916,ok,1421798400,3100
13,88.1561,88.1561,87.2361,87.2461,ok,1421884800,4200
14,87.5838,88.4438,87.5738,88.4438,ok,1421971200,6700
15,88.6637,88.6738,87.3538,87.6438,ok,1422230400,5500
16,88.2945,88.3845,87.3845,87.4745,ok,1422316800,4500
17,86.8547,88.9347,86.7547,88.9347,ok,1422403200,3100
18,87.3438,87.3438,86.0738,87.0538,ok,1422489600,4200
19,86.4485,87.0885,86.4385,86.6485,ok,1422576000,4000
20,86.2363,86.9163,85.7763,86.9163,ok,1422835200,7100
21,89.0976,89.0976,87.6876,87.6876,ok,1422921600,7200
22,88.7099,89.2899,88.7099,88.9399,ok,1423008000,5500
23,89.8175,89.8675,88.9175,89.2375,ok,1423094400,5500
24,89.6975,90.4075,89.6975,90.0075,ok,1423180800,9400
25,89.3652,90.0552,89.3652,89.4352,ok,1423440000,4500
26,90.0298,90.1098,89.1198,90.1098,ok,1423526400,2300
27,90.0852,90.0852,89.5452,90.0152,ok,1423612800,2100
28,90.842,90.872,90.422,90.452,ok,1423699200,3900
29,91.3681,91.3681,90.8581,91.0481,ok,1423785600,13900
30,91.3497,91.5997,90.9997,91.5697,ok,1424131200,20600
31,91.5343,91.5843,91.4043,91.4543,ok,1424217600,3300
32,91.5158,91.7258,91.0458,91.3258,ok,1424304000,5000
33,92.1065,92.1065,90.7765,91.5865,ok,1424390400,5100
34,91.6174,92.0974,91.3574,92.0974,ok,1424649600,8800
35,92.1527,92.1527,91.5627,91.7627,ok,1424736000,3100
36,92.0789,92.3089,91.8989,91.9789,ok,1424822400,12300
37,91.765,92.335,91.765,92.335,ok,1424908800,2100
38,91.4143,91.9743,91.4143,91.9743,ok,1424995200,4000
39,91.4974,91.6874,91.2274,91.2274,ok,1425254400,1500
40,91.3866,91.8066,91.1766,91.8066,ok,1425340800,4000
41,91.0636,91.0636,90.7336,90.9236,ok,1425427200,2500
42,90.962,91.352,90.682,91.352,ok,1425513600,9100
43,89.9559,91.0359,89.9459,91.0359,ok,1425600000,3600
44,90.1129,90.3229,90.1029,90.3129,ok,1425859200,5300
45,88.8484,89.5684,88.8484,89.5684,ok,1425945600,8400
46,89.356,89.416,88.566,88.576,ok,1426032000,4200
47,90.4728,90.4728,89.8928,89.9528,ok,1426118400,2600
48,89.7529,89.8829,89.1829,89.6629,ok,1426204800,3400
49,90.5374,90.5874,89.9975,90.1974,ok,1426464000,7000
50,90.7774,90.7774,90.1574,90.2774,ok,1426550400,21800
51,91.765,92.025,90.415,90.415,ok,1426636800,4000
52,91.3681,91.4081,91.0081,91.1881,ok,1426723200,5900
53,92.3558,92.3558,91.4458,91.4658,ok,1426809600,19500
54,92.3004,92.6004,92.2304,92.2304,ok,1427068800,12600
55,92.0789,92.1389,91.8889,92.1389,ok,1427155200,3900
56,90.639,92.369,90.609,92.369,ok,1427241600,7700
57,90.2698,90.4998,90.1298,90.2898,ok,1427328000,7100
58,90.399,90.439,90.069,90.309,ok,1427414400,8300
59,91.8204,91.9204,90.7704,90.7704,ok,1427673600,3200
60,91.5343,91.6143,91.1943,91.3543,ok,1427760000,8300
61,91.1466,91.6166,90.9066,91.6166,ok,1427846400,3800
62,91.682,92.062,91.472,92.062,ok,1427932800,5900
63,92.5496,92.5496,91.3396,91.3396,ok,1428278400,3700
64,92.0604,92.6604,92.0304,92.4804,ok,1428364800,3100
65,91.9773,92.2373,91.6373,92.0173,ok,1428451200,29200
66,92.005,92.185,91.975,92.065,ok,1428537600,1100
67,92.4204,92.5004,92.2504,92.4704,ok,1428624000,9200
68,92.245,92.615,92.215,92.525,ok,1428883200,9600
69,92.4204,92.4404,91.8004,92.3304,ok,1428969600,2100
70,93.1495,93.5095,92.9695,92.9695,ok,1429056000,4200
71,92.8449,92.965,92.535,92.615,ok,1429142400,10700
72,91.4789,92.4689,91.2089,92.4689,ok,1429228800,8300
73,92.245,92.445,91.995,91.995,ok,1429488000,5400
74,92.0235,92.6735,91.9535,92.4335,ok,1429574400,4200
75,92.2727,92.2727,91.4027,92.1827,ok,1429660800,3400
76,92.7527,92.9527,92.1927,92.2327,ok,1429747200,9400
77,92.2819,92.5319,92.2419,92.5319,ok,1429833600,3800
78,91.7466,92.8566,91.7466,92.8566,ok,1430092800,5100
79,92.3742,92.3742,91.3742,91.7342,ok,1430179200,9500
80,92.125,92.465,91.865,92.165,ok,1430265600,4000
81,91.1743,91.8143,91.1243,91.5143,ok,1430352000,4600
82,91.682,91.802,91.152,91.482,ok,1430438400,5600
83,92.125,92.315,91.955,92.125,ok,1430697600,4000
84,90.9159,92.3459,90.8659,92.3459,ok,1430784000,4800
85,90.9528,90.9928,90.4428,90.9928,ok,1430870400,5300
86,90.9343,91.1243,90.8843,90.8843,ok,1430956800,1500
87,91.8204,91.8204,91.5104,91.5104,ok,1431043200,900
88,91.9866,92.0966,91.7466,91.7966,ok,1431302400,1000
89,91.8112,91.8412,90.9712,91.8212,ok,1431388800,3400
90,91.9496,92.1896,91.9496,92.1696,ok,1431475200,2500
91,92.7434,92.7634,92.2234,92.5534,ok,1431561600,8300
