,c,h,l,o,s,t,v
0,103.3182,104.1881,102.6682,103.8782,ok,1420156800,865900
1,101.5774,102.9774,101.3074,102.7974,ok,1420416000,832500
2,100.5762,102.1162,99.9762,101.7962,ok,1420502400,1112600
3,101.8209,101.9809,101.0009,101.3709,ok,1420588800,1053000
4,103.6338,103.7138,102.5438,102.5438,ok,1420675200,839000
5,102.7589,104.0089,102.3789,103.8889,ok,1420761600,730900
6,101.9652,103.0152,101.6152,102.9952,ok,1421020800,737500
7,101.7939,103.6239,100.9039,102.8439,ok,1421107200,1013900
8,101.1715,101.2715,99.8815,100.4215,ok,1421193600,933200
9,100.2064,101.8264,100.1364,101.7064,ok,1421280000,1068400
10,101.4872,101.6172,99.8072,99.8572,ok,1421366400,819600
11,101.6586,102.0686,100.6586,101.8586,ok,1421712000,632500
12,102.1817,102.4817,101.0417,101.3817,ok,1421798400,828700
13,103.7691,103.8391,101.7291,102.5291,ok,1421884800,1175100
14,103.228,103.828,103.128,103.578,ok,1421971200,566800
15,103.5978,103.6378,102.6178,103.0378,ok,1422230400,542200
16,102.335,103.025,101.745,102.425,ok,1422316800,1016800
17,100.928,103.338,100.868,103.308,ok,1422403200,1555800
18,101.839,102.049,100.089,101.039,ok,1422489600,919000
19,100.6123,102.0723,100.4523,101.2323,ok,1422576000,1241400
20,101.7307,101.8307,99.5707,100.8907,ok,1422835200,1701500
21,103.228,103.298,102.018,102.098,ok,1422921600,1892800
22,102.8942,103.6242,102.6242,102.7942,ok,1423008000,2184700
23,103.9676,104.0576,103.1876,103.1976,ok,1423094400,1787200
24,103.6789,104.589,103.3589,104.089,ok,1423180800,888100
25,103.1919,103.7619,102.9619,103.2819,ok,1423440000,503800
26,104.3013,104.4513,103.1913,103.7213,ok,1423526400,807000
27,104.3374,104.6174,103.7674,104.0374,ok,1423612800,750300
28,105.3385,105.3885,104.6785,104.8085,ok,1423699200,861500
29,105.8165,105.8565,105.2665,105.3865,ok,1423785600,908600
30,105.9699,106.1199,105.4599,105.6599,ok,1424131200,756200
31,106.042,106.092,105.602,105.772,ok,1424217600,507900
32,105.9879,106.2279,105.6279,105.7279,ok,1424304000,564400
33,106.6554,106.6754,105.2554,105.6954,ok,1424390400,1072300
34,106.6103,106.6203,106.2303,106.4403,ok,1424649600,526100
35,106.935,107.025,106.325,106.675,ok,1424736000,487700
36,106.8538,107.1738,106.6438,106.9038,ok,1424822400,531500
37,106.7185,106.8785,106.3085,106.7385,ok,1424908800,731500
38,106.3036,106.8436,106.3036,106.6136,ok,1424995200,1754600
39,107.0432,107.0432,106.1632,106.1632,ok,1425254400,848700
40,106.5922,106.8122,106.0322,106.6122,ok,1425340800,494500
41,106.1142,106.2542,105.4942,106.1242,ok,1425427200,887800
42,106.2495,106.4495,105.9295,106.1795,ok,1425513600,674300
43,104.8154,106.1154,104.5854,105.9854,ok,1425600000,727400
44,105.2123,105.4223,104.8023,104.8623,ok,1425859200,696700
45,103.5527,104.5027,103.5327,104.5027,ok,1425945600,1540600
46,103.3993,103.8693,103.3493,103.7493,ok,1426032000,1218400
47,104.644,104.744,103.624,103.624,ok,1426118400,867500
48,104.0848,104.6948,103.3848,104.5048,ok,1426204800,1045500
49,105.4287,105.4687,104.2987,104.2987,ok,1426464000,918600
50,105.1852,105.4152,104.6352,105.0252,ok,1426550400,653700
51,106.4389,106.8689,104.3389,104.7289,ok,1426636800,1323300
52,105.9428,106.4128,105.7428,106.2028,ok,1426723200,632100
53,106.944,107.194,106.404,106.524,ok,1426809600,696400
54,106.6914,107.2814,106.6914,106.8414,ok,1427068800,635500
55,106.0511,106.9611,106.0511,106.7511,ok,1427155200,1030300
56,104.5305,106.5505,104.5105,106.4305,ok,1427241600,1311300
57,104.2769,104.8669,103.6669,104.1069,ok,1427328000,1090800
58,104.5758,104.6758,104.0558,104.2658,ok,1427414400,743600
59,105.8346,106.0246,104.9846,104.9846,ok,1427673600,617200
60,104.9199,105.8699,104.9199,105.4099,ok,1427760000,2707000
61,104.5305,105.0505,103.9505,105.0505,ok,1427846400,1137200
62,104.9742,105.2642,104.4042,104.4042,ok,1427932800,579600
63,105.6897,106.0197,104.2097,104.2097,ok,1428278400,521000
64,105.409,106.219,105.409,105.799,ok,1428364800,508900
