,c,h,l,o,s,t,v
0,89.2435,90.0435,88.6735,89.8735,ok,1420156800,2568200
1,87.73,89.03,87.55,88.69,ok,1420416000,2061400
2,86.9171,88.1771,86.3171,87.9671,ok,1420502400,3318400
3,88.0103,88.1603,87.3203,87.5903,ok,1420588800,4087500
4,89.6173,89.7273,88.6873,88.7073,ok,1420675200,2153100
5,88.9352,89.9652,88.5852,89.7952,ok,1420761600,2451500
6,88.2345,89.2545,87.9845,89.2545,ok,1421020800,2198400
7,88.1317,89.7517,87.4117,89.0517,ok,1421107200,2183400
8,87.7393,87.8793,86.7593,87.1693,ok,1421193600,2292400
9,86.8331,88.3731,86.7631,88.2831,ok,1421280000,2035900
10,87.9729,88.0329,86.5229,86.5629,ok,1421366400,2590500
11,88.3186,88.5386,87.2986,88.4186,ok,1421712000,1994800
12,88.739,89.049,87.759,88.139,ok,1421798400,1855700
13,90.0937,90.1637,88.3037,89.1137,ok,1421884800,1927100
14,89.8321,90.2921,89.7021,89.9321,ok,1421971200,2304200
15,90.1685,90.1985,89.4185,89.7785,ok,1422230400,2775100
16,88.8698,89.5998,88.3798,89.1698,ok,1422316800,1899300
17,88.1037,89.8737,88.0137,89.8137,ok,1422403200,2948200
18,89.0286,89.1487,87.4386,88.0686,ok,1422489600,2286100
19,88.0196,89.2796,87.8996,88.5296,ok,1422576000,2044500
20,88.9072,88.9272,86.9772,88.0772,ok,1422835200,2254700
21,90.0377,90.0577,88.9077,89.1577,ok,1422921600,2005900
22,89.7948,90.3748,89.5048,89.5048,ok,1423008000,2417400
23,90.7571,90.7671,90.0171,90.1171,ok,1423094400,2093500
24,90.3927,91.1327,90.1327,90.9327,ok,1423180800,1571700
25,89.991,90.461,89.801,90.161,ok,1423440000,1097500
26,91.1028,91.2428,90.1328,90.5428,ok,1423526400,1893200
27,91.3363,91.5663,90.8363,90.9963,ok,1423612800,1464800
28,92.1585,92.1785,91.5785,91.7485,ok,1423699200,1723900
29,92.7378,92.7378,92.1278,92.1278,ok,1423785600,2427800
30,92.8406,92.9306,92.4006,92.4806,ok,1424131200,1764900
31,93.0368,93.0668,92.5568,92.6668,ok,1424217600,1575800
32,93.2143,93.3543,92.8043,92.8143,ok,1424304000,1308800
33,93.8683,93.8783,92.6983,93.0983,ok,1424390400,1562700
34,93.9524,93.9524,93.6024,93.7324,ok,1424649600,1251900
35,94.0551,94.1651,93.6151,93.9751,ok,1424736000,1746100
36,94.0832,94.4032,93.9132,94.0932,ok,1424822400,1749300
37,94.1859,94.2559,93.8059,94.1159,ok,1424908800,1213000
38,93.8216,94.2816,93.7916,94.2516,ok,1424995200,1395400
39,94.569,94.619,93.899,93.919,ok,1425254400,1990100
40,94.214,94.414,93.694,94.414,ok,1425340800,1509200
41,93.7935,93.9735,93.2635,93.9335,ok,1425427200,2379400
42,93.9337,94.1337,93.6237,94.0037,ok,1425513600,1710700
43,92.6163,93.8063,92.4663,93.7463,ok,1425600000,1822900
44,92.99,93.23,92.67,92.71,ok,1425859200,1966000
45,91.5699,92.4199,91.5499,92.4199,ok,1425945600,2185600
46,91.2709,91.7709,91.2009,91.7109,ok,1426032000,1718300
47,92.4014,92.4514,91.5314,91.6314,ok,1426118400,1670100
48,91.8502,92.5002,91.3002,92.2902,ok,1426204800,2202100
49,93.0741,93.0841,92.1241,92.1641,ok,1426464000,1367500
50,92.9527,93.1527,92.4727,92.7227,ok,1426550400,1434600
51,93.9804,94.3504,92.1304,92.6604,ok,1426636800,2432800
52,93.8216,94.1016,93.5916,93.7716,ok,1426723200,1238400
53,94.5503,94.8603,94.3503,94.4303,ok,1426809600,1360400
54,94.3074,94.7574,94.3074,94.5274,ok,1427068800,1007400
55,93.9337,94.6937,93.9137,94.4537,ok,1427155200,1540900
