,c,h,l,o,s,t,v
0,110.5585,111.4985,109.8585,111.3385,ok,1420156800,1305900
1,108.6765,110.6665,108.4065,110.1565,ok,1420416000,1135400
2,107.5184,109.2184,106.9284,109.0584,ok,1420502400,1368000
3,108.8846,109.0246,108.0346,108.2546,ok,1420588800,360300
4,110.83,110.9,109.69,109.78,ok,1420675200,489000
5,109.8709,111.2209,109.5409,111.2209,ok,1420761600,417500
6,109.0927,110.1927,108.6127,110.1727,ok,1421020800,435900
7,108.8394,110.8394,107.9494,109.8394,ok,1421107200,574200
8,108.197,108.337,106.867,107.367,ok,1421193600,498200
9,107.1474,108.9974,107.0674,108.7374,ok,1421280000,445000
10,108.5408,108.6908,106.6808,106.6808,ok,1421366400,350200
11,108.6675,109.1475,107.6375,108.8475,ok,1421712000,405800
12,109.2104,109.5204,108.0004,108.4904,ok,1421798400,339400
13,110.8752,110.9552,108.6652,109.3952,ok,1421884800,239700
14,110.3323,110.9623,110.2923,110.7023,ok,1421971200,287000
15,110.8209,110.8209,109.7109,110.2309,ok,1422230400,190000
16,109.4637,110.2337,108.9137,109.7537,ok,1422316800,359300
17,108.007,110.507,107.947,110.507,ok,1422403200,167400
18,109.0475,109.1775,107.1775,107.8675,ok,1422489600,310100
19,107.636,109.156,107.416,108.556,ok,1422576000,405200
20,108.8213,108.8513,106.4913,107.9413,ok,1422835200,234200
21,110.459,110.479,109.169,109.369,ok,1422921600,194500
22,110.07,110.81,109.79,110.02,ok,1423008000,198500
23,111.2462,111.2962,110.1862,110.1862,ok,1423094400,119200
24,110.9386,111.8986,110.6186,111.6186,ok,1423180800,162000
25,110.4047,111.0147,110.1447,110.7347,ok,1423440000,160600
26,111.5176,111.6276,110.3476,111.0576,ok,1423526400,119700
27,111.5629,111.8029,110.9229,111.2629,ok,1423612800,164300
28,112.6577,112.6977,111.8277,111.8277,ok,1423699200,87000
29,113.1825,113.1825,112.6025,112.6025,ok,1423785600,168100
30,113.3272,113.4772,112.7872,113.1372,ok,1424131200,101000
31,113.4087,113.4687,112.9087,112.9887,ok,1424217600,463800
32,113.3634,113.5934,112.9434,113.0134,ok,1424304000,159600
33,114.042,114.062,112.572,113.002,ok,1424390400,178100
34,114.0149,114.0149,113.5749,113.9249,ok,1424649600,134800
35,114.2773,114.3973,113.7373,113.9973,ok,1424736000,194400
36,114.2321,114.5621,114.0221,114.2421,ok,1424822400,281200
37,114.1506,114.3006,113.7106,114.1106,ok,1424908800,270000
38,113.7163,114.2663,113.7163,114.2063,ok,1424995200,186700
39,114.4854,114.4854,113.5454,113.5454,ok,1425254400,156500
40,114.033,114.283,113.453,114.083,ok,1425340800,156100
41,113.4811,113.6311,112.8311,113.6011,ok,1425427200,141500
42,113.5987,113.8487,113.3187,113.7687,ok,1425513600,942000
43,112.0967,113.4967,111.8767,113.3367,ok,1425600000,141900
44,112.5763,112.7663,112.1863,112.3263,ok,1425859200,510000
45,110.8119,111.7719,110.8119,111.7719,ok,1425945600,188800
46,110.7214,111.1814,110.6014,111.0614,ok,1426032000,212900
47,112.1058,112.1858,111.0157,111.0157,ok,1426118400,156600
48,111.5357,112.1557,110.7557,112.0357,ok,1426204800,284400
49,112.911,112.931,111.8811,111.8811,ok,1426464000,112800
50,112.712,112.922,112.142,112.532,ok,1426550400,334800
51,113.9878,114.4478,111.8478,112.2278,ok,1426636800,113200
52,113.5897,113.9597,113.2997,113.8397,ok,1426723200,64300
53,114.5668,114.8468,113.9368,113.9668,ok,1426809600,418300
54,114.3497,114.9397,114.3497,114.5597,ok,1427068800,260500
55,113.6982,114.5882,113.6982,114.3282,ok,1427155200,117200
56,111.9612,114.2112,111.9612,114.1612,ok,1427241600,144300
57,111.6977,112.3277,111.0577,111.5177,ok,1427328000,151000
58,112.0702,112.1602,111.5302,111.7102,ok,1427414400,193800
59,113.442,113.602,112.662,112.662,ok,1427673600,93400
60,112.5154,113.4354,112.4554,113.1454,ok,1427760000,191000
61,112.2428,112.6728,111.4428,112.6728,ok,1427846400,174200
62,112.5789,112.819,112.019,112.019,ok,1427932800,267300
63,113.3057,113.6457,111.8557,111.9157,ok,1428278400,838400
64,112.9787,113.8087,112.9787,113.4087,ok,1428364800,74100
65,113.433,113.6629,112.903,113.0929,ok,1428451200,77000
66,113.7872,113.9172,112.8872,113.3372,ok,1428537600,843000
67,114.3778,114.3778,113.8678,113.9878,ok,1428624000,134800
68,113.9053,114.7754,113.8854,114.3354,ok,1428883200,516700
69,114.078,114.168,113.308,113.908,ok,1428969600,126800
70,114.6503,114.9803,114.3603,114.4503,ok,1429056000,130900
71,114.5776,114.9176,114.2776,114.4676,ok,1429142400,112700
72,113.2149,114.0049,112.6949,113.9749,ok,1429228800,284400
73,114.2233,114.4133,113.7733,113.7833,ok,1429488000,149200
74,114.1415,114.8415,113.9416,114.6315,ok,1429574400,222100
75,114.623,114.773,113.633,114.373,ok,1429660800,250800
76,114.9955,115.3655,114.3155,114.3155,ok,1429747200,116000
77,115.1409,115.3009,114.8809,115.3009,ok,1429833600,141900
78,114.5685,115.7185,114.4385,115.5385,ok,1430092800,137900
79,114.8592,114.9592,113.6192,114.6692,ok,1430179200,112400
80,114.3232,114.7432,113.8232,114.2832,ok,1430265600,100700
81,113.0786,114.3186,112.6086,114.2286,ok,1430352000,188800
82,114.2233,114.2233,113.3233,113.3233,ok,1430438400,167200
83,114.5504,114.9904,114.2404,114.2404,ok,1430697600,136200
84,113.1513,114.8013,113.1113,114.5813,ok,1430784000,78500
85,112.9151,113.8051,112.1251,113.6951,ok,1430870400,132300
86,113.2966,113.5866,112.5266,112.6666,ok,1430956800,196600
87,114.6776,114.8676,114.2676,114.2676,ok,1431043200,95200
88,114.2506,114.9906,114.2406,114.6406,ok,1431302400,100000
89,113.9871,114.2871,113.0471,113.6471,ok,1431388800,269400
90,113.9508,114.6208,113.7908,114.2208,ok,1431475200,110200
91,115.1318,115.1618,114.3318,114.4518,ok,1431561600,109800
92,115.2317,115.3017,114.8517,115.2517,ok,1431648000,113200
93,115.7041,115.8242,114.9941,114.9941,ok,1431907200,153800
94,115.6224,115.9124,115.4424,115.7124,ok,1431993600,84500
95,115.5588,116.0688,115.3288,115.7588,ok,1432080000,85900
96,115.8404,116.0204,115.4004,115.4704,ok,1432166400,202400
97,115.586,115.886,115.526,115.586,ok,1432252800,106700
98,114.3778,115.6278,114.0878,115.3178,ok,1432598400,92100
99,115.4861,115.6061,114.3161,114.4761,ok,1432684800,102400
100,115.3226,115.3926,114.8526,115.2326,ok,1432771200,69000
101,114.6412,115.4712,114.4412,115.4012,ok,1432857600,187600
102,114.8592,115.2792,114.2592,115.0292,ok,1433116800,70700
103,114.7866,115.2766,114.2066,114.5466,ok,1433203200,138200
104,115.1772,115.5772,114.8072,115.1972,ok,1433289600,224100
105,114.2324,115.1524,114.0124,114.7524,ok,1433376000,110300
106,114.1506,114.4806,113.5206,114.1906,ok,1433462400,84200
107,113.4602,114.2602,113.3902,114.2602,ok,1433721600,128900
108,113.3784,113.7184,112.9384,113.4884,ok,1433808000,154200
109,114.723,114.933,113.783,113.813,ok,1433894400,100000
110,115.0773,115.2773,114.8973,115.0673,ok,1433980800,152900
111,114.3232,114.7232,114.1432,114.7232,ok,1434067200,141900
112,113.8327,113.9727,113.0027,113.5127,ok,1434326400,447900
113,114.4141,114.4841,113.5541,113.6941,ok,1434412800,507500
114,114.6049,114.9849,113.8849,114.5949,ok,1434499200,106400
115,115.7859,116.0959,114.7759,114.7759,ok,1434585600,117000
116,115.1318,115.7818,115.1318,115.6418,ok,1434672000,122200
117,115.9585,116.2885,115.7985,116.0385,ok,1434931200,94600
118,116.0221,116.2421,115.7421,116.0821,ok,1435017600,54500
119,115.1318,116.1118,115.1218,115.8818,ok,1435104000,324400
120,114.7866,115.5366,114.7466,115.4966,ok,1435190400,104000
121,114.7593,115.2093,114.3593,114.8593,ok,1435276800,363600
122,112.2701,114.3801,112.2701,113.8301,ok,1435536000,233100
123,112.6335,113.3435,112.2935,113.3435,ok,1435622400,212100
124,113.4602,113.7402,112.9102,113.6402,ok,1435708800,134200
125,113.2995,113.9795,112.9795,113.9795,ok,1435795200,297000
126,112.9982,113.4582,112.2482,112.4982,ok,1436140800,150900
127,113.6465,113.6765,111.3665,112.9165,ok,1436227200,191400
128,111.7381,113.068,111.5281,112.928,ok,1436313600,236900
129,111.9755,113.3955,111.9455,112.9355,ok,1436400000,260000
130,113.3725,113.6125,112.7725,113.0625,ok,1436486400,154900
131,114.5961,114.6661,114.1361,114.1461,ok,1436745600,388800
132,115.1348,115.3248,114.5248,114.5548,ok,1436832000,79600
133,114.9157,115.3957,114.6657,115.2057,ok,1436918400,550700
134,115.7923,115.8223,115.4323,115.5123,ok,1437004800,150200
135,115.8197,115.8797,115.4597,115.8797,ok,1437091200,143400
136,115.7923,116.0623,115.6023,115.9823,ok,1437350400,108300
137,115.2992,115.9492,115.0892,115.7592,ok,1437436800,113700
138,115.144,115.314,114.644,114.644,ok,1437523200,83400
139,114.45,115.43,114.25,115.43,ok,1437609600,51100
140,113.2538,114.8638,113.0938,114.8638,ok,1437696000,107000
141,112.4777,113.0777,112.2477,112.5877,ok,1437955200,173900
142,113.8382,113.9782,112.2882,112.9082,ok,1438041600,75500
143,114.6326,114.7526,113.7226,113.9126,ok,1438128000,513500
144,114.7331,114.8131,113.8731,114.4131,ok,1438214400,89000
145,114.6418,115.1818,114.4618,115.0618,ok,1438300800,110600
